"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenDeelnemersStudenten_1"
"837541";"T001038";"10000";"A041923";"1012600";"GM0518";"2019SJ00";"     781"
"852388";"T001038";"10000";"A041923";"2012605";"GM0518";"2019SJ00";"    1955"
"867235";"T001038";"10000";"A041923";"2012655";"GM0518";"2019SJ00";"     263"
"882082";"T001038";"10000";"A041923";"2012657";"GM0518";"2019SJ00";"    1692"
"896929";"T001038";"10000";"A041923";"H008766";"GM0518";"2019SJ00";"     494"
"911776";"T001038";"10000";"A041923";"H008673";"GM0518";"2019SJ00";"     447"
"926623";"T001038";"10000";"A041923";"H008751";"GM0518";"2019SJ00";"     240"
"941470";"T001038";"10000";"A041923";"H007119";"GM0518";"2019SJ00";"     107"
"956317";"T001038";"10000";"A041923";"A008187";"GM0518";"2019SJ00";"     404"
"971164";"T001038";"10000";"A041923";"2012659";"GM0518";"2019SJ00";"       6"
"986011";"T001038";"10000";"A025289";"T001040";"GM0518";"2019SJ00";"    1301"
"1000858";"T001038";"10000";"A025289";"1012600";"GM0518";"2019SJ00";"     272"
"1015705";"T001038";"10000";"A025289";"2012605";"GM0518";"2019SJ00";"    1028"
"1030552";"T001038";"10000";"A025289";"2012655";"GM0518";"2019SJ00";"     204"
"1045399";"T001038";"10000";"A025289";"2012657";"GM0518";"2019SJ00";"     824"
"1060246";"T001038";"10000";"A025289";"H008766";"GM0518";"2019SJ00";"     252"
"1075093";"T001038";"10000";"A025289";"H008673";"GM0518";"2019SJ00";"     149"
"1089940";"T001038";"10000";"A025289";"H008751";"GM0518";"2019SJ00";"     103"
"1104787";"T001038";"10000";"A025289";"H007119";"GM0518";"2019SJ00";"      97"
"1119634";"T001038";"10000";"A025289";"A008187";"GM0518";"2019SJ00";"     223"
"1134481";"T001038";"10000";"A025289";"2012659";"GM0518";"2019SJ00";"       1"
"1149328";"T001038";"10000";"A025300";"T001040";"GM0518";"2019SJ00";"     447"
"1164175";"T001038";"10000";"A025300";"1012600";"GM0518";"2019SJ00";"     155"
"1179022";"T001038";"10000";"A025300";"2012605";"GM0518";"2019SJ00";"     292"
"1193869";"T001038";"10000";"A025300";"2012655";"GM0518";"2019SJ00";"      48"
"1208716";"T001038";"10000";"A025300";"2012657";"GM0518";"2019SJ00";"     244"
"1223563";"T001038";"10000";"A025300";"H008766";"GM0518";"2019SJ00";"      51"
"1238410";"T001038";"10000";"A025300";"H008673";"GM0518";"2019SJ00";"      39"
"1253257";"T001038";"10000";"A025300";"H008751";"GM0518";"2019SJ00";"      63"
"1268104";"T001038";"10000";"A025300";"H007119";"GM0518";"2019SJ00";"       8"
"1282951";"T001038";"10000";"A025300";"A008187";"GM0518";"2019SJ00";"      83"
"1297798";"T001038";"10000";"A025300";"2012659";"GM0518";"2019SJ00";"       0"
"1312645";"T001038";"10000";"A041867";"T001040";"GM0518";"2019SJ00";"   13740"
"1327492";"T001038";"10000";"A041867";"1012600";"GM0518";"2019SJ00";"    4151"
"1342339";"T001038";"10000";"A041867";"2012605";"GM0518";"2019SJ00";"    9586"
"1357186";"T001038";"10000";"A041867";"2012655";"GM0518";"2019SJ00";"     991"
"1372033";"T001038";"10000";"A041867";"2012657";"GM0518";"2019SJ00";"    8595"
"1386880";"T001038";"10000";"A041867";"H008766";"GM0518";"2019SJ00";"    1956"
"1401727";"T001038";"10000";"A041867";"H008673";"GM0518";"2019SJ00";"    1636"
"1416574";"T001038";"10000";"A041867";"H008751";"GM0518";"2019SJ00";"    1697"
"1431421";"T001038";"10000";"A041867";"H007119";"GM0518";"2019SJ00";"    1008"
"1446268";"T001038";"10000";"A041867";"A008187";"GM0518";"2019SJ00";"    2298"
"1461115";"T001038";"10000";"A041867";"2012659";"GM0518";"2019SJ00";"       3"
"1475962";"T001038";"10000";"A041868";"T001040";"GM0518";"2019SJ00";"   11129"
"1490809";"T001038";"10000";"A041868";"1012600";"GM0518";"2019SJ00";"    2931"
"1505656";"T001038";"10000";"A041868";"2012605";"GM0518";"2019SJ00";"    8196"
"1520503";"T001038";"10000";"A041868";"2012655";"GM0518";"2019SJ00";"     770"
"1535350";"T001038";"10000";"A041868";"2012657";"GM0518";"2019SJ00";"    7426"
"1550197";"T001038";"10000";"A041868";"H008766";"GM0518";"2019SJ00";"    1714"
"1565044";"T001038";"10000";"A041868";"H008673";"GM0518";"2019SJ00";"    1460"
"1579891";"T001038";"10000";"A041868";"H008751";"GM0518";"2019SJ00";"    1384"
"1594738";"T001038";"10000";"A041868";"H007119";"GM0518";"2019SJ00";"     842"
"1609585";"T001038";"10000";"A041868";"A008187";"GM0518";"2019SJ00";"    2026"
"1624432";"T001038";"10000";"A041868";"2012659";"GM0518";"2019SJ00";"       2"
"1639279";"T001038";"10000";"A025293";"T001040";"GM0518";"2019SJ00";"    2611"
"1654126";"T001038";"10000";"A025293";"1012600";"GM0518";"2019SJ00";"    1220"
"1668973";"T001038";"10000";"A025293";"2012605";"GM0518";"2019SJ00";"    1390"
"1683820";"T001038";"10000";"A025293";"2012655";"GM0518";"2019SJ00";"     221"
"1698667";"T001038";"10000";"A025293";"2012657";"GM0518";"2019SJ00";"    1169"
"1713514";"T001038";"10000";"A025293";"H008766";"GM0518";"2019SJ00";"     242"
"1728361";"T001038";"10000";"A025293";"H008673";"GM0518";"2019SJ00";"     176"
"1743208";"T001038";"10000";"A025293";"H008751";"GM0518";"2019SJ00";"     313"
"1758055";"T001038";"10000";"A025293";"H007119";"GM0518";"2019SJ00";"     166"
"1772902";"T001038";"10000";"A025293";"A008187";"GM0518";"2019SJ00";"     272"
"1787749";"T001038";"10000";"A025293";"2012659";"GM0518";"2019SJ00";"       1"
"1802596";"T001038";"10000";"A041751";"T001040";"GM0518";"2019SJ00";"     655"
"1817443";"T001038";"10000";"A041751";"1012600";"GM0518";"2019SJ00";"      83"
"1832290";"T001038";"10000";"A041751";"2012605";"GM0518";"2019SJ00";"     572"
"1847137";"T001038";"10000";"A041751";"2012655";"GM0518";"2019SJ00";"      43"
"1861984";"T001038";"10000";"A041751";"2012657";"GM0518";"2019SJ00";"     529"
"1876831";"T001038";"10000";"A041751";"H008766";"GM0518";"2019SJ00";"      64"
"1891678";"T001038";"10000";"A041751";"H008673";"GM0518";"2019SJ00";"      69"
"1906525";"T001038";"10000";"A041751";"H008751";"GM0518";"2019SJ00";"      37"
"1921372";"T001038";"10000";"A041751";"H007119";"GM0518";"2019SJ00";"      55"
"1936219";"T001038";"10000";"A041751";"A008187";"GM0518";"2019SJ00";"     304"
"1951066";"T001038";"10000";"A041751";"2012659";"GM0518";"2019SJ00";"       0"
"1965913";"T001038";"10000";"A041755";"T001040";"GM0518";"2019SJ00";"    3071"
"1980760";"T001038";"10000";"A041755";"1012600";"GM0518";"2019SJ00";"     663"
"1995607";"T001038";"10000";"A041755";"2012605";"GM0518";"2019SJ00";"    2406"
"2010454";"T001038";"10000";"A041755";"2012655";"GM0518";"2019SJ00";"     277"
"2025301";"T001038";"10000";"A041755";"2012657";"GM0518";"2019SJ00";"    2129"
"2040148";"T001038";"10000";"A041755";"H008766";"GM0518";"2019SJ00";"     493"
"2054995";"T001038";"10000";"A041755";"H008673";"GM0518";"2019SJ00";"     382"
"2069842";"T001038";"10000";"A041755";"H008751";"GM0518";"2019SJ00";"     305"
"2084689";"T001038";"10000";"A041755";"H007119";"GM0518";"2019SJ00";"     269"
"2099536";"T001038";"10000";"A041755";"A008187";"GM0518";"2019SJ00";"     680"
"2114383";"T001038";"10000";"A041755";"2012659";"GM0518";"2019SJ00";"       2"
"2129230";"T001038";"10000";"A041759";"T001040";"GM0518";"2019SJ00";"    2770"
"2144077";"T001038";"10000";"A041759";"1012600";"GM0518";"2019SJ00";"     922"
"2158924";"T001038";"10000";"A041759";"2012605";"GM0518";"2019SJ00";"    1848"
"2173771";"T001038";"10000";"A041759";"2012655";"GM0518";"2019SJ00";"     198"
"2188618";"T001038";"10000";"A041759";"2012657";"GM0518";"2019SJ00";"    1650"
"2203465";"T001038";"10000";"A041759";"H008766";"GM0518";"2019SJ00";"     365"
"2218312";"T001038";"10000";"A041759";"H008673";"GM0518";"2019SJ00";"     252"
"2233159";"T001038";"10000";"A041759";"H008751";"GM0518";"2019SJ00";"     367"
"2248006";"T001038";"10000";"A041759";"H007119";"GM0518";"2019SJ00";"     267"
"2262853";"T001038";"10000";"A041759";"A008187";"GM0518";"2019SJ00";"     399"
"2277700";"T001038";"10000";"A041759";"2012659";"GM0518";"2019SJ00";"       0"
"2292547";"T001038";"10000";"A041924";"T001040";"GM0518";"2019SJ00";"    7238"
"2307394";"T001038";"10000";"A041924";"1012600";"GM0518";"2019SJ00";"    2479"
"2322241";"T001038";"10000";"A041924";"2012605";"GM0518";"2019SJ00";"    4758"
"2337088";"T001038";"10000";"A041924";"2012655";"GM0518";"2019SJ00";"     472"
"2351935";"T001038";"10000";"A041924";"2012657";"GM0518";"2019SJ00";"    4286"
"2366782";"T001038";"10000";"A041924";"H008766";"GM0518";"2019SJ00";"    1034"
"2381629";"T001038";"10000";"A041924";"H008673";"GM0518";"2019SJ00";"     933"
"2396476";"T001038";"10000";"A041924";"H008751";"GM0518";"2019SJ00";"     987"
"2411323";"T001038";"10000";"A041924";"H007119";"GM0518";"2019SJ00";"     417"
"2426170";"T001038";"10000";"A041924";"A008187";"GM0518";"2019SJ00";"     915"
"2441017";"T001038";"10000";"A041924";"2012659";"GM0518";"2019SJ00";"       1"
"2455864";"T001038";"10000";"A041925";"T001040";"GM0518";"2019SJ00";"       6"
"2470711";"T001038";"10000";"A041925";"1012600";"GM0518";"2019SJ00";"       4"
"2485558";"T001038";"10000";"A041925";"2012605";"GM0518";"2019SJ00";"       2"
"2500405";"T001038";"10000";"A041925";"2012655";"GM0518";"2019SJ00";"       1"
"2515252";"T001038";"10000";"A041925";"2012657";"GM0518";"2019SJ00";"       1"
"2530099";"T001038";"10000";"A041925";"H008766";"GM0518";"2019SJ00";"       0"
"2544946";"T001038";"10000";"A041925";"H008673";"GM0518";"2019SJ00";"       0"
"2559793";"T001038";"10000";"A041925";"H008751";"GM0518";"2019SJ00";"       1"
"2574640";"T001038";"10000";"A041925";"H007119";"GM0518";"2019SJ00";"       0"
"2589487";"T001038";"10000";"A041925";"A008187";"GM0518";"2019SJ00";"       0"
"2604334";"T001038";"10000";"A041925";"2012659";"GM0518";"2019SJ00";"       0"
"2619181";"T001038";"10000";"A025294";"T001040";"GM0518";"2019SJ00";"   17062"
"2634028";"T001038";"10000";"A025294";"1012600";"GM0518";"2019SJ00";"    5849"
"2648875";"T001038";"10000";"A025294";"2012605";"GM0518";"2019SJ00";"   11213"
"2663722";"T001038";"10000";"A025294";"2012655";"GM0518";"2019SJ00";"    3506"
"2678569";"T001038";"10000";"A025294";"2012657";"GM0518";"2019SJ00";"    7707"
"2693416";"T001038";"10000";"A025294";"H008766";"GM0518";"2019SJ00";"    1122"
"2708263";"T001038";"10000";"A025294";"H008673";"GM0518";"2019SJ00";"     968"
"2723110";"T001038";"10000";"A025294";"H008751";"GM0518";"2019SJ00";"    1707"
"2737957";"T001038";"10000";"A025294";"H007119";"GM0518";"2019SJ00";"    1410"
"2752804";"T001038";"10000";"A025294";"A008187";"GM0518";"2019SJ00";"    2500"
"2767651";"T001038";"10000";"A025294";"2012659";"GM0518";"2019SJ00";"       0"
"2782498";"T001038";"10000";"A025297";"T001040";"GM0518";"2019SJ00";"   10326"
"2797345";"T001038";"10000";"A025297";"1012600";"GM0518";"2019SJ00";"    4142"
"2812192";"T001038";"10000";"A025297";"2012605";"GM0518";"2019SJ00";"    6184"
"2827039";"T001038";"10000";"A025297";"2012655";"GM0518";"2019SJ00";"    2868"
"2841886";"T001038";"10000";"A025297";"2012657";"GM0518";"2019SJ00";"    3316"
"2856733";"T001038";"10000";"A025297";"H008766";"GM0518";"2019SJ00";"     416"
"2871580";"T001038";"10000";"A025297";"H008673";"GM0518";"2019SJ00";"     317"
"2886427";"T001038";"10000";"A025297";"H008751";"GM0518";"2019SJ00";"     676"
"2901274";"T001038";"10000";"A025297";"H007119";"GM0518";"2019SJ00";"     275"
"2916121";"T001038";"10000";"A025297";"A008187";"GM0518";"2019SJ00";"    1632"
"2930968";"T001038";"10000";"A025297";"2012659";"GM0518";"2019SJ00";"       0"
"2945815";"T001038";"40900";"T001345";"T001040";"GM0518";"2019SJ00";"       0"
"2960662";"T001038";"40900";"T001345";"1012600";"GM0518";"2019SJ00";"       0"
"2975509";"T001038";"40900";"T001345";"2012605";"GM0518";"2019SJ00";"       0"
"2990356";"T001038";"40900";"T001345";"2012655";"GM0518";"2019SJ00";"       0"
"3005203";"T001038";"40900";"T001345";"2012657";"GM0518";"2019SJ00";"       0"
"3020050";"T001038";"40900";"T001345";"H008766";"GM0518";"2019SJ00";"       0"
"3034897";"T001038";"40900";"T001345";"H008673";"GM0518";"2019SJ00";"       0"
"3049744";"T001038";"40900";"T001345";"H008751";"GM0518";"2019SJ00";"       0"
"3064591";"T001038";"40900";"T001345";"H007119";"GM0518";"2019SJ00";"       0"
"3079438";"T001038";"40900";"T001345";"A008187";"GM0518";"2019SJ00";"       0"
"3094285";"T001038";"40900";"T001345";"2012659";"GM0518";"2019SJ00";"       0"
"3109132";"T001038";"40900";"A041919";"T001040";"GM0518";"2019SJ00";"       0"
"3123979";"T001038";"40900";"A041919";"1012600";"GM0518";"2019SJ00";"       0"
"3138826";"T001038";"40900";"A041919";"2012605";"GM0518";"2019SJ00";"       0"
"3153673";"T001038";"40900";"A041919";"2012655";"GM0518";"2019SJ00";"       0"
"3168520";"T001038";"40900";"A041919";"2012657";"GM0518";"2019SJ00";"       0"
"3183367";"T001038";"40900";"A041919";"H008766";"GM0518";"2019SJ00";"       0"
"3198214";"T001038";"40900";"A041919";"H008673";"GM0518";"2019SJ00";"       0"
"3213061";"T001038";"40900";"A041919";"H008751";"GM0518";"2019SJ00";"       0"
"3227908";"T001038";"40900";"A041919";"H007119";"GM0518";"2019SJ00";"       0"
"3242755";"T001038";"40900";"A041919";"A008187";"GM0518";"2019SJ00";"       0"
"3257602";"T001038";"40900";"A041919";"2012659";"GM0518";"2019SJ00";"       0"
"3272449";"T001038";"40900";"A041920";"T001040";"GM0518";"2019SJ00";"       0"
"3287296";"T001038";"40900";"A041920";"1012600";"GM0518";"2019SJ00";"       0"
"3302143";"T001038";"40900";"A041920";"2012605";"GM0518";"2019SJ00";"       0"
"3316990";"T001038";"40900";"A041920";"2012655";"GM0518";"2019SJ00";"       0"
"3331837";"T001038";"40900";"A041920";"2012657";"GM0518";"2019SJ00";"       0"
"3346684";"T001038";"40900";"A041920";"H008766";"GM0518";"2019SJ00";"       0"
"3361531";"T001038";"40900";"A041920";"H008673";"GM0518";"2019SJ00";"       0"
"3376378";"T001038";"40900";"A041920";"H008751";"GM0518";"2019SJ00";"       0"
"3391225";"T001038";"40900";"A041920";"H007119";"GM0518";"2019SJ00";"       0"
"3406072";"T001038";"40900";"A041920";"A008187";"GM0518";"2019SJ00";"       0"
"3420919";"T001038";"40900";"A041920";"2012659";"GM0518";"2019SJ00";"       0"
"3435766";"T001038";"40900";"A041921";"T001040";"GM0518";"2019SJ00";"       0"
"3450613";"T001038";"40900";"A041921";"1012600";"GM0518";"2019SJ00";"       0"
"3465460";"T001038";"40900";"A041921";"2012605";"GM0518";"2019SJ00";"       0"
"3480307";"T001038";"40900";"A041921";"2012655";"GM0518";"2019SJ00";"       0"
"3495154";"T001038";"40900";"A041921";"2012657";"GM0518";"2019SJ00";"       0"
"3510001";"T001038";"40900";"A041921";"H008766";"GM0518";"2019SJ00";"       0"
"3524848";"T001038";"40900";"A041921";"H008673";"GM0518";"2019SJ00";"       0"
"3539695";"T001038";"40900";"A041921";"H008751";"GM0518";"2019SJ00";"       0"
"3554542";"T001038";"40900";"A041921";"H007119";"GM0518";"2019SJ00";"       0"
"3569389";"T001038";"40900";"A041921";"A008187";"GM0518";"2019SJ00";"       0"
"3584236";"T001038";"40900";"A041921";"2012659";"GM0518";"2019SJ00";"       0"
"3599083";"T001038";"40900";"A041922";"T001040";"GM0518";"2019SJ00";"       0"
"3613930";"T001038";"40900";"A041922";"1012600";"GM0518";"2019SJ00";"       0"
"3628777";"T001038";"40900";"A041922";"2012605";"GM0518";"2019SJ00";"       0"
"3643624";"T001038";"40900";"A041922";"2012655";"GM0518";"2019SJ00";"       0"
"3658471";"T001038";"40900";"A041922";"2012657";"GM0518";"2019SJ00";"       0"
"3673318";"T001038";"40900";"A041922";"H008766";"GM0518";"2019SJ00";"       0"
"3688165";"T001038";"40900";"A041922";"H008673";"GM0518";"2019SJ00";"       0"
"3703012";"T001038";"40900";"A041922";"H008751";"GM0518";"2019SJ00";"       0"
"3717859";"T001038";"40900";"A041922";"H007119";"GM0518";"2019SJ00";"       0"
"3732706";"T001038";"40900";"A041922";"A008187";"GM0518";"2019SJ00";"       0"
"3747553";"T001038";"40900";"A041922";"2012659";"GM0518";"2019SJ00";"       0"
"3762400";"T001038";"40900";"A041923";"T001040";"GM0518";"2019SJ00";"       0"
"3777247";"T001038";"40900";"A041923";"1012600";"GM0518";"2019SJ00";"       0"
"3792094";"T001038";"40900";"A041923";"2012605";"GM0518";"2019SJ00";"       0"
"3806941";"T001038";"40900";"A041923";"2012655";"GM0518";"2019SJ00";"       0"
"3821788";"T001038";"40900";"A041923";"2012657";"GM0518";"2019SJ00";"       0"
"3836635";"T001038";"40900";"A041923";"H008766";"GM0518";"2019SJ00";"       0"
"3851482";"T001038";"40900";"A041923";"H008673";"GM0518";"2019SJ00";"       0"
"3866329";"T001038";"40900";"A041923";"H008751";"GM0518";"2019SJ00";"       0"
"3881176";"T001038";"40900";"A041923";"H007119";"GM0518";"2019SJ00";"       0"
"3896023";"T001038";"40900";"A041923";"A008187";"GM0518";"2019SJ00";"       0"
"3910870";"T001038";"40900";"A041923";"2012659";"GM0518";"2019SJ00";"       0"
"3925717";"T001038";"40900";"A025289";"T001040";"GM0518";"2019SJ00";"       0"
"3940564";"T001038";"40900";"A025289";"1012600";"GM0518";"2019SJ00";"       0"
"3955411";"T001038";"40900";"A025289";"2012605";"GM0518";"2019SJ00";"       0"
"3970258";"T001038";"40900";"A025289";"2012655";"GM0518";"2019SJ00";"       0"
"3985105";"T001038";"40900";"A025289";"2012657";"GM0518";"2019SJ00";"       0"
"3999952";"T001038";"40900";"A025289";"H008766";"GM0518";"2019SJ00";"       0"
"4014799";"T001038";"40900";"A025289";"H008673";"GM0518";"2019SJ00";"       0"
"4029646";"T001038";"40900";"A025289";"H008751";"GM0518";"2019SJ00";"       0"
"4044493";"T001038";"40900";"A025289";"H007119";"GM0518";"2019SJ00";"       0"
"4059340";"T001038";"40900";"A025289";"A008187";"GM0518";"2019SJ00";"       0"
"4074187";"T001038";"40900";"A025289";"2012659";"GM0518";"2019SJ00";"       0"
"4089034";"T001038";"40900";"A025300";"T001040";"GM0518";"2019SJ00";"       0"
"4103881";"T001038";"40900";"A025300";"1012600";"GM0518";"2019SJ00";"       0"
"4118728";"T001038";"40900";"A025300";"2012605";"GM0518";"2019SJ00";"       0"
"4133575";"T001038";"40900";"A025300";"2012655";"GM0518";"2019SJ00";"       0"
"4148422";"T001038";"40900";"A025300";"2012657";"GM0518";"2019SJ00";"       0"
"4163269";"T001038";"40900";"A025300";"H008766";"GM0518";"2019SJ00";"       0"
"4178116";"T001038";"40900";"A025300";"H008673";"GM0518";"2019SJ00";"       0"
"4192963";"T001038";"40900";"A025300";"H008751";"GM0518";"2019SJ00";"       0"
"4207810";"T001038";"40900";"A025300";"H007119";"GM0518";"2019SJ00";"       0"
"4222657";"T001038";"40900";"A025300";"A008187";"GM0518";"2019SJ00";"       0"
"4237504";"T001038";"40900";"A025300";"2012659";"GM0518";"2019SJ00";"       0"
"4252351";"T001038";"40900";"A041867";"T001040";"GM0518";"2019SJ00";"       0"
"4267198";"T001038";"40900";"A041867";"1012600";"GM0518";"2019SJ00";"       0"
"4282045";"T001038";"40900";"A041867";"2012605";"GM0518";"2019SJ00";"       0"
"4296892";"T001038";"40900";"A041867";"2012655";"GM0518";"2019SJ00";"       0"
"4311739";"T001038";"40900";"A041867";"2012657";"GM0518";"2019SJ00";"       0"
"4326586";"T001038";"40900";"A041867";"H008766";"GM0518";"2019SJ00";"       0"
"4341433";"T001038";"40900";"A041867";"H008673";"GM0518";"2019SJ00";"       0"
"4356280";"T001038";"40900";"A041867";"H008751";"GM0518";"2019SJ00";"       0"
"4371127";"T001038";"40900";"A041867";"H007119";"GM0518";"2019SJ00";"       0"
"4385974";"T001038";"40900";"A041867";"A008187";"GM0518";"2019SJ00";"       0"
"4400821";"T001038";"40900";"A041867";"2012659";"GM0518";"2019SJ00";"       0"
"4415668";"T001038";"40900";"A041868";"T001040";"GM0518";"2019SJ00";"       0"
"4430515";"T001038";"40900";"A041868";"1012600";"GM0518";"2019SJ00";"       0"
"4445362";"T001038";"40900";"A041868";"2012605";"GM0518";"2019SJ00";"       0"
"4460209";"T001038";"40900";"A041868";"2012655";"GM0518";"2019SJ00";"       0"
"4475056";"T001038";"40900";"A041868";"2012657";"GM0518";"2019SJ00";"       0"
"4489903";"T001038";"40900";"A041868";"H008766";"GM0518";"2019SJ00";"       0"
"4504750";"T001038";"40900";"A041868";"H008673";"GM0518";"2019SJ00";"       0"
"4519597";"T001038";"40900";"A041868";"H008751";"GM0518";"2019SJ00";"       0"
"4534444";"T001038";"40900";"A041868";"H007119";"GM0518";"2019SJ00";"       0"
"4549291";"T001038";"40900";"A041868";"A008187";"GM0518";"2019SJ00";"       0"
"4564138";"T001038";"40900";"A041868";"2012659";"GM0518";"2019SJ00";"       0"
"4578985";"T001038";"40900";"A025293";"T001040";"GM0518";"2019SJ00";"       0"
"4593832";"T001038";"40900";"A025293";"1012600";"GM0518";"2019SJ00";"       0"
"4608679";"T001038";"40900";"A025293";"2012605";"GM0518";"2019SJ00";"       0"
"4623526";"T001038";"40900";"A025293";"2012655";"GM0518";"2019SJ00";"       0"
"4638373";"T001038";"40900";"A025293";"2012657";"GM0518";"2019SJ00";"       0"
"4653220";"T001038";"40900";"A025293";"H008766";"GM0518";"2019SJ00";"       0"
"4668067";"T001038";"40900";"A025293";"H008673";"GM0518";"2019SJ00";"       0"
"4682914";"T001038";"40900";"A025293";"H008751";"GM0518";"2019SJ00";"       0"
"4697761";"T001038";"40900";"A025293";"H007119";"GM0518";"2019SJ00";"       0"
"4712608";"T001038";"40900";"A025293";"A008187";"GM0518";"2019SJ00";"       0"
"4727455";"T001038";"40900";"A025293";"2012659";"GM0518";"2019SJ00";"       0"
"4742302";"T001038";"40900";"A041751";"T001040";"GM0518";"2019SJ00";"       0"
"4757149";"T001038";"40900";"A041751";"1012600";"GM0518";"2019SJ00";"       0"
