"PC6","neighb_code","n_individuals","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","female","male","Western","Non_Western","Dutch","education_low","education_middle","education_high","n_households","household_avg_size","children","couples_with_children","couples_without_children","singleparents","singles","no_children","neighb_name"
"2531CD","BU05183638",8,2,1,4,0,1,6,2,3,4,1,0,4,3,4,2,2,1,1,1,1,6,"Moerwijk-Noord"
"2531CE","BU05183638",41,6,6,21,5,3,21,20,6,21,14,17,5,14,23,1.78,10,6,2,1,14,31,"Moerwijk-Noord"
"2531CG","BU05183638",62,8,9,23,19,3,26,36,11,37,14,18,15,19,30,2.07,17,9,6,0,15,45,"Moerwijk-Noord"
"2531CH","BU05183638",55,8,5,20,18,4,29,26,15,35,5,17,18,14,28,1.96,15,8,4,2,14,40,"Moerwijk-Noord"
"2531EA","BU05183638",29,5,6,8,9,1,11,18,4,17,8,11,7,6,12,2.42,11,4,2,2,4,18,"Moerwijk-Noord"
"2531EB","BU05183638",22,1,5,7,7,2,9,13,3,13,6,5,10,6,12,1.83,6,0,4,4,4,16,"Moerwijk-Noord"
"2531EC","BU05183638",17,0,3,7,6,1,8,9,5,11,1,7,5,5,10,1.7,3,1,3,0,6,14,"Moerwijk-Noord"
"2531ED","BU05183638",33,4,5,12,7,5,15,18,9,14,10,12,10,7,16,2.06,9,5,3,0,8,24,"Moerwijk-Noord"
"2531EE","BU05183638",21,0,3,7,6,5,5,16,3,9,9,6,5,9,19,1.11,1,0,1,1,17,20,"Moerwijk-Noord"
"2531EG","BU05183638",45,9,5,11,17,3,23,22,9,20,16,15,13,12,24,1.88,15,5,1,5,13,30,"Moerwijk-Noord"
"2531EH","BU05183638",22,5,2,8,5,2,12,10,11,7,4,3,6,9,10,2.2,6,4,2,0,4,16,"Moerwijk-Noord"
"2531EJ","BU05183638",32,5,3,11,10,3,14,18,9,14,9,12,4,12,18,1.78,8,3,3,2,10,24,"Moerwijk-Noord"
"2531EM","BU05183638",42,8,4,13,7,10,22,20,11,24,7,11,10,13,20,2.1,12,6,4,1,9,30,"Moerwijk-Noord"
"2531EP","BU05183638",50,14,4,13,14,5,27,23,7,34,9,17,7,13,22,2.27,18,6,4,5,7,32,"Moerwijk-Noord"
"2531ER","BU05183638",29,4,6,13,6,0,18,11,8,12,9,5,12,9,15,1.93,7,4,3,1,7,22,"Moerwijk-Noord"
"2531ES","BU05183638",32,4,4,13,5,6,15,17,8,15,9,6,13,10,15,2.13,8,4,5,2,4,24,"Moerwijk-Noord"
"2531ET","BU05183638",43,8,6,14,13,2,14,29,9,26,8,15,10,9,21,2.05,12,5,5,2,9,31,"Moerwijk-Noord"
"2531EV","BU05183638",37,6,3,11,12,5,17,20,3,24,10,9,10,14,18,2.06,9,6,4,0,8,28,"Moerwijk-Noord"
"2531EW","BU05183638",30,5,2,12,10,1,14,16,5,20,5,8,8,8,15,2,7,6,2,0,7,23,"Moerwijk-Noord"
"2531EX","BU05183638",30,5,5,7,7,6,15,15,7,12,11,8,9,9,15,2,10,3,2,2,8,20,"Moerwijk-Noord"
"2531GA","BU05183638",39,8,5,18,6,2,19,20,6,25,8,11,11,11,21,1.86,13,5,0,5,11,26,"Moerwijk-Noord"
"2531GB","BU05183638",59,13,10,18,17,1,31,28,10,35,14,14,12,22,26,2.27,23,8,2,4,12,36,"Moerwijk-Noord"
"2531GR","BU05183620",55,5,5,15,16,14,24,31,7,30,18,18,16,17,32,1.72,12,4,7,3,18,43,"Moerwijk-Oost"
"2531GV","BU05183620",20,2,2,9,5,2,9,11,3,12,5,7,6,6,14,1.43,4,2,0,1,11,16,"Moerwijk-Oost"
"2531GW","BU05183620",65,15,8,15,24,3,33,32,5,38,22,16,16,20,28,2.32,23,9,5,3,11,42,"Moerwijk-Oost"
"2531GX","BU05183620",28,5,4,6,7,6,11,17,4,14,10,6,8,8,12,2.33,9,4,3,0,5,19,"Moerwijk-Oost"
"2531GZ","BU05183620",26,5,2,11,5,3,11,15,4,12,10,7,7,7,16,1.62,6,4,0,0,12,20,"Moerwijk-Oost"
"2531HA","BU05183620",24,5,2,11,4,2,10,14,1,21,2,7,7,7,15,1.6,6,2,1,1,11,18,"Moerwijk-Oost"
"2531HB","BU05183620",29,6,1,12,4,6,13,16,6,19,4,9,6,9,15,1.93,7,4,3,0,8,22,"Moerwijk-Oost"
"2531HC","BU05183620",52,10,7,16,17,2,16,36,3,35,14,12,19,12,22,2.36,20,9,1,2,10,32,"Moerwijk-Oost"
"2531HD","BU05183620",63,14,5,23,16,5,30,33,10,40,13,18,18,14,30,2.1,20,10,3,2,15,43,"Moerwijk-Oost"
"2531HE","BU05183620",33,7,6,5,9,6,20,13,7,19,7,6,7,14,17,1.94,11,3,2,3,9,22,"Moerwijk-Oost"
"2531HG","BU05183620",44,7,4,20,9,4,19,25,9,21,14,14,9,15,25,1.76,11,5,3,2,15,33,"Moerwijk-Oost"
"2531HH","BU05183620",36,10,2,15,6,3,14,22,6,23,7,10,12,4,18,2,12,5,1,2,10,24,"Moerwijk-Oost"
"2531HJ","BU05183620",16,4,2,5,5,0,5,11,4,9,3,3,5,5,9,1.78,5,2,0,1,6,11,"Moerwijk-Oost"
"2531HK","BU05183620",15,1,2,4,7,1,8,7,1,8,6,7,3,5,10,1.5,2,2,1,0,7,13,"Moerwijk-Oost"
"2531HL","BU05183620",65,13,8,15,22,7,29,36,8,40,17,17,17,19,34,1.91,20,9,2,5,18,45,"Moerwijk-Oost"
"2531HP","BU05183620",54,10,7,19,12,6,22,32,5,39,10,13,15,16,27,2,16,7,4,3,13,38,"Moerwijk-Oost"
"2531HR","BU05183620",82,21,4,28,18,11,39,43,13,48,21,18,26,21,35,2.34,30,12,5,5,13,52,"Moerwijk-Oost"
"2531HT","BU05183620",30,6,3,8,7,6,11,19,3,14,13,11,8,5,16,1.88,9,4,1,1,10,21,"Moerwijk-Oost"
"2531HV","BU05183620",70,21,4,35,9,1,37,33,9,50,11,21,18,13,32,2.19,22,10,6,3,13,48,"Moerwijk-Oost"
"2531JB","BU05183620",16,5,1,4,6,0,6,10,3,11,2,7,2,2,7,2.29,6,3,0,1,3,10,"Moerwijk-Oost"
"2531JC","BU05183620",46,8,3,13,14,8,24,22,3,32,11,16,12,10,23,2,14,6,3,1,13,32,"Moerwijk-Oost"
"2531JE","BU05183620",48,8,10,16,11,3,18,30,8,31,9,12,7,21,25,1.92,15,5,3,4,13,33,"Moerwijk-Oost"
"2531JJ","BU05183620",39,10,5,8,11,5,19,20,3,25,11,15,5,8,20,1.95,15,3,1,4,12,24,"Moerwijk-Oost"
"2531JK","BU05183620",58,9,8,27,7,7,29,29,10,37,11,20,13,17,29,2,16,8,5,0,16,42,"Moerwijk-Oost"
"2531JN","BU05183620",39,11,3,15,7,3,14,25,9,20,10,6,7,16,17,2.29,14,7,1,1,8,25,"Moerwijk-Oost"
"2531JP","BU05183620",42,4,5,15,9,9,19,23,9,19,14,13,12,13,26,1.62,8,5,3,1,17,34,"Moerwijk-Oost"
"2531JR","BU05183620",36,10,5,12,8,1,14,22,5,23,8,10,4,12,15,2.4,13,8,0,1,6,23,"Moerwijk-Oost"
"2531JS","BU05183620",63,22,8,22,8,3,32,31,13,40,10,15,13,14,24,2.62,28,10,1,5,8,35,"Moerwijk-Oost"
"2531JT","BU05183639",6,0,1,3,1,1,4,2,0,2,4,1,3,2,4,1.5,1,0,1,1,2,5,"Moerwijk-Zuid"
"2531JV","BU05183639",61,10,9,27,13,2,25,36,3,36,22,23,15,12,30,2.03,17,6,8,3,13,44,"Moerwijk-Zuid"
"2531JW","BU05183639",50,14,2,22,6,6,19,31,7,35,8,9,16,13,23,2.17,17,8,2,2,11,33,"Moerwijk-Zuid"
"2531JX","BU05183639",29,4,3,9,9,4,14,15,3,22,4,8,8,8,15,1.93,9,3,2,3,7,20,"Moerwijk-Zuid"
"2531KA","BU05183639",41,7,5,20,3,6,19,22,5,27,9,9,11,14,22,1.86,12,6,1,1,14,29,"Moerwijk-Zuid"
"2531KB","BU05183639",44,5,9,13,14,3,24,20,4,29,11,13,14,15,22,2,13,5,4,4,9,31,"Moerwijk-Zuid"
"2531NA","BU05183620",83,22,6,29,17,9,38,45,5,58,20,15,23,24,38,2.18,28,11,6,4,17,55,"Moerwijk-Oost"
"2531NB","BU05183620",55,11,4,22,9,9,18,37,9,35,11,16,14,14,29,1.9,18,6,2,3,18,37,"Moerwijk-Oost"
"2531NC","BU05183620",60,9,6,22,13,10,26,34,6,43,11,24,12,17,35,1.71,15,8,2,3,22,45,"Moerwijk-Oost"
"2531ND","BU05183620",55,12,10,15,13,5,25,30,5,35,15,11,11,20,31,1.77,15,6,3,2,20,40,"Moerwijk-Oost"
"2531NE","BU05183620",120,24,17,43,19,17,60,60,18,74,28,33,40,27,58,2.07,35,16,11,4,27,85,"Moerwijk-Oost"
"2531PB","BU05183639",33,7,3,20,2,1,17,16,2,24,7,7,12,7,20,1.65,9,3,1,3,13,24,"Moerwijk-Zuid"
"2531PD","BU05183620",42,5,2,18,10,7,19,23,5,30,7,19,10,10,28,1.5,6,2,6,3,17,36,"Moerwijk-Oost"
"2531PE","BU05183620",55,11,8,15,14,7,28,27,11,33,11,10,10,24,27,2.04,18,5,5,5,12,37,"Moerwijk-Oost"
"2531PG","BU05183620",19,8,1,6,3,1,7,12,1,12,6,5,1,7,8,2.38,9,2,0,3,3,10,"Moerwijk-Oost"
"2531PJ","BU05183620",23,5,1,6,7,4,15,8,2,15,6,8,2,9,14,1.64,5,2,2,2,8,18,"Moerwijk-Oost"
"2531PK","BU05183620",24,5,4,9,5,1,11,13,2,13,9,3,8,8,12,2,9,3,0,1,8,15,"Moerwijk-Oost"
"2531PL","BU05183620",50,11,2,16,15,6,23,27,8,33,9,16,14,11,24,2.08,15,8,3,0,13,35,"Moerwijk-Oost"
"2531PT","BU05183620",41,8,7,9,9,8,20,21,4,27,10,13,6,12,18,2.28,15,5,3,3,7,26,"Moerwijk-Oost"
"2531PV","BU05183620",49,9,3,14,14,9,20,29,6,35,8,15,16,10,26,1.88,13,6,4,2,14,36,"Moerwijk-Oost"
"2531PX","BU05183620",55,10,9,16,15,5,25,30,7,35,13,17,15,16,29,1.9,18,6,2,5,16,37,"Moerwijk-Oost"
"2531PZ","BU05183620",32,5,3,11,8,5,15,17,8,19,5,7,10,10,18,1.78,8,5,1,2,10,24,"Moerwijk-Oost"
"2531RA","BU05183620",33,6,3,10,12,2,16,17,2,20,11,9,12,7,18,1.83,9,4,2,1,11,24,"Moerwijk-Oost"
"2531RB","BU05183620",5,1,0,1,2,1,4,1,0,5,0,1,2,1,4,1.25,1,0,0,1,3,4,"Moerwijk-Oost"
"2531RC","BU05183620",43,8,2,16,9,8,22,21,5,26,12,14,11,10,24,1.79,11,5,3,3,13,32,"Moerwijk-Oost"
"2531RD","BU05183620",68,16,5,25,16,6,33,35,12,38,18,20,15,20,31,2.19,24,10,3,4,14,44,"Moerwijk-Oost"
"2531RE","BU05183620",49,12,7,15,13,2,23,26,3,36,10,16,12,11,23,2.13,18,7,1,3,12,31,"Moerwijk-Oost"
"2531RG","BU05183620",52,9,5,15,16,7,21,31,11,32,9,19,12,13,28,1.86,14,7,3,1,17,38,"Moerwijk-Oost"
"2531RH","BU05183620",101,22,13,26,25,15,55,46,18,60,23,31,25,29,51,1.98,33,9,8,9,25,68,"Moerwijk-Oost"
"2531RJ","BU05183620",40,7,3,15,10,5,20,20,8,27,5,12,13,9,22,1.82,12,5,1,2,14,28,"Moerwijk-Oost"
"2531RK","BU05183620",35,6,5,9,10,5,15,20,0,29,6,12,11,4,19,1.84,10,5,1,1,12,25,"Moerwijk-Oost"
"2531RL","BU05183620",54,14,6,19,11,4,29,25,6,35,13,11,16,16,25,2.16,19,7,3,3,12,35,"Moerwijk-Oost"
"2531RM","BU05183620",42,10,5,14,11,2,20,22,4,26,12,13,9,14,20,2.1,15,6,1,3,10,27,"Moerwijk-Oost"
"2531RN","BU05183620",45,3,6,23,12,1,18,27,4,29,12,14,14,16,30,1.5,8,4,3,1,22,37,"Moerwijk-Oost"
"2531RP","BU05183620",47,5,7,11,11,13,19,28,6,26,15,14,15,14,28,1.68,11,4,4,2,18,36,"Moerwijk-Oost"
"2531RR","BU05183620",60,9,8,13,23,7,30,30,6,40,14,25,12,16,33,1.82,18,7,2,3,21,42,"Moerwijk-Oost"
"2531RS","BU05183620",26,5,3,11,5,2,14,12,3,15,8,7,8,8,15,1.73,6,2,3,2,8,20,"Moerwijk-Oost"
"2531RT","BU05183620",42,5,6,16,10,5,19,23,4,20,18,14,10,12,25,1.68,9,3,5,3,14,33,"Moerwijk-Oost"
"2531RV","BU05183620",53,6,5,13,15,14,26,27,10,32,11,16,14,18,31,1.71,13,4,5,6,16,40,"Moerwijk-Oost"
"2531RW","BU05183620",29,6,5,15,3,0,10,19,6,18,5,7,8,6,18,1.61,7,3,1,2,12,22,"Moerwijk-Oost"
"2531RX","BU05183620",59,8,7,25,11,8,24,35,7,37,15,19,15,17,34,1.74,13,9,3,1,21,46,"Moerwijk-Oost"
"2531RZ","BU05183620",38,7,2,12,11,6,19,19,6,23,9,8,13,10,19,2,11,5,3,1,10,27,"Moerwijk-Oost"
"2531SB","BU05183638",37,6,7,15,5,4,23,14,10,19,8,17,7,7,18,2.06,11,4,4,1,9,26,"Moerwijk-Noord"
"2531SC","BU05183638",29,6,7,6,10,0,13,16,10,15,4,8,6,8,14,2.07,11,4,0,3,7,18,"Moerwijk-Noord"
"2531SE","BU05183638",50,10,5,17,11,7,26,24,13,25,12,11,11,19,25,2,14,5,6,1,13,36,"Moerwijk-Noord"
"2531SG","BU05183638",50,9,9,19,10,3,24,26,11,33,6,16,17,8,23,2.17,13,8,6,0,9,37,"Moerwijk-Noord"
"2531SH","BU05183638",75,13,8,21,24,9,37,38,15,37,23,19,25,18,39,1.92,20,9,7,4,19,55,"Moerwijk-Noord"
"2531SJ","BU05183638",42,12,6,14,10,0,16,26,7,31,4,10,12,8,18,2.33,17,6,1,3,8,25,"Moerwijk-Noord"
"2531SK","BU05183638",64,13,14,17,14,6,27,37,11,29,24,26,7,17,27,2.37,23,10,4,4,9,41,"Moerwijk-Noord"
"2531SL","BU05183638",49,8,7,17,13,4,26,23,6,29,14,18,14,10,26,1.88,14,6,3,3,14,35,"Moerwijk-Noord"
"2531SM","BU05183638",44,12,3,14,12,3,20,24,11,22,11,10,12,11,18,2.44,17,8,1,1,8,27,"Moerwijk-Noord"
"2531SN","BU05183638",40,8,7,10,9,6,27,13,6,24,10,13,11,8,20,2,15,3,2,4,11,25,"Moerwijk-Noord"
"2531SP","BU05183638",15,1,3,4,6,1,6,9,4,7,4,6,2,7,11,1.36,2,1,1,0,9,13,"Moerwijk-Noord"
"2531SR","BU05183638",21,8,1,9,0,3,12,9,8,9,4,5,4,5,7,3,9,3,2,2,0,12,"Moerwijk-Noord"
"2531ST","BU05183638",44,4,8,12,11,9,21,23,7,27,10,17,14,11,22,2,11,4,7,4,7,33,"Moerwijk-Noord"
"2531SV","BU05183638",50,12,4,19,13,2,27,23,13,27,10,10,15,14,23,2.17,17,7,3,6,7,33,"Moerwijk-Noord"
"2531SW","BU05183638",52,12,4,18,14,4,22,30,15,25,12,15,9,17,25,2.08,13,7,7,1,10,39,"Moerwijk-Noord"
"2531SX","BU05183638",8,2,3,2,1,0,6,2,0,5,3,2,4,0,3,2.67,3,1,1,0,1,5,"Moerwijk-Noord"
"2531TA","BU05183637",51,12,3,12,11,13,20,31,3,31,17,19,10,11,27,1.89,15,6,3,1,17,36,"Moerwijk-West"
"2531TB","BU05183637",43,8,5,11,16,3,23,20,7,21,15,12,12,13,22,1.95,13,7,1,2,12,30,"Moerwijk-West"
"2531TC","BU05183637",38,7,4,15,9,3,15,23,3,27,8,11,10,8,21,1.81,11,4,2,3,12,27,"Moerwijk-West"
"2531TD","BU05183637",55,16,2,21,12,4,31,24,10,35,10,13,17,11,28,1.96,19,8,0,4,16,36,"Moerwijk-West"
"2531TE","BU05183637",37,8,7,11,11,0,21,16,6,24,7,9,11,10,19,1.95,11,4,3,2,10,26,"Moerwijk-West"
"2531TH","BU05183638",50,9,8,18,8,7,21,29,6,28,16,17,14,13,22,2.27,16,8,4,2,8,34,"Moerwijk-Noord"
"2531TJ","BU05183638",70,16,7,24,11,12,39,31,15,39,16,25,15,13,35,2,20,7,8,3,17,50,"Moerwijk-Noord"
"2531TK","BU05183638",48,15,2,23,7,1,22,26,11,28,9,9,13,16,20,2.4,19,7,2,3,8,29,"Moerwijk-Noord"
"2531TL","BU05183638",35,6,6,16,4,3,19,16,8,20,7,7,10,11,22,1.59,9,3,1,2,16,26,"Moerwijk-Noord"
"2531TM","BU05183638",52,8,7,22,10,5,20,32,8,24,20,14,18,12,28,1.86,15,6,3,4,15,37,"Moerwijk-Noord"
"2531TN","BU05183638",44,11,4,15,9,5,22,22,10,21,13,10,9,15,21,2.1,14,4,5,3,9,30,"Moerwijk-Noord"
"2531TP","BU05183638",67,11,10,21,19,6,32,35,17,39,11,20,26,12,31,2.16,21,11,4,4,12,46,"Moerwijk-Noord"
"2531TR","BU05183638",43,8,7,11,11,6,25,18,9,24,10,12,6,17,19,2.26,15,6,3,3,7,28,"Moerwijk-Noord"
"2531TS","BU05183638",42,9,5,14,12,2,19,23,3,27,12,13,11,11,23,1.83,12,5,2,2,14,30,"Moerwijk-Noord"
"2531TT","BU05183638",56,7,11,16,17,5,28,28,9,30,17,15,17,16,30,1.87,15,5,6,3,16,41,"Moerwijk-Noord"
"2531TV","BU05183638",63,9,12,17,18,7,30,33,12,34,17,21,16,16,26,2.42,19,10,8,2,6,44,"Moerwijk-Noord"
"2531TW","BU05183638",51,8,4,20,9,10,27,24,15,24,12,10,18,15,28,1.82,13,6,4,3,15,38,"Moerwijk-Noord"
"2531VC","BU05183638",45,8,3,18,10,6,20,25,11,23,11,22,5,13,24,1.88,12,2,7,4,11,33,"Moerwijk-Noord"
"2531VD","BU05183638",55,15,2,23,11,4,20,35,12,33,10,8,18,15,22,2.5,21,11,1,1,9,34,"Moerwijk-Noord"
"2531VE","BU05183638",51,9,10,16,11,5,21,30,8,24,19,17,12,12,22,2.32,16,7,6,2,7,35,"Moerwijk-Noord"
"2531VG","BU05183638",49,10,6,17,11,5,25,24,5,32,12,13,14,13,25,1.96,13,6,5,3,11,36,"Moerwijk-Noord"
"2531VH","BU05183638",29,7,4,9,7,2,12,17,4,15,10,8,3,11,12,2.42,9,5,3,0,4,20,"Moerwijk-Noord"
"2531VJ","BU05183638",76,20,11,24,14,7,34,42,22,40,14,22,18,19,31,2.45,30,12,3,4,12,46,"Moerwijk-Noord"
"2531VK","BU05183638",43,9,5,13,12,4,20,23,7,26,10,13,12,12,23,1.87,11,5,4,2,12,32,"Moerwijk-Noord"
"2531VL","BU05183638",25,6,4,7,6,2,12,13,3,18,4,6,5,7,14,1.79,9,1,1,3,9,16,"Moerwijk-Noord"
"2531VM","BU05183638",41,10,5,9,13,4,21,20,10,21,10,13,9,11,20,2.05,14,5,2,2,11,27,"Moerwijk-Noord"
"2531VN","BU05183638",36,7,5,8,12,4,19,17,2,17,17,8,12,10,18,2,13,4,1,3,10,23,"Moerwijk-Noord"
"2531VP","BU05183638",14,2,1,4,5,2,6,8,3,6,5,3,3,6,8,1.75,4,2,0,1,5,10,"Moerwijk-Noord"
"2531VR","BU05183638",64,15,3,24,13,9,32,32,17,31,16,18,14,19,27,2.37,21,9,7,4,7,43,"Moerwijk-Noord"
"2531VS","BU05183638",45,7,9,15,11,3,23,22,6,26,13,12,12,13,20,2.25,16,5,4,3,8,29,"Moerwijk-Noord"
"2531VT","BU05183638",38,5,8,13,8,4,14,24,6,21,11,15,11,7,17,2.24,11,6,4,0,7,27,"Moerwijk-Noord"
"2531VV","BU05183638",11,0,2,2,3,4,7,4,3,5,3,4,3,4,7,1.57,2,1,1,0,5,9,"Moerwijk-Noord"
"2531VW","BU05183638",17,4,2,5,2,4,8,9,1,9,7,3,5,5,7,2.43,6,2,2,1,2,11,"Moerwijk-Noord"
"2531VX","BU05183638",47,6,6,12,16,7,24,23,6,29,12,13,17,13,22,2.14,14,6,5,2,9,33,"Moerwijk-Noord"
"2531VZ","BU05183638",52,9,1,25,10,7,24,28,8,27,17,15,12,17,27,1.93,13,7,5,2,13,39,"Moerwijk-Noord"
"2531XA","BU05183638",33,10,4,7,7,5,15,18,4,17,12,13,6,6,14,2.36,13,5,1,2,6,20,"Moerwijk-Noord"
"2531XB","BU05183638",23,6,3,8,6,0,12,11,2,13,8,10,5,2,9,2.56,9,3,2,1,3,14,"Moerwijk-Noord"
"2531XC","BU05183638",22,0,3,7,11,1,10,12,3,13,6,7,5,10,17,1.29,1,0,4,1,12,21,"Moerwijk-Noord"
"2531XD","BU05183638",65,10,11,20,18,6,32,33,17,26,22,16,14,27,34,1.91,19,6,6,6,16,46,"Moerwijk-Noord"
"2531XE","BU05183638",12,5,1,3,3,0,6,6,2,8,2,3,1,3,4,3,7,1,0,2,1,5,"Moerwijk-Noord"
"2531XG","BU05183638",52,6,9,19,12,6,26,26,10,26,16,15,20,10,30,1.73,12,5,5,3,17,40,"Moerwijk-Noord"
"2531XH","BU05183638",52,9,2,17,17,7,31,21,13,27,12,12,17,16,25,2.08,13,7,7,1,10,39,"Moerwijk-Noord"
"2531XJ","BU05183638",45,6,5,14,10,10,29,16,9,25,11,19,11,10,22,2.05,12,5,6,3,8,33,"Moerwijk-Noord"
"2531XK","BU05183638",28,1,4,13,7,3,12,16,6,15,7,6,10,11,20,1.4,4,2,2,2,14,24,"Moerwijk-Noord"
"2531XL","BU05183638",33,6,8,7,11,1,14,19,6,19,8,3,15,8,19,1.74,8,3,3,2,11,25,"Moerwijk-Noord"
"2531XM","BU05183638",46,7,6,15,10,8,22,24,12,25,9,20,15,9,21,2.19,13,6,6,1,8,33,"Moerwijk-Noord"
"2531XN","BU05183638",24,4,6,8,3,3,15,9,3,13,8,8,7,4,13,1.85,5,3,3,0,7,19,"Moerwijk-Noord"
"2531XP","BU05183638",26,2,2,11,8,3,13,13,1,17,8,8,9,6,17,1.53,4,1,4,2,10,22,"Moerwijk-Noord"
"2531XR","BU05183638",42,11,2,12,14,3,23,19,7,22,13,21,11,4,21,2,14,5,2,3,11,28,"Moerwijk-Noord"
"2531XS","BU05183638",37,8,5,15,9,0,17,20,4,27,6,11,9,8,18,2.06,13,4,2,4,8,24,"Moerwijk-Noord"
"2531XT","BU05183638",51,11,5,23,9,3,24,27,8,34,9,16,12,12,26,1.96,15,5,5,3,13,36,"Moerwijk-Noord"
"2531XV","BU05183638",53,10,8,19,11,5,28,25,16,29,8,17,16,11,28,1.89,14,7,4,2,15,39,"Moerwijk-Noord"
