"hh_ID","hh_size","neighb_code","hh_type","PC6"
44,4,"BU05183284","single-parent","2545CZ"
45,5,"BU05183284","couple_with_children","2546BR"
46,5,"BU05183284","couple_with_children","2546BN"
47,5,"BU05183284","couple_with_children","2545CW"
48,5,"BU05183284","couple_with_children","2546SE"
49,4,"BU05183284","single-parent","2545EP"
50,5,"BU05183284","couple_with_children","2546VR"
51,5,"BU05183284","couple_with_children","2545CT"
52,5,"BU05183284","couple_with_children","2546BG"
53,4,"BU05183284","single-parent","2546RM"
54,4,"BU05183284","single-parent","2546BD"
55,5,"BU05183284","couple_with_children","2545CM"
56,5,"BU05183284","couple_with_children","2546CK"
57,5,"BU05183284","couple_with_children","2545CG"
58,4,"BU05183284","single-parent","2545CN"
59,5,"BU05183284","couple_with_children","2545CW"
60,4,"BU05183284","single-parent","2546SL"
61,5,"BU05183284","couple_with_children","2546TK"
62,5,"BU05183284","couple_with_children","2546XC"
63,4,"BU05183284","single-parent","2545CZ"
64,5,"BU05183284","couple_with_children","2546RJ"
65,4,"BU05183284","single-parent","2546AH"
66,5,"BU05183284","couple_with_children","2546XK"
67,5,"BU05183284","couple_with_children","2545CM"
68,5,"BU05183284","couple_with_children","2546VA"
69,5,"BU05183284","couple_with_children","2546AJ"
70,5,"BU05183284","couple_with_children","2546BG"
71,5,"BU05183284","couple_with_children","2545CP"
72,4,"BU05183284","single-parent","2545ER"
73,5,"BU05183284","couple_with_children","2546XK"
74,5,"BU05183284","couple_with_children","2545EG"
75,5,"BU05183284","couple_with_children","2546VV"
76,5,"BU05183284","couple_with_children","2546EC"
77,5,"BU05183284","couple_with_children","2546TZ"
78,5,"BU05183284","couple_with_children","2545EP"
79,4,"BU05183284","single-parent","2546BJ"
80,4,"BU05183284","single-parent","2546BB"
81,4,"BU05183284","single-parent","2546CX"
82,5,"BU05183284","couple_with_children","2546XX"
83,5,"BU05183284","couple_with_children","2545EC"
84,5,"BU05183284","couple_with_children","2546RT"
85,5,"BU05183284","couple_with_children","2545CZ"
86,5,"BU05183284","couple_with_children","2546RR"
87,5,"BU05183284","couple_with_children","2546SP"
88,5,"BU05183284","couple_with_children","2545CM"
89,4,"BU05183284","single-parent","2546RV"
90,5,"BU05183284","couple_with_children","2546CZ"
91,5,"BU05183284","couple_with_children","2546TZ"
92,4,"BU05183284","single-parent","2545EJ"
93,5,"BU05183284","couple_with_children","2546EG"
94,5,"BU05183284","couple_with_children","2546TX"
95,5,"BU05183284","couple_with_children","2545AV"
96,4,"BU05183284","single-parent","2545EN"
97,5,"BU05183284","couple_with_children","2546BP"
98,5,"BU05183284","couple_with_children","2546RS"
99,5,"BU05183284","couple_with_children","2546BL"
100,4,"BU05183284","single-parent","2545CM"
101,5,"BU05183284","couple_with_children","2546SN"
102,5,"BU05183284","couple_with_children","2546SV"
103,5,"BU05183284","couple_with_children","2546EH"
104,5,"BU05183284","couple_with_children","2546EH"
105,4,"BU05183284","single-parent","2546SL"
106,4,"BU05183284","single-parent","2546VB"
107,5,"BU05183284","couple_with_children","2546SZ"
108,5,"BU05183284","couple_with_children","2546VK"
109,5,"BU05183284","couple_with_children","2546AA"
110,5,"BU05183284","couple_with_children","2546BR"
111,4,"BU05183284","single-parent","2546BE"
112,5,"BU05183284","couple_with_children","2546AS"
113,5,"BU05183284","couple_with_children","2546RM"
114,5,"BU05183284","couple_with_children","2546XE"
115,5,"BU05183284","couple_with_children","2546VH"
116,5,"BU05183284","couple_with_children","2546SJ"
117,5,"BU05183284","couple_with_children","2546BD"
118,5,"BU05183284","couple_with_children","2545CN"
119,5,"BU05183284","couple_with_children","2546VM"
120,5,"BU05183284","couple_with_children","2546SZ"
121,5,"BU05183284","couple_with_children","2546EL"
122,5,"BU05183284","couple_with_children","2546BS"
123,5,"BU05183284","couple_with_children","2546RK"
124,4,"BU05183284","single-parent","2546CL"
125,5,"BU05183284","couple_with_children","2546RH"
126,5,"BU05183284","couple_with_children","2546CK"
127,5,"BU05183284","couple_with_children","2546XW"
128,4,"BU05183284","single-parent","2546TV"
129,4,"BU05183284","single-parent","2546TJ"
130,5,"BU05183284","couple_with_children","2546CZ"
131,5,"BU05183284","couple_with_children","2546AD"
132,5,"BU05183284","couple_with_children","2545AB"
133,5,"BU05183284","couple_with_children","2546VK"
134,4,"BU05183284","single-parent","2546XC"
135,5,"BU05183284","couple_with_children","2545CZ"
136,5,"BU05183284","couple_with_children","2545CZ"
137,4,"BU05183284","single-parent","2545EV"
138,5,"BU05183284","couple_with_children","2546SV"
139,5,"BU05183284","couple_with_children","2546VX"
140,4,"BU05183284","single-parent","2546CT"
141,5,"BU05183284","couple_with_children","2546RJ"
142,5,"BU05183284","couple_with_children","2546SZ"
143,4,"BU05183284","single-parent","2546EA"
144,5,"BU05183284","couple_with_children","2546AN"
145,5,"BU05183284","couple_with_children","2546VD"
146,5,"BU05183284","couple_with_children","2545CD"
147,4,"BU05183284","single-parent","2546EG"
148,5,"BU05183284","couple_with_children","2546VB"
149,5,"BU05183284","couple_with_children","2546ES"
150,5,"BU05183284","couple_with_children","2546AW"
151,5,"BU05183284","couple_with_children","2546CW"
152,5,"BU05183284","couple_with_children","2546CK"
153,4,"BU05183284","single-parent","2545CZ"
154,4,"BU05183284","single-parent","2546XJ"
155,5,"BU05183284","couple_with_children","2546VR"
156,4,"BU05183284","single-parent","2545ED"
157,5,"BU05183284","couple_with_children","2546SW"
158,5,"BU05183284","couple_with_children","2546BJ"
159,5,"BU05183284","couple_with_children","2545CG"
160,4,"BU05183284","single-parent","2546RK"
161,5,"BU05183284","couple_with_children","2546TM"
162,5,"BU05183284","couple_with_children","2546BN"
163,5,"BU05183284","couple_with_children","2546SX"
164,5,"BU05183284","couple_with_children","2546RH"
165,5,"BU05183284","couple_with_children","2545ER"
166,5,"BU05183284","couple_with_children","2546AE"
167,4,"BU05183284","single-parent","2546TT"
168,4,"BU05183284","single-parent","2546VE"
169,5,"BU05183284","couple_with_children","2546VA"
170,5,"BU05183284","couple_with_children","2545CT"
171,5,"BU05183284","couple_with_children","2545EW"
172,4,"BU05183284","single-parent","2546AN"
173,4,"BU05183284","single-parent","2546VS"
174,5,"BU05183284","couple_with_children","2546CT"
175,5,"BU05183284","couple_with_children","2546AV"
176,4,"BU05183284","single-parent","2545CS"
177,4,"BU05183284","single-parent","2546SZ"
178,5,"BU05183284","couple_with_children","2546VD"
179,4,"BU05183284","single-parent","2545EV"
180,5,"BU05183284","couple_with_children","2545EV"
181,5,"BU05183284","couple_with_children","2546BC"
182,5,"BU05183284","couple_with_children","2546RM"
183,5,"BU05183284","couple_with_children","2546BD"
184,5,"BU05183284","couple_with_children","2546SN"
185,5,"BU05183284","couple_with_children","2546CT"
186,4,"BU05183284","single-parent","2546XG"
187,5,"BU05183284","couple_with_children","2546AA"
188,4,"BU05183284","single-parent","2546AG"
189,4,"BU05183284","single-parent","2545CZ"
190,4,"BU05183284","single-parent","2546XN"
191,5,"BU05183284","couple_with_children","2546CS"
192,4,"BU05183284","single-parent","2546TT"
193,5,"BU05183284","couple_with_children","2546RW"
194,5,"BU05183284","couple_with_children","2546CR"
195,4,"BU05183284","single-parent","2546AC"
196,5,"BU05183284","couple_with_children","2546ST"
197,5,"BU05183284","couple_with_children","2545CZ"
198,5,"BU05183284","couple_with_children","2545AV"
199,5,"BU05183284","couple_with_children","2546CR"
200,5,"BU05183284","couple_with_children","2546EP"
201,5,"BU05183284","couple_with_children","2546AG"
202,5,"BU05183284","couple_with_children","2546TV"
203,4,"BU05183284","single-parent","2546TK"
204,5,"BU05183284","couple_with_children","2546VE"
205,5,"BU05183284","couple_with_children","2546TZ"
206,5,"BU05183284","couple_with_children","2546XC"
207,4,"BU05183284","single-parent","2546VR"
208,5,"BU05183284","couple_with_children","2545CP"
209,5,"BU05183284","couple_with_children","2546XS"
210,4,"BU05183284","single-parent","2546VE"
211,4,"BU05183284","single-parent","2546BN"
212,5,"BU05183284","couple_with_children","2546XJ"
213,5,"BU05183284","couple_with_children","2546EE"
214,4,"BU05183284","single-parent","2546TX"
215,5,"BU05183284","couple_with_children","2546VD"
216,5,"BU05183284","couple_with_children","2546TE"
217,5,"BU05183284","couple_with_children","2545AV"
218,5,"BU05183284","couple_with_children","2546EC"
219,5,"BU05183284","couple_with_children","2546SM"
220,5,"BU05183284","couple_with_children","2546AJ"
221,4,"BU05183284","single-parent","2546BR"
222,5,"BU05183284","couple_with_children","2545AV"
223,4,"BU05183284","single-parent","2546BP"
224,5,"BU05183284","couple_with_children","2546VM"
225,5,"BU05183284","couple_with_children","2546TR"
226,5,"BU05183284","couple_with_children","2546AH"
227,4,"BU05183284","single-parent","2546CK"
228,5,"BU05183284","couple_with_children","2546TR"
229,5,"BU05183284","couple_with_children","2546BS"
230,5,"BU05183284","couple_with_children","2546VM"
231,4,"BU05183284","single-parent","2546CL"
232,4,"BU05183284","single-parent","2545ES"
233,5,"BU05183284","couple_with_children","2546AV"
234,4,"BU05183284","single-parent","2545CZ"
235,5,"BU05183284","couple_with_children","2545EG"
236,5,"BU05183284","couple_with_children","2546CZ"
237,4,"BU05183284","single-parent","2546VB"
238,4,"BU05183284","single-parent","2546AJ"
239,5,"BU05183284","couple_with_children","2546TW"
240,5,"BU05183284","couple_with_children","2546CK"
241,5,"BU05183284","couple_with_children","2545EE"
242,5,"BU05183284","couple_with_children","2546TM"
243,4,"BU05183284","single-parent","2546VL"
244,4,"BU05183284","single-parent","2546TM"
245,5,"BU05183284","couple_with_children","2546EC"
246,4,"BU05183284","single-parent","2546XW"
247,5,"BU05183284","couple_with_children","2545EV"
248,5,"BU05183284","couple_with_children","2546EN"
249,5,"BU05183284","couple_with_children","2546SZ"
250,5,"BU05183284","couple_with_children","2545ES"
251,4,"BU05183284","single-parent","2546RN"
252,4,"BU05183284","single-parent","2546RK"
253,4,"BU05183284","single-parent","2546VX"
254,5,"BU05183284","couple_with_children","2546VW"
255,5,"BU05183284","couple_with_children","2545CR"
256,5,"BU05183284","couple_with_children","2546TN"
257,5,"BU05183284","couple_with_children","2546BJ"
258,5,"BU05183284","couple_with_children","2545EC"
259,4,"BU05183284","single-parent","2546VS"
260,4,"BU05183284","single-parent","2546TN"
261,5,"BU05183284","couple_with_children","2546BB"
262,5,"BU05183284","couple_with_children","2546RR"
263,4,"BU05183284","single-parent","2546TR"
264,5,"BU05183284","couple_with_children","2546BS"
265,5,"BU05183284","couple_with_children","2546SX"
266,4,"BU05183284","single-parent","2546XE"
267,5,"BU05183284","couple_with_children","2546BH"
268,5,"BU05183284","couple_with_children","2546XW"
269,4,"BU05183284","single-parent","2546SZ"
270,5,"BU05183284","couple_with_children","2545CG"
271,4,"BU05183284","single-parent","2546SZ"
272,5,"BU05183284","couple_with_children","2545CZ"
273,5,"BU05183284","couple_with_children","2545EV"
274,5,"BU05183284","couple_with_children","2545CG"
275,5,"BU05183284","couple_with_children","2546XW"
276,5,"BU05183284","couple_with_children","2546AB"
277,4,"BU05183284","single-parent","2546BA"
278,4,"BU05183284","single-parent","2546EM"
279,5,"BU05183284","couple_with_children","2546SN"
280,5,"BU05183284","couple_with_children","2545EJ"
281,5,"BU05183284","couple_with_children","2546TZ"
282,4,"BU05183284","single-parent","2546SW"
283,4,"BU05183284","single-parent","2546CT"
284,5,"BU05183284","couple_with_children","2546RK"
285,5,"BU05183284","couple_with_children","2546AW"
286,5,"BU05183284","couple_with_children","2546XG"
287,5,"BU05183284","couple_with_children","2546TR"
288,4,"BU05183284","single-parent","2545EG"
289,4,"BU05183284","single-parent","2546RK"
290,5,"BU05183284","couple_with_children","2546VS"
291,5,"BU05183284","couple_with_children","2546AG"
292,5,"BU05183284","couple_with_children","2546TX"
293,5,"BU05183284","couple_with_children","2546SX"
294,5,"BU05183284","couple_with_children","2541XG"
295,4,"BU05183284","single-parent","2546VW"
296,5,"BU05183284","couple_with_children","2546SN"
297,5,"BU05183284","couple_with_children","2546SR"
298,5,"BU05183284","couple_with_children","2545CT"
299,4,"BU05183284","single-parent","2545ER"
300,4,"BU05183284","single-parent","2545EW"
301,4,"BU05183284","single-parent","2545CZ"
302,4,"BU05183284","single-parent","2546SL"
303,5,"BU05183284","couple_with_children","2546BA"
304,5,"BU05183284","couple_with_children","2545EP"
305,5,"BU05183284","couple_with_children","2546BC"
306,5,"BU05183284","couple_with_children","2546AS"
307,5,"BU05183284","couple_with_children","2546EE"
308,5,"BU05183284","couple_with_children","2546XG"
309,4,"BU05183284","single-parent","2546XR"
310,5,"BU05183284","couple_with_children","2545ER"
311,4,"BU05183284","single-parent","2546AV"
312,5,"BU05183284","couple_with_children","2545CV"
313,5,"BU05183284","couple_with_children","2546XN"
314,4,"BU05183284","single-parent","2546RP"
315,4,"BU05183284","single-parent","2545AA"
316,5,"BU05183284","couple_with_children","2545CZ"
317,5,"BU05183284","couple_with_children","2545CP"
318,5,"BU05183284","couple_with_children","2546AT"
319,4,"BU05183284","single-parent","2546VV"
320,4,"BU05183284","single-parent","2546RG"
321,4,"BU05183284","single-parent","2546VX"
322,5,"BU05183284","couple_with_children","2546BG"
323,5,"BU05183284","couple_with_children","2546SG"
324,5,"BU05183284","couple_with_children","2546AT"
325,5,"BU05183284","couple_with_children","2546BD"
326,4,"BU05183284","single-parent","2546XJ"
327,5,"BU05183284","couple_with_children","2546CV"
328,4,"BU05183284","single-parent","2546SE"
329,4,"BU05183284","single-parent","2546CV"
330,4,"BU05183284","single-parent","2546TX"
331,4,"BU05183284","single-parent","2545CX"
332,5,"BU05183284","couple_with_children","2546AC"
333,4,"BU05183284","single-parent","2546RH"
334,4,"BU05183284","single-parent","2546EA"
335,5,"BU05183284","couple_with_children","2546BM"
336,5,"BU05183284","couple_with_children","2546SM"
337,5,"BU05183284","couple_with_children","2546RK"
338,5,"BU05183284","couple_with_children","2545CZ"
339,5,"BU05183284","couple_with_children","2545CZ"
340,4,"BU05183284","single-parent","2546RV"
341,5,"BU05183284","couple_with_children","2545EH"
342,4,"BU05183284","single-parent","2545EK"
343,5,"BU05183284","couple_with_children","2546AN"
344,5,"BU05183284","couple_with_children","2546CK"
345,5,"BU05183284","couple_with_children","2545CG"
346,4,"BU05183284","single-parent","2546BP"
347,4,"BU05183284","single-parent","2546CN"
348,5,"BU05183284","couple_with_children","2545ER"
349,5,"BU05183284","couple_with_children","2546TE"
350,5,"BU05183284","couple_with_children","2545CZ"
351,3,"BU05183284","single-parent","2546SM"
352,4,"BU05183284","couple_with_children","2545CZ"
353,4,"BU05183284","couple_with_children","2545ED"
354,4,"BU05183284","couple_with_children","2546VB"
355,4,"BU05183284","couple_with_children","2546EK"
356,4,"BU05183284","couple_with_children","2546TZ"
357,4,"BU05183284","couple_with_children","2545EN"
358,4,"BU05183284","couple_with_children","2546SW"
359,3,"BU05183284","single-parent","2546RT"
360,3,"BU05183284","single-parent","2546AG"
361,4,"BU05183284","couple_with_children","2546EL"
362,3,"BU05183284","single-parent","2546TG"
363,4,"BU05183284","couple_with_children","2546VS"
364,3,"BU05183284","single-parent","2546CW"
365,4,"BU05183284","couple_with_children","2545EG"
366,3,"BU05183284","single-parent","2546VV"
367,3,"BU05183284","single-parent","2546VJ"
368,4,"BU05183284","couple_with_children","2546BR"
369,3,"BU05183284","single-parent","2546XX"
370,4,"BU05183284","couple_with_children","2545ET"
371,4,"BU05183284","couple_with_children","2546XC"
372,4,"BU05183284","couple_with_children","2546RT"
373,4,"BU05183284","couple_with_children","2546SM"
374,3,"BU05183284","single-parent","2546CK"
375,4,"BU05183284","couple_with_children","2546AD"
376,3,"BU05183284","single-parent","2546BC"
377,4,"BU05183284","couple_with_children","2546SN"
378,3,"BU05183284","single-parent","2546SM"
379,3,"BU05183284","single-parent","2546RV"
380,4,"BU05183284","couple_with_children","2545CX"
381,3,"BU05183284","single-parent","2546VV"
382,4,"BU05183284","couple_with_children","2546CX"
383,4,"BU05183284","couple_with_children","2546CK"
384,3,"BU05183284","single-parent","2546XP"
385,4,"BU05183284","couple_with_children","2546SW"
386,3,"BU05183284","single-parent","2546VX"
387,4,"BU05183284","couple_with_children","2546RP"
388,3,"BU05183284","single-parent","2546BA"
389,4,"BU05183284","couple_with_children","2546TR"
390,3,"BU05183284","single-parent","2545CM"
391,4,"BU05183284","couple_with_children","2546XM"
392,3,"BU05183284","single-parent","2546RR"
393,4,"BU05183284","couple_with_children","2545CP"
394,3,"BU05183284","single-parent","2546EK"
395,4,"BU05183284","couple_with_children","2546RX"
396,4,"BU05183284","couple_with_children","2546TM"
397,3,"BU05183284","single-parent","2546BP"
398,4,"BU05183284","couple_with_children","2545AV"
399,4,"BU05183284","couple_with_children","2546XR"
400,4,"BU05183284","couple_with_children","2546BP"
401,3,"BU05183284","single-parent","2546TW"
402,4,"BU05183284","couple_with_children","2546EM"
403,4,"BU05183284","couple_with_children","2546TH"
404,4,"BU05183284","couple_with_children","2546XM"
405,4,"BU05183284","couple_with_children","2546XJ"
406,4,"BU05183284","couple_with_children","2546CW"
407,3,"BU05183284","single-parent","2546CK"
408,3,"BU05183284","single-parent","2546RM"
409,3,"BU05183284","single-parent","2546AC"
410,4,"BU05183284","couple_with_children","2546AL"
411,4,"BU05183284","couple_with_children","2546RK"
412,3,"BU05183284","single-parent","2546ED"
413,4,"BU05183284","couple_with_children","2546AP"
414,4,"BU05183284","couple_with_children","2545CZ"
415,3,"BU05183284","single-parent","2546TR"
416,4,"BU05183284","couple_with_children","2546AP"
417,4,"BU05183284","couple_with_children","2545CT"
418,3,"BU05183284","single-parent","2546BP"
419,4,"BU05183284","couple_with_children","2545EP"
420,3,"BU05183284","single-parent","2545CZ"
421,4,"BU05183284","couple_with_children","2545CZ"
422,4,"BU05183284","couple_with_children","2546AS"
423,3,"BU05183284","single-parent","2546VP"
424,3,"BU05183284","single-parent","2546AC"
425,4,"BU05183284","couple_with_children","2546RV"
426,4,"BU05183284","couple_with_children","2546CX"
427,4,"BU05183284","couple_with_children","2546EB"
428,4,"BU05183284","couple_with_children","2546EB"
429,4,"BU05183284","couple_with_children","2546XT"
430,4,"BU05183284","couple_with_children","2546TH"
431,4,"BU05183284","couple_with_children","2546ES"
432,4,"BU05183284","couple_with_children","2546TR"
433,4,"BU05183284","couple_with_children","2546AA"
434,3,"BU05183284","single-parent","2545EE"
435,4,"BU05183284","couple_with_children","2546CK"
436,4,"BU05183284","couple_with_children","2546VH"
437,3,"BU05183284","single-parent","2545CZ"
438,4,"BU05183284","couple_with_children","2545EK"
439,3,"BU05183284","single-parent","2546VC"
440,4,"BU05183284","couple_with_children","2546VC"
441,4,"BU05183284","couple_with_children","2546CS"
442,3,"BU05183284","single-parent","2546BL"
443,4,"BU05183284","couple_with_children","2546VK"
444,4,"BU05183284","couple_with_children","2546XJ"
445,4,"BU05183284","couple_with_children","2546XX"
446,3,"BU05183284","single-parent","2545EB"
447,3,"BU05183284","single-parent","2545EJ"
448,4,"BU05183284","couple_with_children","2546SR"
449,4,"BU05183284","couple_with_children","2546VZ"
450,4,"BU05183284","couple_with_children","2546BD"
451,4,"BU05183284","couple_with_children","2541XG"
452,4,"BU05183284","couple_with_children","2545CX"
453,4,"BU05183284","couple_with_children","2546ST"
454,4,"BU05183284","couple_with_children","2545ER"
455,4,"BU05183284","couple_with_children","2546XC"
456,4,"BU05183284","couple_with_children","2546TS"
457,4,"BU05183284","couple_with_children","2546ST"
458,4,"BU05183284","couple_with_children","2546AG"
459,4,"BU05183284","couple_with_children","2545CZ"
460,3,"BU05183284","single-parent","2546CR"
461,4,"BU05183284","couple_with_children","2545EB"
462,4,"BU05183284","couple_with_children","2546TR"
463,4,"BU05183284","couple_with_children","2546AW"
464,3,"BU05183284","single-parent","2546RK"
465,4,"BU05183284","couple_with_children","2546BB"
466,4,"BU05183284","couple_with_children","2546RL"
467,4,"BU05183284","couple_with_children","2546CS"
468,4,"BU05183284","couple_with_children","2546EM"
469,4,"BU05183284","couple_with_children","2546RM"
470,4,"BU05183284","couple_with_children","2545CZ"
471,4,"BU05183284","couple_with_children","2546AT"
472,4,"BU05183284","couple_with_children","2545EV"
473,4,"BU05183284","couple_with_children","2546AW"
474,4,"BU05183284","couple_with_children","2546TE"
475,3,"BU05183284","single-parent","2546RP"
476,3,"BU05183284","single-parent","2546VG"
477,4,"BU05183284","couple_with_children","2545CP"
478,3,"BU05183284","single-parent","2545CZ"
479,4,"BU05183284","couple_with_children","2546BG"
480,4,"BU05183284","couple_with_children","2546XE"
481,4,"BU05183284","couple_with_children","2546BN"
482,4,"BU05183284","couple_with_children","2546XD"
483,4,"BU05183284","couple_with_children","2545AB"
484,3,"BU05183284","single-parent","2546AW"
485,4,"BU05183284","couple_with_children","2545CZ"
486,4,"BU05183284","couple_with_children","2546BG"
487,4,"BU05183284","couple_with_children","2546SR"
488,4,"BU05183284","couple_with_children","2546VZ"
489,4,"BU05183284","couple_with_children","2546SV"
490,3,"BU05183284","single-parent","2546VX"
491,4,"BU05183284","couple_with_children","2546VR"
492,4,"BU05183284","couple_with_children","2546CR"
493,4,"BU05183284","couple_with_children","2546CV"
494,4,"BU05183284","couple_with_children","2541XG"
495,3,"BU05183284","single-parent","2545EW"
496,4,"BU05183284","couple_with_children","2546AE"
497,4,"BU05183284","couple_with_children","2545AA"
498,4,"BU05183284","couple_with_children","2546RE"
499,4,"BU05183284","couple_with_children","2546ST"
500,4,"BU05183284","couple_with_children","2546SG"
501,3,"BU05183284","single-parent","2545ET"
502,3,"BU05183284","single-parent","2546XG"
503,3,"BU05183284","single-parent","2546AW"
504,4,"BU05183284","couple_with_children","2546TZ"
505,3,"BU05183284","single-parent","2546SN"
506,4,"BU05183284","couple_with_children","2546TT"
507,3,"BU05183284","single-parent","2546VM"
508,4,"BU05183284","couple_with_children","2546XC"
509,4,"BU05183284","couple_with_children","2545CZ"
510,4,"BU05183284","couple_with_children","2545CM"
511,4,"BU05183284","couple_with_children","2546VP"
512,4,"BU05183284","couple_with_children","2546SN"
513,3,"BU05183284","single-parent","2546RN"
514,4,"BU05183284","couple_with_children","2546EP"
515,4,"BU05183284","couple_with_children","2546CW"
516,3,"BU05183284","single-parent","2545EW"
517,4,"BU05183284","couple_with_children","2546TP"
518,3,"BU05183284","single-parent","2546BK"
519,3,"BU05183284","single-parent","2546VV"
520,3,"BU05183284","single-parent","2546VV"
521,4,"BU05183284","couple_with_children","2545EH"
522,4,"BU05183284","couple_with_children","2546RK"
523,4,"BU05183284","couple_with_children","2546BR"
524,4,"BU05183284","couple_with_children","2546XM"
525,3,"BU05183284","single-parent","2546SV"
526,4,"BU05183284","couple_with_children","2545ER"
527,4,"BU05183284","couple_with_children","2545CP"
528,4,"BU05183284","couple_with_children","2546RW"
529,4,"BU05183284","couple_with_children","2546SZ"
530,4,"BU05183284","couple_with_children","2546CR"
531,3,"BU05183284","single-parent","2546RR"
532,4,"BU05183284","couple_with_children","2545ES"
533,3,"BU05183284","single-parent","2546SP"
534,4,"BU05183284","couple_with_children","2546ES"
535,4,"BU05183284","couple_with_children","2546EA"
536,4,"BU05183284","couple_with_children","2546TK"
537,3,"BU05183284","single-parent","2545EP"
538,3,"BU05183284","single-parent","2546TJ"
539,4,"BU05183284","couple_with_children","2546AT"
540,4,"BU05183284","couple_with_children","2546RL"
541,4,"BU05183284","couple_with_children","2546CX"
542,3,"BU05183284","single-parent","2546CX"
543,4,"BU05183284","couple_with_children","2545EA"
544,3,"BU05183284","single-parent","2546EL"
545,4,"BU05183284","couple_with_children","2545EG"
546,4,"BU05183284","couple_with_children","2546XR"
547,3,"BU05183284","single-parent","2545EE"
548,4,"BU05183284","couple_with_children","2546BC"
549,3,"BU05183284","single-parent","2546BS"
550,4,"BU05183284","couple_with_children","2546AB"
551,4,"BU05183284","couple_with_children","2546RR"
552,4,"BU05183284","couple_with_children","2546AC"
553,4,"BU05183284","couple_with_children","2546SX"
554,4,"BU05183284","couple_with_children","2545AB"
555,4,"BU05183284","couple_with_children","2546SZ"
556,4,"BU05183284","couple_with_children","2546RG"
557,4,"BU05183284","couple_with_children","2546VA"
558,3,"BU05183284","single-parent","2546VS"
559,4,"BU05183284","couple_with_children","2545CV"
560,4,"BU05183284","couple_with_children","2546TE"
561,3,"BU05183284","single-parent","2546VW"
562,3,"BU05183284","single-parent","2545EG"
563,4,"BU05183284","couple_with_children","2546AD"
564,3,"BU05183284","single-parent","2546EE"
565,3,"BU05183284","single-parent","2546RL"
566,4,"BU05183284","couple_with_children","2545ER"
567,4,"BU05183284","couple_with_children","2546BJ"
568,3,"BU05183284","single-parent","2546CZ"
569,3,"BU05183284","single-parent","2546AK"
570,4,"BU05183284","couple_with_children","2546BA"
571,4,"BU05183284","couple_with_children","2546VW"
572,4,"BU05183284","couple_with_children","2545ET"
573,3,"BU05183284","single-parent","2546XZ"
574,4,"BU05183284","couple_with_children","2546XZ"
575,4,"BU05183284","couple_with_children","2546VA"
576,3,"BU05183284","single-parent","2545CZ"
577,3,"BU05183284","single-parent","2545CZ"
578,4,"BU05183284","couple_with_children","2546BD"
579,4,"BU05183284","couple_with_children","2546SN"
580,4,"BU05183284","couple_with_children","2546XR"
581,3,"BU05183284","single-parent","2545EJ"
582,3,"BU05183284","single-parent","2545EJ"
583,3,"BU05183284","single-parent","2546RP"
584,4,"BU05183284","couple_with_children","2546TR"
585,4,"BU05183284","couple_with_children","2546VM"
586,4,"BU05183284","couple_with_children","2545CZ"
587,4,"BU05183284","couple_with_children","2546BS"
588,4,"BU05183284","couple_with_children","2546VV"
589,3,"BU05183284","single-parent","2546RN"
590,3,"BU05183284","single-parent","2545ER"
591,4,"BU05183284","couple_with_children","2546VD"
592,4,"BU05183284","couple_with_children","2545AB"
593,4,"BU05183284","couple_with_children","2545AB"
