"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU03440232",4410,2095,2315,515,740,2015,810,340,630,465,2595,1480,650,460,"     1.7",580,1220,1930,3315
"BU03440233",3510,1675,1835,575,450,1265,760,470,380,720,1865,965,405,495,"     1.9",800,870,1070,2410
"BU03440241",3830,1860,1970,600,530,1500,830,380,430,1175,1955,1000,410,545,"     1.9",1060,930,1190,2225
"BU03440242",4565,2235,2325,800,610,1605,1050,515,420,1775,2145,975,520,645,"     2.1",1160,1120,1250,2370
"BU03440243",1055,555,500,290,135,410,185,50,75,550,405,130,75,195,"     2.6",310,210,330,430
"BU03440244",3820,1880,1935,740,390,1315,855,530,360,1005,1775,755,450,565,"     2.1",730,900,1210,2455
"BU03440311",4075,2090,1985,605,665,1560,745,510,565,1505,2145,1070,570,500,"     1.9",870,1310,1060,2005
"BU03440312",4850,2425,2425,1020,580,1535,1100,635,380,2800,2185,985,420,775,"     2.2",1360,1090,1070,1670
"BU03440321",2820,1425,1390,310,480,1030,555,465,405,1080,1735,1060,395,275,"     1.6",730,810,760,1335
"BU03440322",4395,2165,2225,840,545,1180,1030,805,390,2480,2165,1150,360,645,"     2.0",1540,1050,470,1525
"BU03440331",5260,2545,2710,975,605,1840,1055,790,475,2440,2495,1185,535,770,"     2.0",1490,1050,1280,2345
"BU03440332",3265,1605,1660,555,345,895,865,615,340,1185,1510,720,295,490,"     2.0",860,910,640,1740
"BU03440333",90,45,45,10,25,25,20,20,10,15,50,30,10,5,"     1.7",0,0,0,65
"BU03440341",4665,2430,2230,950,625,1635,950,515,420,2595,2370,1245,435,685,"     2.0",1130,1270,980,1650
"BU03440342",4610,2270,2335,1090,615,1330,1030,555,415,2870,1950,855,305,785,"     2.3",1570,1220,530,1325
"BU03440343",245,115,125,45,35,45,85,40,15,20,100,30,30,35,"     2.4",30,70,90,210
"BU03440411",4160,1965,2195,555,850,1710,815,245,640,370,2505,1555,510,435,"     1.7",220,670,2630,3150
"BU03440412",2345,1200,1140,250,410,995,535,165,440,415,1365,865,280,210,"     1.6",350,530,1340,1490
"BU03440413",1685,800,880,335,225,685,345,110,170,470,865,420,195,240,"     2.0",260,270,820,1045
"BU03440414",2415,1120,1295,395,305,895,595,240,295,200,1275,615,320,335,"     1.9",220,420,1300,1920
"BU03440415",2885,1370,1510,510,425,1015,680,265,380,300,1455,715,330,405,"     2.0",260,460,1560,2205
"BU03440421",6950,3305,3645,1320,1690,1575,1575,810,660,355,3475,1855,625,990,"     2.0",400,1390,3550,5935
"BU03440422",3000,1410,1590,440,385,945,690,555,310,295,1615,850,385,375,"     1.8",200,640,1430,2395
"BU03440423",4570,2165,2405,825,490,1370,1340,555,530,480,2155,920,540,685,"     2.1",430,830,2360,3560
"BU03440431",1200,545,650,150,125,320,295,320,155,125,695,400,160,130,"     1.7",100,280,550,920
"BU03440432",3295,1515,1775,375,640,1165,750,375,480,335,1995,1290,355,345,"     1.7",240,630,1950,2480
"BU03440433",6735,3125,3610,1000,1210,2515,1525,500,1050,480,3870,2300,755,810,"     1.7",380,1250,3960,5205
"BU03440511",4660,2155,2500,415,995,1940,865,450,830,410,3140,2255,540,340,"     1.5",240,860,3010,3420
"BU03440512",5020,2325,2690,665,760,1945,1125,530,750,385,2970,1775,630,560,"     1.7",290,850,3070,3885
"BU03440521",2070,980,1085,275,285,800,490,235,285,215,1225,725,250,240,"     1.7",200,410,1110,1570
"BU03440522",850,405,445,145,95,240,255,125,60,170,415,180,95,135,"     2.1",340,170,170,620
"BU03440523",2915,1370,1545,140,1410,845,250,285,355,225,2285,1955,210,115,"     1.2",130,1060,1360,2335
"BU03440524",2390,1105,1285,270,415,1160,410,145,325,245,1505,950,335,215,"     1.6",170,460,1420,1820
"BU03440525",1000,470,525,155,145,415,225,75,110,160,605,385,90,125,"     1.7",130,170,530,730
"BU03440526",205,105,95,50,40,45,60,25,30,15,85,30,15,35,"     2.4",30,30,90,160
"BU03440531",3540,1605,1930,590,455,1215,835,455,450,265,1880,980,440,460,"     1.9",250,560,1980,2825
"BU03440532",2675,1280,1395,480,475,595,740,405,370,125,1315,675,270,365,"     2.0",140,360,1560,2180
"BU03440533",3040,1330,1710,10,1940,1065,30,10,800,495,2810,2640,160,5,"     1.1",40,1270,1660,1745
"BU03440534",3145,1590,1550,325,1200,665,565,405,540,245,2155,1620,275,260,"     1.5",170,690,1500,2360
"BU03440535",975,385,590,15,760,145,55,20,495,220,870,795,60,10,"     1.1",10,840,170,260
"BU03440611",2395,1245,1150,85,520,1300,355,150,475,235,1785,1315,380,80,"     1.3",70,520,1700,1685
"BU03440612",1605,825,780,65,365,840,225,125,300,190,1180,850,265,60,"     1.4",120,370,1060,1115
"BU03440613",1465,980,485,50,225,785,300,120,225,440,605,325,225,50,"     1.6",770,270,760,800
"BU03440621",1320,640,675,65,215,570,275,205,225,190,895,595,220,75,"     1.4",220,280,680,905
"BU03440622",2600,1305,1295,130,540,1285,465,190,525,230,1845,1345,365,130,"     1.4",130,520,1830,1845
"BU03440623",975,515,460,50,210,555,125,55,190,125,755,600,115,40,"     1.3",40,230,640,660
"BU03440624",1995,920,1070,155,260,725,475,395,300,145,1265,830,275,160,"     1.5",160,470,1040,1550
"BU03440625",2540,1235,1305,165,435,1130,570,245,450,210,1665,1100,405,155,"     1.5",140,480,1670,1880
"BU03440626",1160,550,605,100,185,395,300,190,225,80,750,485,175,90,"     1.5",50,200,760,855
"BU03440627",520,230,290,40,90,235,115,55,65,135,335,215,75,45,"     1.5",60,150,270,320
"BU03440628",2060,1035,1025,120,265,940,480,260,350,250,1420,935,365,115,"     1.4",70,320,1440,1460
"BU03440711",4415,2240,2170,450,960,1475,1040,500,525,890,2800,1870,500,420,"     1.6",730,1130,1910,3000
"BU03440712",7125,3605,3515,1180,1050,2135,2060,705,840,1265,3615,1785,755,1070,"     2.0",1130,1710,2820,5020
"BU03440721",4095,1805,2290,320,890,2080,495,320,630,645,2750,1805,650,290,"     1.5",280,940,2520,2820
"BU03440722",3115,1505,1605,750,320,1145,635,275,295,210,1360,495,330,525,"     2.3",280,450,1540,2610
"BU03440723",2405,1170,1230,525,205,850,505,330,205,160,1070,375,290,395,"     2.2",290,340,1130,2040
"BU03440731",775,390,385,95,75,340,215,65,105,120,455,270,90,85,"     1.7",80,150,420,550
"BU03440732",2250,1060,1190,365,250,800,400,445,175,745,1195,640,290,260,"     1.9",420,380,800,1330
"BU03440733",3570,1760,1805,780,500,1210,780,310,300,1835,1540,645,310,575,"     2.3",990,670,1030,1435
"BU03440811",5265,2580,2685,870,765,2170,1070,400,675,675,2815,1465,685,665,"     1.9",440,860,2970,3915
"BU03440812",9285,4565,4720,1435,1190,3470,2145,1055,1035,1790,4840,2420,1190,1220,"     1.9",1590,1970,3830,6460
"BU03440821",465,250,215,5,120,325,20,10,155,135,365,265,85,5,"     1.3",10,100,340,175
"BU03440822",2885,1460,1425,170,380,1535,265,550,235,715,1970,1470,365,135,"     1.4",410,610,1330,1935
"BU03440823",3995,2000,1995,455,595,1550,655,755,500,1290,2270,1295,575,395,"     1.7",760,1090,1280,2205
"BU03440831",9140,4680,4460,1900,1560,3295,1710,685,895,5765,4340,2200,815,1320,"     2.1",2570,2590,1800,2480
"BU03440832",7365,3785,3580,1330,1345,2845,1275,585,610,4820,3345,1565,760,1015,"     2.2",2000,1680,2320,1935
"BU03440911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"       .",0,0,0,0
"BU03440912",5110,2565,2540,1305,600,1545,1245,425,610,1620,1875,480,410,975,"     2.7",930,1080,1780,2880
"BU03440913",5325,2655,2670,1290,405,2400,900,345,665,1670,2200,710,590,895,"     2.4",620,1250,2140,2990
"BU03440921",6250,3130,3120,1865,465,2395,1190,345,690,1425,2230,485,535,1205,"     2.8",680,1430,2210,4135
"BU03440922",4060,2080,1980,1245,360,1610,730,125,375,1560,1380,260,295,815,"     2.9",620,800,1410,2125
"BU03440931",1145,590,550,40,155,735,145,85,150,305,770,445,270,50,"     1.5",110,320,1380,690
"BU03440932",1715,835,880,580,115,775,210,45,175,560,610,140,115,350,"     2.8",170,390,560,980
"BU03440933",2885,1430,1450,980,140,1510,235,30,275,850,960,120,230,605,"     3.0",320,550,1240,1760
"BU03440934",490,270,220,5,125,350,20,5,40,190,485,480,0,0,"     1.0",0,0,0,260
"BU03440941",3395,1690,1705,840,445,945,970,210,375,925,1235,300,255,675,"     2.7",580,910,1010,2095
"BU03440942",3815,1850,1960,695,490,1250,1045,345,360,1650,1585,540,400,640,"     2.4",900,990,1100,1805
"BU03440943",4485,2235,2250,915,480,1230,1350,525,535,915,1920,615,515,785,"     2.3",800,950,1630,3035
"BU03440951",140,75,60,30,25,50,30,15,10,25,65,30,10,20,"     2.2",0,0,0,105
"BU03440952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"       .",0,0,0,0
"BU03440953",10,5,5,0,5,10,5,5,5,5,10,5,0,0,"     1.4",0,0,0,0
"BU03441011",55,25,25,15,10,10,20,15,5,5,20,5,5,5,"     2.8",10,20,10,45
"BU03441012",540,270,270,80,65,75,195,135,40,20,220,50,80,85,"     2.4",80,160,180,480
"BU03441013",7040,3395,3640,1150,890,1285,2195,1530,570,580,2980,945,870,1165,"     2.3",1200,1970,2100,5890
"BU03441014",965,500,465,300,80,275,230,95,90,105,305,40,65,200,"     3.1",90,230,310,770
"BU03441021",6240,3045,3190,1895,665,1785,1585,325,550,1315,2050,335,405,1305,"     3.0",960,1460,1840,4375
"BU03441022",7240,3530,3710,2190,495,2550,1400,615,645,1315,2625,600,575,1445,"     2.7",960,1580,2430,5280
"BU03441023",4905,2395,2510,1640,430,1690,950,210,400,1080,1540,235,250,1045,"     3.1",680,1060,1560,3425
"BU03441024",9375,4665,4710,2130,1215,2295,2895,850,865,2075,3460,815,780,1860,"     2.7",1880,2630,2430,6435
"BU03441031",5570,2785,2785,1325,650,1205,1690,710,460,515,2045,465,515,1060,"     2.7",950,1290,1790,4595
"BU03441032",6335,3120,3215,1100,700,1425,1805,1320,540,540,2705,805,840,1060,"     2.3",1140,1950,1550,5255
"BU03441033",255,120,130,50,35,80,75,30,25,20,110,35,30,40,"     2.3",30,80,90,210
"BU03441041",240,130,110,30,45,55,75,50,15,10,105,45,20,35,"     2.3",60,110,40,215
