"neighb_code","PC6","freq"
"BU05183639","2532EM",24
"BU05183639","2532EN",24
"BU05183639","2532EP",23
"BU05183639","2532ER",18
"BU05183639","2532ES",17
"BU05183620","2532ET",17
"BU05183620","2532EV",16
"BU05183620","2532EW",18
"BU05183620","2532EX",14
"BU05183638","2532RA",16
"BU05183638","2532RB",18
"BU05183638","2532RC",17
"BU05183638","2532RD",17
"BU05183638","2532RE",16
"BU05183637","2532RG",1
"BU05183637","2532RH",25
"BU05183637","2532RJ",24
"BU05183637","2532RK",24
"BU05183637","2532RL",24
"BU05183637","2532RM",24
"BU05183637","2532RN",24
"BU05183637","2532RP",24
"BU05183637","2532RR",24
"BU05183637","2532RS",24
"BU05183637","2532RT",24
"BU05183637","2532RV",24
"BU05183637","2532RW",16
"BU05183637","2532RX",12
"BU05183639","2532SP",14
"BU05183639","2532SR",20
"BU05183639","2532ST",18
"BU05183639","2532SV",18
"BU05183639","2532SW",20
"BU05183639","2532SZ",32
"BU05183639","2532TA",7
"BU05183639","2532TB",15
"BU05183639","2532TC",18
"BU05183639","2532TD",22
"BU05183639","2532TE",8
"BU05183639","2532TK",29
"BU05183639","2532TL",1
"BU05183639","2532TR",20
"BU05183639","2532TS",15
"BU05183639","2532TT",17
"BU05183639","2532TV",13
"BU05183639","2532TX",6
"BU05183639","2532TZ",28
"BU05183639","2532VA",25
"BU05183639","2532VB",18
"BU05183639","2532VC",20
"BU05183639","2532VD",24
"BU05183639","2532VE",13
"BU05183639","2532VG",5
"BU05183639","2532VH",17
"BU05183639","2532VJ",22
"BU05183639","2532VP",24
"BU05183639","2532VR",18
"BU05183639","2532VS",18
"BU05183639","2532VT",16
"BU05183639","2532VV",24
"BU05183639","2532VW",18
"BU05183639","2532VX",26
"BU05183639","2532VZ",18
"BU05183639","2532XH",24
"BU05183639","2532XJ",24
"BU05183639","2532XK",30
"BU05183639","2532XL",24
"BU05183639","2532XM",24
"BU05183639","2532XN",20
"BU05183639","2532XP",18
"BU05183639","2532XR",25
"BU05183639","2532XS",9
"BU05183639","2532XT",22
"BU05183639","2532XV",24
"BU05183639","2532XW",18
"BU05183639","2532XX",22
"BU05183639","2532XZ",12
"BU05183489","2533AA",14
"BU05183489","2533AB",15
"BU05183489","2533AC",21
"BU05183489","2533AD",9
"BU05183489","2533AE",9
"BU05183489","2533AG",25
"BU05183489","2533AH",24
"BU05183489","2533AJ",24
"BU05183489","2533AK",24
"BU05183489","2533AL",24
"BU05183489","2533AM",19
"BU05183489","2533AP",2
"BU05183536","2533AR",15
"BU05183536","2533AS",21
"BU05183536","2533AT",14
"BU05183536","2533AV",14
"BU05183536","2533AW",14
"BU05183489","2533AX",9
"BU05183489","2533AZ",10
"BU05183489","2533BA",9
"BU05183489","2533BB",21
"BU05183480","2533BC",9
"BU05183480","2533BD",17
"BU05183480","2533BE",17
"BU05183480","2533BG",1
"BU05183480","2533BH",8
"BU05183480","2533BJ",8
"BU05183480","2533BK",6
"BU05183480","2533BL",22
"BU05183480","2533BM",6
"BU05183480","2533BN",8
"BU05183480","2533BP",6
"BU05183480","2533BR",22
"BU05183480","2533BS",6
"BU05183480","2533BT",8
"BU05183480","2533BV",6
"BU05183480","2533BW",11
"BU05183639","2533CA",3
"BU05183639","2533CB",3
"BU05183639","2533CC",16
"BU05183639","2533CD",25
"BU05183639","2533CE",18
"BU05183637","2533CG",10
"BU05183639","2533CH",24
"BU05183639","2533CJ",17
"BU05183639","2533CK",2
"BU05183639","2533CL",25
"BU05183638","2533CM",18
"BU05183638","2533CN",19
"BU05183638","2533CP",20
"BU05183638","2533CR",24
"BU05183638","2533CS",24
"BU05183638","2533CT",24
"BU05183638","2533EA",23
"BU05183638","2533EB",26
"BU05183638","2533EC",24
"BU05183638","2533ED",24
"BU05183638","2533EE",18
"BU05183638","2533EG",18
"BU05183637","2533EH",18
"BU05183637","2533EJ",18
"BU05183637","2533EK",18
"BU05183637","2533EL",18
"BU05183637","2533EM",12
"BU05183637","2533EN",24
"BU05183637","2533EP",24
"BU05183637","2533ER",21
"BU05183637","2533ES",18
"BU05183637","2533ET",15
"BU05183637","2533EV",18
"BU05183637","2533EW",19
"BU05183637","2533GA",22
"BU05183637","2533GB",20
"BU05183637","2533GC",18
"BU05183637","2533GD",18
"BU05183637","2533GE",22
"BU05183637","2533GG",25
"BU05183637","2533GH",18
"BU05183637","2533GJ",21
"BU05183637","2533GK",3
"BU05183637","2533GL",20
"BU05183637","2533GM",3
"BU05183637","2533GN",15
"BU05183637","2533GP",10
"BU05183637","2533GR",10
"BU05183637","2533GS",7
"BU05183637","2533GT",24
"BU05183637","2533GV",25
"BU05183637","2533GW",15
"BU05183637","2533GX",18
"BU05183637","2533GZ",15
"BU05183637","2533HA",12
"BU05183637","2533HC",12
"BU05183637","2533HD",27
"BU05183637","2533HE",18
"BU05183637","2533HG",21
"BU05183637","2533HH",18
"BU05183637","2533HJ",13
"BU05183637","2533HK",18
"BU05183637","2533HL",17
"BU05183637","2533HM",11
"BU05183637","2533HN",27
"BU05183637","2533HP",18
"BU05183637","2533HR",18
"BU05183637","2533HS",18
"BU05183637","2533HT",22
"BU05183637","2533HV",15
"BU05183637","2533HW",28
"BU05183637","2533HX",7
"BU05183637","2533JA",52
"BU05183637","2533JB",18
"BU05183637","2533JC",21
"BU05183637","2533JD",25
"BU05183637","2533JE",20
"BU05183637","2533JG",23
"BU05183637","2533JH",18
"BU05183637","2533JJ",15
"BU05183637","2533JK",17
"BU05183637","2533JL",18
"BU05183637","2533JM",18
"BU05183637","2533JN",18
"BU05183637","2533JP",19
"BU05183637","2533JR",18
"BU05183637","2533JS",19
"BU05183637","2533JT",14
"BU05183637","2533JV",18
"BU05183637","2533KA",24
"BU05183637","2533KB",24
"BU05183637","2533KC",24
"BU05183637","2533KD",18
"BU05183637","2533KE",24
"BU05183637","2533KG",24
"BU05183637","2533KH",25
"BU05183637","2533KJ",18
"BU05183637","2533KK",24
"BU05183637","2533KL",18
"BU05183637","2533KM",4
"BU05183637","2533KN",18
"BU05183637","2533KP",20
"BU05183637","2533KR",18
"BU05183637","2533KS",24
"BU05183637","2533KT",25
"BU05183637","2533KV",18
"BU05183637","2533KW",18
"BU05183637","2533KX",18
"BU05183637","2533LA",19
"BU05183637","2533LB",18
"BU05183637","2533LC",18
"BU05183637","2533LD",12
"BU05183637","2533LE",18
"BU05183637","2533LG",12
"BU05183637","2533LH",18
"BU05183637","2533LJ",12
"BU05183637","2533LK",30
"BU05183637","2533LL",19
"BU05183637","2533LM",18
"BU05183637","2533LN",21
"BU05183637","2533LP",13
"BU05183637","2533LR",15
"BU05183536","2533SE",1
"BU05183637","2533SG",21
"BU05183637","2533SH",7
"BU05183637","2533SJ",18
"BU05183637","2533SK",24
"BU05183637","2533SL",24
"BU05183637","2533SM",24
"BU05183637","2533SN",20
"BU05183536","2533SP",12
"BU05183536","2533SR",9
"BU05183536","2533ST",4
"BU05183536","2533SW",4
"BU05183536","2533SX",4
"BU05183637","2533TD",18
"BU05183637","2533TE",13
"BU05183637","2533TG",5
"BU05183637","2533TH",24
"BU05183637","2533TJ",15
"BU05183637","2533TK",16
"BU05183637","2533TL",24
"BU05183637","2533TM",18
"BU05183637","2533TN",24
"BU05183637","2533TP",24
"BU05183637","2533TR",24
"BU05183637","2533TS",26
"BU05183637","2533TT",24
"BU05183637","2533TV",24
"BU05183637","2533TW",24
"BU05183637","2533TX",24
"BU05183637","2533TZ",18
"BU05183637","2533VC",18
"BU05183637","2533VD",18
"BU05183637","2533VE",25
"BU05183637","2533VG",21
"BU05183637","2533VH",24
"BU05183637","2533VJ",12
"BU05183637","2533VK",16
"BU05183637","2533VL",18
"BU05183637","2533VM",15
"BU05183637","2533VN",18
"BU05183637","2533VP",20
"BU05183637","2533VR",4
"BU05183637","2533VS",4
"BU05183637","2533VT",22
"BU05183637","2533VV",20
"BU05183637","2533VW",19
"BU05183637","2533VX",12
"BU05183637","2533VZ",18
"BU05183637","2533XM",15
"BU05183637","2533XN",15
"BU05183637","2533XP",15
"BU05183637","2533XR",15
"BU05183637","2533XS",15
"BU05183637","2533XT",18
"BU05183637","2533XV",24
"BU05183637","2533XW",24
"BU05183637","2533XX",18
"BU05183637","2533XZ",24
"BU05183489","2541AA",15
"BU05183489","2541AB",10
"BU05183489","2541AC",11
"BU05183489","2541AD",15
"BU05183489","2541AE",24
"BU05183489","2541AG",24
"BU05183489","2541AH",16
"BU05183489","2541AJ",16
"BU05183489","2541AK",16
"BU05183489","2541AL",16
"BU05183489","2541AM",24
"BU05183489","2541AN",16
"BU05183489","2541AP",16
"BU05183489","2541AR",12
"BU05183489","2541AS",25
"BU05183489","2541AT",24
"BU05183489","2541AV",24
"BU05183489","2541AW",30
"BU05183489","2541AX",24
"BU05183489","2541AZ",25
"BU05183489","2541BA",25
"BU05183489","2541BB",24
"BU05183489","2541BC",24
"BU05183489","2541BD",14
"BU05183480","2541CA",57
"BU05183480","2541CB",18
"BU05183480","2541CC",12
"BU05183480","2541CD",61
"BU05183480","2541CG",20
"BU05183480","2541CH",13
"BU05183480","2541CJ",20
"BU05183480","2541CK",12
"BU05183480","2541CN",27
"BU05183480","2541CP",18
"BU05183480","2541CR",19
"BU05183480","2541CS",15
"BU05183480","2541CT",18
"BU05183480","2541CV",40
"BU05183480","2541CW",18
"BU05183480","2541CX",13
"BU05183488","2541DD",1
"BU05183480","2541EA",30
"BU05183480","2541EB",24
"BU05183480","2541EC",24
"BU05183480","2541ED",16
"BU05183480","2541EE",24
"BU05183480","2541EG",24
"BU05183480","2541EH",19
"BU05183480","2541EJ",11
"BU05183480","2541EK",22
"BU05183480","2541EL",11
"BU05183480","2541EM",22
"BU05183480","2541EN",16
"BU05183480","2541EP",16
"BU05183480","2541ER",24
"BU05183480","2541ES",24
"BU05183480","2541ET",24
"BU05183480","2541EV",16
"BU05183480","2541EW",24
"BU05183480","2541EX",16
"BU05183480","2541EZ",16
"BU05183396","2541GA",3
"BU05183398","2541GB",42
"BU05183398","2541GC",30
"BU05183398","2541GD",20
"BU05183398","2541GE",29
"BU05183398","2541GG",23
"BU05183398","2541GH",24
"BU05183398","2541GJ",24
"BU05183398","2541GK",24
"BU05183398","2541GL",24
"BU05183398","2541GM",24
"BU05183398","2541GN",24
"BU05183398","2541GP",24
"BU05183398","2541GR",24
"BU05183398","2541GS",3
"BU05183398","2541GT",22
"BU05183398","2541GV",18
"BU05183398","2541GW",15
"BU05183398","2541GX",24
"BU05183398","2541GZ",24
"BU05183480","2541HP",24
"BU05183480","2541HR",13
"BU05183480","2541HS",20
"BU05183480","2541HT",18
"BU05183480","2541HV",19
"BU05183480","2541HW",24
"BU05183480","2541HX",20
"BU05183480","2541JA",16
"BU05183480","2541JB",17
"BU05183480","2541JC",16
"BU05183480","2541JD",18
"BU05183480","2541JE",18
"BU05183480","2541JG",18
"BU05183480","2541JH",24
"BU05183480","2541JJ",24
"BU05183480","2541PL",25
"BU05183480","2541PM",18
"BU05183480","2541PN",16
"BU05183480","2541PP",18
"BU05183480","2541PR",19
"BU05183480","2541PS",16
"BU05183480","2541PT",19
"BU05183480","2541PV",17
"BU05183480","2541PW",26
"BU05183480","2541PX",17
"BU05183480","2541PZ",17
"BU05183480","2541RB",16
"BU05183480","2541RC",17
"BU05183480","2541RD",19
"BU05183480","2541RE",18
"BU05183480","2541RG",26
"BU05183480","2541RH",16
"BU05183480","2541RJ",16
"BU05183480","2541RK",16
"BU05183480","2541RL",13
"BU05183480","2541RM",24
"BU05183480","2541RN",8
"BU05183480","2541RP",14
"BU05183480","2541RR",24
"BU05183480","2541RS",24
"BU05183480","2541RT",28
"BU05183480","2541RV",28
"BU05183480","2541RW",16
"BU05183480","2541RX",16
"BU05183480","2541RZ",9
"BU05183480","2541SB",98
"BU05183480","2541SN",24
"BU05183480","2541SP",24
"BU05183480","2541SR",24
"BU05183480","2541ST",20
"BU05183480","2541SV",98
"BU05183480","2541TC",24
"BU05183480","2541TD",24
"BU05183480","2541TE",16
"BU05183480","2541TG",16
"BU05183480","2541TH",25
"BU05183480","2541TJ",24
"BU05183480","2541TK",24
"BU05183480","2541TL",25
"BU05183480","2541TM",24
"BU05183480","2541TN",25
"BU05183480","2541TP",19
"BU05183480","2541TR",13
"BU05183489","2541TS",24
"BU05183489","2541TT",25
"BU05183489","2541TV",24
"BU05183489","2541TW",19
"BU05183489","2541TX",24
"BU05183489","2541TZ",18
"BU05183489","2541VA",24
"BU05183489","2541VB",24
"BU05183489","2541VC",24
"BU05183489","2541VD",24
"BU05183489","2541VE",24
"BU05183489","2541VG",24
"BU05183489","2541VH",24
"BU05183489","2541VJ",24
"BU05183489","2541VK",26
"BU05183489","2541VL",24
"BU05183489","2541VM",16
"BU05183489","2541VN",15
"BU05183489","2541VP",14
"BU05183489","2541VR",17
"BU05183489","2541VS",15
"BU05183489","2541VT",21
"BU05183489","2541VV",22
"BU05183489","2541VW",5
"BU05183489","2541VZ",24
"BU05183489","2541XA",24
"BU05183489","2541XB",20
"BU05183489","2541XC",25
"BU05183489","2541XD",24
"BU05183489","2541XE",24
"BU05183284","2541XG",24
"BU05183489","2541XH",43
"BU05183489","2541XJ",25
"BU05183489","2541XK",24
"BU05183489","2541XL",24
"BU05183489","2541XM",24
"BU05183489","2541XN",14
"BU05183489","2541XP",16
"BU05183284","2541XR",28
"BU05183489","2541XS",15
"BU05183489","2541XT",19
"BU05183489","2541XV",24
"BU05183489","2541XW",24
"BU05183489","2541XX",24
"BU05183489","2541XZ",24
"BU05183398","2542AA",16
"BU05183398","2542AB",15
"BU05183398","2542AC",17
"BU05183398","2542AD",24
"BU05183398","2542AM",1
"BU05183398","2542AN",23
"BU05183398","2542AP",22
"BU05183398","2542AS",3
"BU05183398","2542AT",21
"BU05183398","2542AV",22
"BU05183398","2542AW",18
"BU05183398","2542AX",18
"BU05183398","2542BA",24
"BU05183398","2542BB",24
"BU05183398","2542BC",23
"BU05183398","2542BD",24
"BU05183398","2542BE",24
"BU05183398","2542BG",23
"BU05183398","2542BH",26
"BU05183398","2542BJ",23
"BU05183398","2542BK",42
"BU05183398","2542CB",19
"BU05183398","2542CC",16
"BU05183398","2542CD",16
"BU05183398","2542CE",24
"BU05183398","2542CG",24
"BU05183398","2542CH",25
"BU05183398","2542CJ",16
"BU05183398","2542CK",24
"BU05183398","2542CL",24
"BU05183398","2542CM",24
"BU05183398","2542CN",17
"BU05183398","2542CP",19
"BU05183398","2542CS",10
"BU05183398","2542CT",12
"BU05183398","2542CV",12
"BU05183398","2542CW",6
"BU05183398","2542ED",3
"BU05183398","2542EE",5
"BU05183398","2542EG",12
"BU05183398","2542EH",22
"BU05183398","2542EJ",24
"BU05183398","2542EK",16
"BU05183398","2542EL",35
"BU05183398","2542EM",20
"BU05183398","2542EN",21
"BU05183398","2542EP",9
"BU05183398","2542ER",25
"BU05183398","2542ES",31
"BU05183398","2542ET",11
"BU05183398","2542EX",32
"BU05183398","2542EZ",43
"BU05183398","2542GA",1
"BU05183398","2542GK",1
"BU05183398","2542GL",24
"BU05183398","2542GM",24
"BU05183398","2542GN",16
"BU05183398","2542GP",16
"BU05183398","2542HE",16
"BU05183398","2542HG",16
"BU05183398","2542HH",24
"BU05183398","2542HJ",25
"BU05183398","2542HK",21
"BU05183398","2542HM",23
"BU05183398","2542HN",13
"BU05183398","2542HP",1
"BU05183387","2542JA",24
"BU05183387","2542JB",16
"BU05183387","2542JC",26
"BU05183387","2542JD",16
"BU05183387","2542JE",18
"BU05183387","2542JG",14
"BU05183396","2542JH",14
"BU05183396","2542JJ",26
"BU05183396","2542JK",27
"BU05183396","2542JL",27
"BU05183396","2542JM",17
"BU05183396","2542JN",24
"BU05183396","2542JP",26
"BU05183396","2542JR",7
"BU05183398","2542JS",24
"BU05183398","2542JT",15
"BU05183398","2542JV",17
"BU05183398","2542JW",22
"BU05183398","2542JX",3
"BU05183396","2542KA",9
"BU05183396","2542KB",7
"BU05183398","2542KC",24
"BU05183398","2542KD",4
"BU05183398","2542KE",16
"BU05183398","2542KG",17
"BU05183398","2542KP",48
"BU05183398","2542LA",16
"BU05183398","2542LB",16
"BU05183398","2542LC",16
"BU05183398","2542LD",16
"BU05183398","2542LE",16
"BU05183398","2542LG",16
"BU05183398","2542LH",24
"BU05183398","2542LJ",15
"BU05183398","2542LK",17
"BU05183398","2542LL",22
"BU05183398","2542LM",17
"BU05183398","2542LN",22
"BU05183398","2542LP",24
"BU05183398","2542LR",23
"BU05183398","2542LS",24
"BU05183398","2542LT",23
"BU05183398","2542LV",24
"BU05183398","2542LW",24
"BU05183398","2542LX",16
"BU05183398","2542LZ",17
"BU05183398","2542NA",24
"BU05183398","2542NB",16
"BU05183398","2542NC",16
"BU05183398","2542ND",24
"BU05183398","2542NE",20
"BU05183398","2542NG",22
"BU05183398","2542NH",19
"BU05183398","2542NJ",26
"BU05183398","2542NK",23
"BU05183398","2542NL",23
"BU05183398","2542NM",16
"BU05183398","2542NN",15
"BU05183398","2542NP",23
"BU05183398","2542NR",8
"BU05183398","2542NS",16
"BU05183398","2542NT",18
"BU05183398","2542NV",16
"BU05183398","2542NW",7
"BU05183398","2542NX",10
"BU05183398","2542PA",16
"BU05183398","2542PB",24
"BU05183398","2542PC",22
"BU05183398","2542PD",15
"BU05183398","2542PE",24
"BU05183398","2542PK",9
"BU05183398","2542PL",25
"BU05183398","2542PM",24
"BU05183398","2542PN",24
"BU05183398","2542PP",24
"BU05183399","2542PR",18
"BU05183480","2542PS",3
"BU05183480","2542PT",3
"BU05183480","2542PV",3
"BU05183480","2542PW",3
"BU05183480","2542RA",20
"BU05183480","2542RB",24
"BU05183480","2542RC",24
"BU05183480","2542RD",16
"BU05183480","2542RE",24
"BU05183480","2542RG",16
"BU05183398","2542RH",1
"BU05183398","2542RK",2
"BU05183398","2542RV",1
"BU05183398","2542RZ",1
"BU05183398","2542TC",8
"BU05183398","2542TD",48
"BU05183398","2542TE",20
"BU05183398","2542TG",21
"BU05183398","2542TH",18
"BU05183398","2542TJ",20
"BU05183398","2542TK",43
"BU05183398","2542TL",8
"BU05183398","2542TM",17
"BU05183398","2542TN",24
"BU05183398","2542TP",20
"BU05183398","2542TR",24
"BU05183398","2542TS",28
"BU05183398","2542TT",22
"BU05183398","2542TV",24
"BU05183398","2542TW",24
"BU05183398","2542TX",24
"BU05183398","2542TZ",24
"BU05183398","2542VK",20
"BU05183398","2542VL",19
"BU05183398","2542VM",18
"BU05183398","2542VN",27
"BU05183398","2542VP",15
"BU05183398","2542VR",14
"BU05183398","2542VS",14
"BU05183398","2542VT",21
"BU05183398","2542VX",29
"BU05183398","2542VZ",16
"BU05183398","2542WX",16
"BU05183398","2542WZ",18
"BU05183398","2542XA",57
"BU05183398","2542XB",29
"BU05183398","2542XC",17
"BU05183398","2542XD",17
"BU05183398","2542XE",26
"BU05183398","2542XG",43
"BU05183398","2542XH",18
"BU05183398","2542XJ",16
"BU05183398","2542XK",16
"BU05183398","2542XL",16
"BU05183398","2542XM",16
"BU05183398","2542XN",16
"BU05183398","2542XP",16
"BU05183398","2542XR",16
"BU05183398","2542XS",24
"BU05183398","2542XT",24
"BU05183398","2542XV",24
"BU05183398","2542XW",24
"BU05183398","2542XX",17
"BU05183398","2542XZ",12
"BU05183396","2543AA",29
"BU05183396","2543AB",16
"BU05183396","2543AC",16
"BU05183396","2543AD",24
"BU05183396","2543AE",24
"BU05183396","2543AG",7
"BU05183396","2543AH",9
"BU05183396","2543AJ",21
"BU05183396","2543AK",24
"BU05183396","2543AL",16
"BU05183396","2543AM",19
"BU05183396","2543AN",22
"BU05183396","2543AP",17
