"gender","n_people","age_group_education","migration_background","education_level"
"male",21,"29","Dutch",""
"female",6,"18","Non_Western",""
"male",0,"13","Dutch",""
"female",31,"18","Dutch",""
"male",43,"23","Non_Western",""
"female",21,"20","Non_Western",""
"male",10,"17","Western",""
"male",21,"29","Non_Western",""
"male",72,"age_30_35","Non_Western",""
"female",0,"17","Non_Western",""
"female",26,"26","Dutch",""
"female",14,"17","Dutch",""
"female",17,"26","Non_Western",""
"female",0,"14","Non_Western",""
"male",12,"age_over_50","Non_Western",""
"female",17,"age_35_40","Western",""
"female",11,"age_40_45","Western",""
"female",23,"27","Dutch",""
"male",8,"age_30_35","Western",""
"female",11,"27","Non_Western",""
"male",30,"17","Non_Western",""
"female",13,"age_over_50","Western",""
"female",27,"age_over_50","Non_Western",""
"male",2,"26","Western",""
"female",56,"age_over_50","Dutch",""
"male",0,"15","Dutch",""
"female",69,"age_35_40","Non_Western",""
"female",0,"14","Western",""
"male",0,"15","Western",""
"male",3,"age_over_50","Western",""
"male",3,"23","Western",""
"female",7,"20","Western",""
"male",39,"age_30_35","Dutch",""
"male",11,"20","Western",""
"male",35,"age_35_40","Dutch",""
"female",0,"17","Western",""
"male",54,"21","Non_Western",""
"female",24,"age_30_35","Non_Western",""
"female",11,"28","Dutch",""
"male",65,"19","Dutch",""
"female",12,"age_30_35","Western",""
"male",10,"28","Dutch",""
"female",60,"age_30_35","Dutch",""
"female",13,"29","Non_Western",""
"female",78,"age_30_35","Non_Western",""
"female",0,"15","Western",""
"female",37,"20","Dutch",""
"female",0,"15","Non_Western",""
"female",41,"age_30_35","Dutch",""
"female",13,"age_30_35","Western",""
"female",27,"21","Non_Western",""
"female",19,"25","Non_Western",""
"male",15,"age_30_35","Non_Western",""
"female",52,"age_35_40","Dutch",""
"female",3,"16","Dutch",""
"male",0,"14","Non_Western",""
"male",50,"20","Dutch",""
"male",22,"26","Dutch",""
"male",14,"age_30_35","Dutch",""
"male",3,"27","Western",""
"male",10,"21","Western",""
"female",25,"24","Non_Western",""
"male",8,"16","Non_Western",""
"female",6,"28","Western",""
"female",29,"24","Dutch",""
"male",0,"12","Dutch",""
"female",21,"22","Non_Western",""
"male",0,"15","Non_Western",""
"female",33,"23","Non_Western",""
"male",31,"27","Non_Western",""
"female",4,"22","Western",""
"male",47,"age_35_40","Non_Western",""
"male",3,"28","Western",""
"female",0,"15","Dutch",""
"male",30,"25","Non_Western",""
"male",5,"age_40_45","Western",""
"female",5,"24","Western",""
"male",0,"13","Non_Western",""
"female",18,"19","Non_Western",""
"female",5,"16","Non_Western",""
"male",37,"19","Non_Western",""
"male",0,"14","Dutch",""
"male",24,"28","Non_Western",""
"male",26,"age_40_45","Non_Western",""
"male",31,"25","Dutch",""
"male",19,"age_over_50","Dutch",""
"male",13,"age_35_40","Western",""
"male",15,"27","Dutch",""
"male",0,"12","Western",""
"male",5,"16","Western",""
"male",7,"18","Western",""
"female",50,"age_40_45","Non_Western",""
"female",18,"21","Dutch",""
"female",3,"25","Western",""
"female",22,"23","Dutch",""
"female",3,"23","Western",""
"male",64,"17","Dutch",""
"female",4,"21","Western",""
"male",8,"25","Western",""
"male",0,"12","Non_Western",""
"male",0,"13","Western",""
"male",56,"21","Dutch",""
"female",0,"12","Non_Western",""
"male",8,"19","Western",""
"male",26,"16","Dutch",""
"male",46,"24","Non_Western",""
"female",8,"29","Western",""
"male",3,"24","Western",""
"male",0,"14","Western",""
"female",0,"13","Western",""
"female",4,"18","Western",""
"female",0,"12","Western",""
"female",20,"22","Dutch",""
"female",0,"16","Western",""
"male",25,"24","Dutch",""
"male",9,"22","Western",""
"female",7,"19","Western",""
"female",0,"12","Dutch",""
"male",72,"18","Dutch",""
"male",31,"18","Non_Western",""
"male",49,"22","Dutch",""
"female",16,"29","Dutch",""
"female",0,"14","Dutch",""
"female",0,"13","Non_Western",""
"male",15,"age_40_45","Dutch",""
"male",23,"23","Dutch",""
"female",31,"age_40_45","Western","high"
"male",86,"age_30_35","Western","high"
"female",47,"age_30_35","Dutch","high"
"male",0,"13","Dutch","high"
"female",0,"12","Western","high"
"female",294,"23","Dutch","high"
"male",262,"19","Dutch","high"
"male",276,"23","Dutch","high"
"male",0,"14","Dutch","high"
"female",0,"14","Dutch","high"
"male",8,"age_over_50","Non_Western","high"
"male",177,"age_30_35","Dutch","high"
"male",251,"age_30_35","Non_Western","high"
"male",0,"13","Western","high"
"male",0,"15","Non_Western","high"
"male",73,"17","Non_Western","high"
"male",82,"28","Dutch","high"
"male",106,"25","Western","high"
"female",0,"12","Dutch","high"
"female",140,"28","Non_Western","high"
"female",0,"13","Western","high"
"female",13,"age_30_35","Western","high"
"female",196,"23","Western","high"
"female",24,"age_30_35","Non_Western","high"
"female",392,"24","Non_Western","high"
"female",265,"22","Western","high"
"male",77,"26","Western","high"
"male",9,"age_over_50","Western","high"
"female",547,"20","Non_Western","high"
"male",178,"23","Western","high"
"male",230,"24","Dutch","high"
"male",138,"26","Dutch","high"
"female",0,"14","Western","high"
"female",0,"13","Non_Western","high"
"male",0,"12","Non_Western","high"
"male",0,"14","Western","high"
"female",40,"28","Western","high"
"male",0,"13","Non_Western","high"
"male",175,"19","Western","high"
"male",208,"26","Non_Western","high"
"male",0,"12","Dutch","high"
"female",327,"20","Western","high"
"female",145,"24","Western","high"
"female",265,"18","Dutch","high"
"male",0,"15","Dutch","high"
"female",408,"22","Dutch","high"
"male",327,"22","Dutch","high"
"female",0,"14","Non_Western","high"
"female",226,"24","Dutch","high"
"female",118,"29","Non_Western","high"
"female",389,"19","Non_Western","high"
"female",0,"13","Dutch","high"
"male",57,"28","Western","high"
"female",517,"22","Non_Western","high"
"male",3,"16","Non_Western","high"
"male",131,"28","Non_Western","high"
"female",45,"age_40_45","Dutch","high"
"male",98,"29","Non_Western","high"
"female",96,"18","Western","high"
"male",406,"21","Non_Western","high"
"female",378,"20","Dutch","high"
"female",53,"28","Dutch","high"
"male",221,"21","Western","high"
"female",260,"19","Western","high"
"male",2,"16","Dutch","high"
"female",106,"age_35_40","Non_Western","high"
"male",107,"24","Western","high"
"female",72,"age_35_40","Dutch","high"
"male",196,"27","Non_Western","high"
"female",47,"age_40_45","Non_Western","high"
"female",37,"29","Western","high"
"female",295,"25","Non_Western","high"
"male",210,"20","Western","high"
"female",155,"25","Dutch","high"
"female",55,"29","Dutch","high"
"female",98,"25","Western","high"
"male",0,"12","Western","high"
"male",0,"16","Western","high"
"female",428,"23","Non_Western","high"
"male",406,"22","Non_Western","high"
"male",359,"20","Non_Western","high"
"female",72,"26","Western","high"
"male",118,"27","Dutch","high"
"female",31,"age_35_40","Western","high"
"female",251,"26","Non_Western","high"
"female",0,"16","Western","high"
"female",0,"15","Non_Western","high"
"male",158,"18","Non_Western","high"
"male",344,"21","Dutch","high"
"female",331,"19","Dutch","high"
"male",15,"17","Western","high"
"male",103,"17","Dutch","high"
"male",213,"25","Dutch","high"
"female",510,"21","Non_Western","high"
"female",49,"27","Western","high"
"female",198,"27","Non_Western","high"
"female",0,"16","Non_Western","high"
"female",78,"27","Dutch","high"
"female",22,"17","Western","high"
"male",290,"19","Non_Western","high"
"female",0,"15","Western","high"
"male",26,"age_over_50","Dutch","high"
"male",32,"age_30_35","Dutch","high"
"female",0,"15","Dutch","high"
"female",202,"18","Non_Western","high"
"female",85,"17","Non_Western","high"
"male",281,"25","Non_Western","high"
"female",13,"age_over_50","Western","high"
"male",64,"18","Western","high"
"female",0,"12","Non_Western","high"
"male",63,"27","Western","high"
"male",30,"29","Western","high"
"female",1,"16","Dutch","high"
"male",30,"age_35_40","Western","high"
"male",2,"age_30_35","Western","high"
"female",20,"age_over_50","Non_Western","high"
"female",291,"21","Western","high"
"female",106,"17","Dutch","high"
"female",453,"21","Dutch","high"
"male",310,"24","Non_Western","high"
"male",216,"18","Dutch","high"
"female",122,"26","Dutch","high"
"male",322,"20","Dutch","high"
"male",33,"age_40_45","Dutch","high"
"male",0,"15","Western","high"
"female",127,"age_30_35","Dutch","high"
"male",54,"age_35_40","Non_Western","high"
"female",71,"age_30_35","Western","high"
"male",53,"age_35_40","Dutch","high"
"male",20,"age_30_35","Non_Western","high"
"male",0,"14","Non_Western","high"
"male",55,"29","Dutch","high"
"male",14,"age_40_45","Western","high"
"male",208,"22","Western","high"
"male",376,"23","Non_Western","high"
"male",21,"age_40_45","Non_Western","high"
"female",276,"age_30_35","Non_Western","high"
"female",57,"age_over_50","Dutch","high"
"female",197,"24","Non_Western","high"
"male",110,"24","Western","high"
"male",112,"25","Non_Western","high"
"female",62,"27","Dutch","high"
"male",0,"14","Western","high"
"male",172,"20","Non_Western","high"
"female",274,"19","Western","high"
"male",165,"24","Non_Western","high"
"male",0,"15","Western","high"
"male",202,"23","Dutch","high"
"male",0,"13","Non_Western","high"
"female",196,"18","Dutch","high"
"female",50,"28","Dutch","high"
"female",125,"25","Non_Western","high"
"male",166,"19","Western","high"
"male",56,"26","Western","high"
"female",30,"29","Dutch","high"
"male",139,"22","Western","high"
"female",282,"21","Dutch","high"
"male",249,"22","Dutch","high"
"female",0,"12","Dutch","high"
"male",0,"15","Non_Western","high"
"male",0,"15","Dutch","high"
"female",0,"16","Western","high"
"female",0,"14","Dutch","high"
"male",266,"19","Dutch","high"
"female",0,"12","Western","high"
"male",12,"age_40_45","Non_Western","high"
"male",165,"21","Non_Western","high"
"male",178,"19","Non_Western","high"
"female",0,"15","Non_Western","high"
"female",265,"21","Western","high"
"female",278,"20","Dutch","high"
"female",199,"19","Non_Western","high"
"male",245,"21","Dutch","high"
"female",93,"25","Western","high"
"male",124,"23","Western","high"
"male",56,"28","Dutch","high"
"female",0,"13","Dutch","high"
"female",22,"age_35_40","Dutch","high"
"female",43,"27","Western","high"
"female",159,"18","Western","high"
"male",156,"22","Non_Western","high"
"male",7,"age_over_50","Western","high"
"male",0,"12","Dutch","high"
"male",6,"age_over_50","Non_Western","high"
"female",0,"14","Western","high"
"male",234,"24","Dutch","high"
"female",255,"23","Dutch","high"
"male",20,"29","Western","high"
"female",201,"22","Non_Western","high"
"female",130,"18","Non_Western","high"
"male",186,"23","Non_Western","high"
"male",211,"20","Western","high"
"male",0,"14","Non_Western","high"
"male",286,"20","Dutch","high"
"female",1,"16","Non_Western","high"
"female",176,"25","Dutch","high"
"female",179,"22","Western","high"
"male",175,"21","Western","high"
"male",8,"17","Non_Western","high"
"male",0,"13","Western","high"
"female",24,"age_40_45","Non_Western","high"
"male",0,"14","Dutch","high"
"male",35,"29","Dutch","high"
"female",0,"13","Western","high"
"female",0,"12","Non_Western","high"
"female",11,"age_over_50","Non_Western","high"
"female",240,"20","Non_Western","high"
"female",0,"15","Western","high"
"female",0,"15","Dutch","high"
"female",0,"16","Dutch","high"
"female",315,"19","Dutch","high"
"female",115,"age_30_35","Non_Western","high"
"male",0,"16","Non_Western","high"
"male",91,"25","Western","high"
"female",169,"23","Western","high"
"male",191,"18","Dutch","high"
"female",231,"21","Non_Western","high"
"male",8,"age_30_35","Non_Western","high"
"female",46,"29","Non_Western","high"
"female",111,"26","Dutch","high"
"female",10,"age_30_35","Western","high"
"male",5,"age_40_45","Western","high"
"female",36,"28","Western","high"
"female",5,"17","Non_Western","high"
"male",3,"17","Western","high"
"female",216,"22","Dutch","high"
"male",0,"16","Dutch","high"
"male",0,"13","Dutch","high"
"male",100,"26","Non_Western","high"
"female",13,"age_40_45","Western","high"
"female",73,"27","Non_Western","high"
"female",44,"age_35_40","Non_Western","high"
"female",12,"age_over_50","Western","high"
"male",5,"age_30_35","Western","high"
"female",81,"26","Western","high"
"male",21,"age_over_50","Dutch","high"
"male",41,"27","Western","high"
"male",0,"12","Western","high"
"female",227,"24","Dutch","high"
"female",19,"29","Western","high"
"male",1,"16","Western","high"
"male",89,"age_30_35","Dutch","high"
"female",0,"13","Non_Western","high"
"male",36,"age_35_40","Non_Western","high"
"female",197,"23","Non_Western","high"
"female",20,"age_35_40","Western","high"
"female",9,"17","Western","high"
"male",111,"18","Western","high"
"female",14,"age_40_45","Dutch","high"
"female",329,"20","Western","high"
"male",161,"26","Dutch","high"
"male",10,"17","Dutch","high"
"male",55,"29","Non_Western","high"
"male",60,"28","Non_Western","high"
"female",55,"age_30_35","Western","high"
"male",57,"age_30_35","Western","high"
"male",30,"28","Western","high"
"male",0,"12","Non_Western","high"
"female",13,"17","Dutch","high"
"male",15,"age_30_35","Dutch","high"
"male",104,"18","Non_Western","high"
"female",8,"age_30_35","Dutch","high"
"male",82,"27","Non_Western","high"
"female",21,"age_over_50","Dutch","high"
"male",184,"25","Dutch","high"
"female",94,"26","Non_Western","high"
"male",112,"age_30_35","Non_Western","high"
"female",69,"28","Non_Western","high"
"male",82,"27","Dutch","high"
"female",0,"14","Non_Western","high"
"female",52,"age_30_35","Dutch","high"
"male",13,"age_40_45","Dutch","high"
"female",117,"24","Western","high"
"male",25,"age_35_40","Dutch","high"
"male",19,"age_35_40","Western","high"
"female",7,"age_30_35","Non_Western","high"
"male",0,"27","Western","middle"
"female",0,"24","Western","middle"
"female",0,"24","Dutch","middle"
"female",0,"age_30_35","Western","middle"
"female",0,"25","Western","middle"
"female",0,"age_40_45","Dutch","middle"
"female",12,"19","Dutch","middle"
"male",0,"age_40_45","Non_Western","middle"
"female",2,"16","Dutch","middle"
"female",0,"age_40_45","Western","middle"
"female",0,"age_35_40","Dutch","middle"
"male",1,"25","Non_Western","middle"
"female",1,"age_30_35","Dutch","middle"
"male",3,"22","Dutch","middle"
"female",0,"14","Dutch","middle"
"female",0,"25","Dutch","middle"
"male",0,"12","Non_Western","middle"
"male",20,"18","Non_Western","middle"
"female",3,"21","Dutch","middle"
"male",0,"age_40_45","Dutch","middle"
"male",0,"27","Dutch","middle"
"male",1,"age_40_45","Western","middle"
"female",0,"28","Western","middle"
"female",15,"19","Non_Western","middle"
"female",0,"14","Non_Western","middle"
"male",0,"24","Non_Western","middle"
"male",0,"12","Western","middle"
"male",0,"24","Western","middle"
"male",0,"13","Dutch","middle"
"male",2,"18","Western","middle"
"male",0,"13","Western","middle"
"male",0,"23","Western","middle"
"female",0,"age_30_35","Western","middle"
"female",0,"24","Non_Western","middle"
"male",2,"28","Non_Western","middle"
"female",1,"23","Western","middle"
"male",0,"28","Western","middle"
"female",0,"age_30_35","Dutch","middle"
"male",0,"15","Western","middle"
"female",0,"12","Western","middle"
"male",0,"27","Non_Western","middle"
"male",0,"age_30_35","Dutch","middle"
"female",6,"19","Western","middle"
"male",1,"age_over_50","Dutch","middle"
"female",0,"age_35_40","Western","middle"
"male",6,"21","Non_Western","middle"
"male",0,"16","Dutch","middle"
"female",0,"15","Dutch","middle"
"male",13,"18","Dutch","middle"
"male",0,"age_30_35","Non_Western","middle"
"male",0,"25","Western","middle"
"female",0,"28","Non_Western","middle"
"female",0,"28","Dutch","middle"
"female",2,"age_35_40","Non_Western","middle"
"female",1,"age_30_35","Non_Western","middle"
"female",2,"17","Non_Western","middle"
"female",3,"23","Non_Western","middle"
"male",0,"13","Non_Western","middle"
"female",6,"20","Non_Western","middle"
"female",0,"14","Western","middle"
"female",5,"20","Western","middle"
"female",1,"23","Dutch","middle"
"female",0,"12","Dutch","middle"
"male",0,"age_30_35","Dutch","middle"
"female",2,"22","Non_Western","middle"
"female",0,"age_30_35","Non_Western","middle"
"female",0,"age_40_45","Non_Western","middle"
"female",0,"27","Non_Western","middle"
"female",2,"21","Non_Western","middle"
"female",22,"18","Non_Western","middle"
"male",0,"15","Non_Western","middle"
"female",1,"21","Western","middle"
"male",9,"20","Non_Western","middle"
"male",0,"age_35_40","Western","middle"
"female",6,"20","Dutch","middle"
"male",0,"15","Dutch","middle"
"male",0,"23","Non_Western","middle"
"female",0,"22","Western","middle"
"male",0,"age_30_35","Western","middle"
"female",1,"age_over_50","Non_Western","middle"
"male",0,"age_over_50","Western","middle"
"male",0,"age_over_50","Non_Western","middle"
"male",1,"22","Non_Western","middle"
"male",0,"age_35_40","Non_Western","middle"
"male",0,"24","Dutch","middle"
"male",0,"12","Dutch","middle"
"female",0,"13","Dutch","middle"
"male",0,"age_30_35","Western","middle"
"female",0,"15","Non_Western","middle"
"female",0,"26","Non_Western","middle"
"male",0,"25","Dutch","middle"
"male",0,"age_30_35","Non_Western","middle"
"male",0,"23","Dutch","middle"
"female",0,"26","Dutch","middle"
"female",0,"29","Non_Western","middle"
"female",3,"17","Western","middle"
"female",0,"12","Non_Western","middle"
"male",0,"16","Western","middle"
"female",9,"17","Dutch","middle"
"male",4,"19","Western","middle"
"female",7,"18","Western","middle"
"female",0,"16","Non_Western","middle"
"female",0,"27","Western","middle"
"male",2,"16","Non_Western","middle"
"male",2,"26","Dutch","middle"
"female",0,"29","Western","middle"
"male",25,"19","Non_Western","middle"
"male",0,"28","Dutch","middle"
"male",7,"17","Non_Western","middle"
"male",6,"17","Dutch","middle"
"female",11,"18","Dutch","middle"
"female",0,"13","Non_Western","middle"
"male",0,"22","Western","middle"
"female",0,"16","Western","middle"
"female",1,"25","Non_Western","middle"
"male",3,"17","Western","middle"
"female",2,"22","Dutch","middle"
"male",2,"20","Western","middle"
"male",0,"29","Dutch","middle"
"male",1,"21","Western","middle"
"female",0,"26","Western","middle"
"male",0,"26","Non_Western","middle"
"male",9,"20","Dutch","middle"
"male",0,"14","Non_Western","middle"
"male",18,"19","Dutch","middle"
"female",0,"29","Dutch","middle"
"female",0,"13","Western","middle"
"male",0,"14","Western","middle"
"female",0,"age_over_50","Western","middle"
"female",0,"15","Western","middle"
"male",0,"age_35_40","Dutch","middle"
"male",1,"29","Non_Western","middle"
"female",0,"27","Dutch","middle"
"male",0,"26","Western","middle"
"male",0,"14","Dutch","middle"
"male",6,"21","Dutch","middle"
"female",2,"age_over_50","Dutch","middle"
"male",0,"29","Western","middle"
"female",0,"26","Western","low"
"female",5,"age_over_50","Non_Western","low"
"female",0,"26","Dutch","low"
"female",6,"age_30_35","Non_Western","low"
"male",38,"20","Non_Western","low"
"male",1,"29","Dutch","low"
"female",0,"age_over_50","Dutch","low"
"female",3,"age_over_50","Western","low"
"female",7,"26","Non_Western","low"
"female",0,"age_30_35","Dutch","low"
"female",2,"20","Dutch","low"
"male",1,"29","Non_Western","low"
"female",3,"17","Dutch","low"
"male",6,"age_30_35","Non_Western","low"
"female",25,"17","Non_Western","low"
"male",1,"20","Western","low"
"female",0,"28","Dutch","low"
"male",0,"27","Dutch","low"
"male",23,"21","Non_Western","low"
"male",1,"26","Western","low"
"female",25,"20","Non_Western","low"
"female",0,"21","Western","low"
"female",9,"24","Non_Western","low"
"female",3,"age_30_35","Western","low"
"male",1,"age_35_40","Dutch","low"
"male",0,"29","Western","low"
"female",2,"20","Western","low"
"male",1,"age_30_35","Western","low"
"female",1,"24","Western","low"
"female",0,"15","Non_Western","low"
"male",6,"25","Non_Western","low"
"male",2,"25","Western","low"
"male",1,"27","Western","low"
"male",4,"16","Western","low"
"female",0,"24","Dutch","low"
"female",2,"28","Western","low"
"female",5,"17","Western","low"
"female",0,"age_40_45","Dutch","low"
"male",6,"26","Non_Western","low"
"male",34,"17","Non_Western","low"
"male",2,"age_35_40","Non_Western","low"
"male",0,"26","Dutch","low"
"male",3,"20","Dutch","low"
"male",0,"age_over_50","Dutch","low"
"male",0,"12","Western","low"
"male",24,"16","Non_Western","low"
"male",1,"25","Dutch","low"
"male",7,"16","Dutch","low"
"female",6,"28","Non_Western","low"
"female",7,"25","Non_Western","low"
"female",7,"27","Non_Western","low"
"female",7,"age_35_40","Non_Western","low"
"female",4,"29","Non_Western","low"
"male",1,"age_30_35","Dutch","low"
"female",0,"23","Dutch","low"
"male",1,"21","Western","low"
"female",0,"13","Western","low"
"male",0,"13","Non_Western","low"
"male",0,"13","Western","low"
"male",0,"age_40_45","Dutch","low"
"male",0,"13","Dutch","low"
"female",0,"age_35_40","Dutch","low"
"male",1,"age_30_35","Non_Western","low"
"female",2,"age_40_45","Western","low"
"female",5,"age_30_35","Non_Western","low"
"female",0,"15","Western","low"
"female",0,"22","Western","low"
"male",4,"age_30_35","Dutch","low"
"male",0,"23","Dutch","low"
"male",0,"15","Dutch","low"
"male",0,"14","Dutch","low"
"female",0,"13","Dutch","low"
"male",0,"12","Dutch","low"
"male",4,"23","Non_Western","low"
"female",4,"age_35_40","Western","low"
"female",25,"19","Non_Western","low"
"female",0,"25","Western","low"
"male",2,"age_35_40","Western","low"
"male",10,"17","Dutch","low"
"male",7,"17","Western","low"
"female",3,"29","Western","low"
"male",1,"28","Dutch","low"
"male",3,"19","Dutch","low"
"male",2,"21","Dutch","low"
"female",0,"15","Dutch","low"
"female",9,"16","Non_Western","low"
"female",27,"18","Non_Western","low"
"female",3,"age_30_35","Western","low"
"female",2,"21","Dutch","low"
"male",0,"23","Western","low"
"male",1,"age_over_50","Western","low"
"female",0,"22","Dutch","low"
"male",13,"22","Non_Western","low"
"male",12,"18","Dutch","low"
"male",2,"22","Dutch","low"
"female",5,"19","Western","low"
"female",0,"age_30_35","Dutch","low"
"male",0,"age_30_35","Western","low"
"female",9,"age_40_45","Non_Western","low"
"male",0,"24","Western","low"
"male",0,"age_over_50","Non_Western","low"
"female",5,"16","Dutch","low"
"male",4,"27","Non_Western","low"
"male",2,"28","Non_Western","low"
"male",0,"14","Western","low"
"female",7,"18","Western","low"
"female",2,"27","Dutch","low"
"male",0,"15","Western","low"
"female",0,"12","Non_Western","low"
"male",0,"12","Non_Western","low"
"male",0,"22","Western","low"
"female",7,"21","Non_Western","low"
"female",0,"27","Western","low"
"male",0,"14","Non_Western","low"
"male",1,"24","Dutch","low"
"male",2,"age_40_45","Western","low"
"female",1,"25","Dutch","low"
"female",5,"23","Non_Western","low"
"female",4,"16","Western","low"
"female",14,"22","Non_Western","low"
"male",1,"19","Western","low"
"male",2,"18","Western","low"
"male",1,"age_40_45","Non_Western","low"
"female",0,"12","Western","low"
"female",0,"14","Non_Western","low"
"female",0,"14","Dutch","low"
"male",3,"24","Non_Western","low"
"male",0,"28","Western","low"
"female",0,"29","Dutch","low"
"female",6,"18","Dutch","low"
"male",43,"19","Non_Western","low"
"female",0,"12","Dutch","low"
"female",0,"13","Non_Western","low"
"female",0,"23","Western","low"
"male",49,"18","Non_Western","low"
"female",2,"19","Dutch","low"
"male",0,"15","Non_Western","low"
"female",0,"14","Western","low"
"male",75,"16","Non_Western","middle"
"female",3,"age_30_35","Dutch","middle"
"female",0,"age_over_50","Western","middle"
"male",15,"20","Western","middle"
"female",65,"17","Dutch","middle"
"female",2,"age_over_50","Non_Western","middle"
"female",4,"26","Dutch","middle"
"male",5,"27","Dutch","middle"
"male",27,"25","Non_Western","middle"
"female",2,"age_30_35","Non_Western","middle"
"female",0,"26","Western","middle"
"female",6,"age_over_50","Dutch","middle"
"female",0,"15","Non_Western","middle"
"male",24,"20","Dutch","middle"
