"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"25 tot 35 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";304
"Mannen";"25 tot 35 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";429
"Mannen";"25 tot 35 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";8
"Mannen";"25 tot 35 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";31
"Mannen";"25 tot 35 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";66
"Mannen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";48
"Mannen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";71
"Mannen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";77
"Mannen";"35 tot 45 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";82
"Mannen";"35 tot 45 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";291
"Mannen";"35 tot 45 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";342
"Mannen";"35 tot 45 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";15
"Mannen";"35 tot 45 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";42
"Mannen";"35 tot 45 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";59
"Mannen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";53
"Mannen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";62
"Mannen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";62
"Mannen";"45 tot 55 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";133
"Mannen";"45 tot 55 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";364
"Mannen";"45 tot 55 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";384
"Mannen";"45 tot 55 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";22
"Mannen";"45 tot 55 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";49
"Mannen";"45 tot 55 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";65
"Mannen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";44
"Mannen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";44
"Mannen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";52
"Mannen";"55 tot 65 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";220
"Mannen";"55 tot 65 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";360
"Mannen";"55 tot 65 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";344
"Mannen";"55 tot 65 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";29
"Mannen";"55 tot 65 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";45
"Mannen";"55 tot 65 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";55
"Mannen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";44
"Mannen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";37
"Mannen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";31
"Mannen";"65 tot 75 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";275
"Mannen";"65 tot 75 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";304
"Mannen";"65 tot 75 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";246
"Mannen";"65 tot 75 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";13
"Mannen";"65 tot 75 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";23
"Mannen";"65 tot 75 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";37
"Mannen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";12
"Mannen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";17
"Mannen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";10
"Mannen";"75 jaar of ouder";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";240
"Mannen";"75 jaar of ouder";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";182
"Mannen";"75 jaar of ouder";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";117
"Mannen";"75 jaar of ouder";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";26
"Mannen";"75 jaar of ouder";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";20
"Mannen";"75 jaar of ouder";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";15
"Mannen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";6
"Mannen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";5
"Mannen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";7
"Vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";1771
"Vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";1953
"Vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";1812
"Vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";188
"Vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";254
"Vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";351
"Vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";288
"Vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";293
"Vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";296
"Vrouwen";"15 tot 75 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";1283
"Vrouwen";"15 tot 75 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";1805
"Vrouwen";"15 tot 75 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";1751
"Vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";151
"Vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";235
"Vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";340
"Vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";275
"Vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";292
"Vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";293
"Vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";328
"Vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";333
"Vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";110
"Vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";38
"Vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";41
"Vrouwen";"15 tot 25 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";15
"Vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";89
"Vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";63
"Vrouwen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";16
"Vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";49
"Vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";251
"Vrouwen";"25 tot 35 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";476
"Vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";8
"Vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";28
"Vrouwen";"25 tot 35 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";76
"Vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";31
"Vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";64
"Vrouwen";"25 tot 35 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";97
"Vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";69
"Vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";241
"Vrouwen";"35 tot 45 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";365
"Vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";13
"Vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";40
"Vrouwen";"35 tot 45 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";90
"Vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";37
"Vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";65
"Vrouwen";"35 tot 45 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";83
"Vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";129
"Vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";358
"Vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";359
"Vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";20
"Vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";49
"Vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";81
"Vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";52
"Vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";52
"Vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";66
"Vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";275
"Vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";379
"Vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";283
"Vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";31
"Vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";49
"Vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";54
"Vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";46
"Vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";29
"Vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";26
"Vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";433
"Vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";243
"Vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";156
"Vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";39
"Vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";29
"Vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";25
"Vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";21
"Vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";19
"Vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";6
"Vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";487
"Vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";148
"Vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";61
"Vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";37
"Vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";19
"Vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";11
"Vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";13
"Vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";1
"Vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";2
