"hh_ID","hh_size","neighb_code","hh_type","PC6","income_group","car_ownership"
40,5,"BU05183284","couple_with_children","2545EW","income_1_10",0
41,5,"BU05183284","couple_with_children","2546VG","income_5_10",0
42,5,"BU05183284","couple_with_children","2546TR","income_5_10",0
43,5,"BU05183284","couple_with_children","2546AG","income_9_10",0
44,4,"BU05183284","single-parent","2545CZ","income_10_10",0
45,5,"BU05183284","couple_with_children","2546BR","income_5_10",0
46,5,"BU05183284","couple_with_children","2546BN","income_4_10",0
47,5,"BU05183284","couple_with_children","2545CW","income_10_10",0
48,5,"BU05183284","couple_with_children","2546SE","income_1_10",0
49,4,"BU05183284","single-parent","2545EP","income_1_10",1
50,5,"BU05183284","couple_with_children","2546VR","income_2_10",0
51,5,"BU05183284","couple_with_children","2545CT","income_2_10",0
52,5,"BU05183284","couple_with_children","2546BG","income_9_10",0
53,4,"BU05183284","single-parent","2546RM","income_1_10",0
54,4,"BU05183284","single-parent","2546BD","income_2_10",1
55,5,"BU05183284","couple_with_children","2545CM","income_4_10",0
56,5,"BU05183284","couple_with_children","2546CK","income_8_10",0
57,5,"BU05183284","couple_with_children","2545CG","income_2_10",0
58,4,"BU05183284","single-parent","2545CN","income_2_10",0
59,5,"BU05183284","couple_with_children","2545CW","income_9_10",0
60,4,"BU05183284","single-parent","2546SL","income_1_10",1
61,5,"BU05183284","couple_with_children","2546TK","income_1_10",0
62,5,"BU05183284","couple_with_children","2546XC","income_8_10",0
63,4,"BU05183284","single-parent","2545CZ","income_5_10",0
64,5,"BU05183284","couple_with_children","2546RJ","income_7_10",0
65,4,"BU05183284","single-parent","2546AH","income_4_10",1
66,5,"BU05183284","couple_with_children","2546XK","income_10_10",0
67,5,"BU05183284","couple_with_children","2545CM","income_7_10",0
68,5,"BU05183284","couple_with_children","2546VA","income_10_10",0
69,5,"BU05183284","couple_with_children","2546AJ","income_8_10",0
70,5,"BU05183284","couple_with_children","2546BG","income_2_10",0
71,5,"BU05183284","couple_with_children","2545CP","income_5_10",0
72,4,"BU05183284","single-parent","2545ER","income_7_10",1
73,5,"BU05183284","couple_with_children","2546XK","income_5_10",0
74,5,"BU05183284","couple_with_children","2545EG","income_3_10",0
75,5,"BU05183284","couple_with_children","2546VV","income_8_10",0
76,5,"BU05183284","couple_with_children","2546EC","income_8_10",0
77,5,"BU05183284","couple_with_children","2546TZ","income_1_10",0
78,5,"BU05183284","couple_with_children","2545EP","income_5_10",0
79,4,"BU05183284","single-parent","2546BJ","income_5_10",1
80,4,"BU05183284","single-parent","2546BB","income_4_10",1
81,4,"BU05183284","single-parent","2546CX","income_1_10",0
82,5,"BU05183284","couple_with_children","2546XX","income_8_10",0
83,5,"BU05183284","couple_with_children","2545EC","income_8_10",0
84,5,"BU05183284","couple_with_children","2546RT","income_10_10",0
85,5,"BU05183284","couple_with_children","2545CZ","income_7_10",0
86,5,"BU05183284","couple_with_children","2546RR","income_5_10",0
87,5,"BU05183284","couple_with_children","2546SP","income_9_10",0
88,5,"BU05183284","couple_with_children","2545CM","income_5_10",0
89,4,"BU05183284","single-parent","2546RV","income_6_10",0
90,5,"BU05183284","couple_with_children","2546CZ","income_6_10",0
91,5,"BU05183284","couple_with_children","2546TZ","income_4_10",0
92,4,"BU05183284","single-parent","2545EJ","income_3_10",1
93,5,"BU05183284","couple_with_children","2546EG","income_1_10",0
94,5,"BU05183284","couple_with_children","2546TX","income_2_10",0
95,5,"BU05183284","couple_with_children","2545AV","income_1_10",0
96,4,"BU05183284","single-parent","2545EN","income_1_10",0
97,5,"BU05183284","couple_with_children","2546BP","income_3_10",0
98,5,"BU05183284","couple_with_children","2546RS","income_6_10",0
99,5,"BU05183284","couple_with_children","2546BL","income_8_10",0
100,4,"BU05183284","single-parent","2545CM","income_10_10",1
101,5,"BU05183284","couple_with_children","2546SN","income_8_10",0
102,5,"BU05183284","couple_with_children","2546SV","income_9_10",0
103,5,"BU05183284","couple_with_children","2546EH","income_1_10",0
104,5,"BU05183284","couple_with_children","2546EH","income_7_10",0
105,4,"BU05183284","single-parent","2546SL","income_2_10",0
106,4,"BU05183284","single-parent","2546VB","income_7_10",0
107,5,"BU05183284","couple_with_children","2546SZ","income_6_10",0
108,5,"BU05183284","couple_with_children","2546VK","income_9_10",0
109,5,"BU05183284","couple_with_children","2546AA","income_6_10",0
110,5,"BU05183284","couple_with_children","2546BR","income_10_10",0
111,4,"BU05183284","single-parent","2546BE","income_1_10",1
112,5,"BU05183284","couple_with_children","2546AS","income_8_10",0
113,5,"BU05183284","couple_with_children","2546RM","income_9_10",0
114,5,"BU05183284","couple_with_children","2546XE","income_10_10",0
115,5,"BU05183284","couple_with_children","2546VH","income_6_10",0
116,5,"BU05183284","couple_with_children","2546SJ","income_4_10",0
117,5,"BU05183284","couple_with_children","2546BD","income_2_10",0
118,5,"BU05183284","couple_with_children","2545CN","income_9_10",0
119,5,"BU05183284","couple_with_children","2546VM","income_5_10",0
120,5,"BU05183284","couple_with_children","2546SZ","income_10_10",0
121,5,"BU05183284","couple_with_children","2546EL","income_9_10",0
122,5,"BU05183284","couple_with_children","2546BS","income_1_10",0
123,5,"BU05183284","couple_with_children","2546RK","income_5_10",0
124,4,"BU05183284","single-parent","2546CL","income_7_10",0
125,5,"BU05183284","couple_with_children","2546RH","income_6_10",0
126,5,"BU05183284","couple_with_children","2546CK","income_3_10",0
127,5,"BU05183284","couple_with_children","2546XW","income_4_10",0
128,4,"BU05183284","single-parent","2546TV","income_2_10",0
129,4,"BU05183284","single-parent","2546TJ","income_2_10",1
130,5,"BU05183284","couple_with_children","2546CZ","income_7_10",0
131,5,"BU05183284","couple_with_children","2546AD","income_6_10",0
132,5,"BU05183284","couple_with_children","2545AB","income_5_10",0
133,5,"BU05183284","couple_with_children","2546VK","income_6_10",0
134,4,"BU05183284","single-parent","2546XC","income_2_10",0
135,5,"BU05183284","couple_with_children","2545CZ","income_2_10",0
136,5,"BU05183284","couple_with_children","2545CZ","income_1_10",0
137,4,"BU05183284","single-parent","2545EV","income_1_10",0
138,5,"BU05183284","couple_with_children","2546SV","income_10_10",0
139,5,"BU05183284","couple_with_children","2546VX","income_8_10",0
140,4,"BU05183284","single-parent","2546CT","income_1_10",1
141,5,"BU05183284","couple_with_children","2546RJ","income_5_10",0
142,5,"BU05183284","couple_with_children","2546SZ","income_3_10",0
143,4,"BU05183284","single-parent","2546EA","income_9_10",0
144,5,"BU05183284","couple_with_children","2546AN","income_8_10",0
145,5,"BU05183284","couple_with_children","2546VD","income_6_10",0
146,5,"BU05183284","couple_with_children","2545CD","income_4_10",0
147,4,"BU05183284","single-parent","2546EG","income_2_10",1
148,5,"BU05183284","couple_with_children","2546VB","income_7_10",0
149,5,"BU05183284","couple_with_children","2546ES","income_8_10",0
150,5,"BU05183284","couple_with_children","2546AW","income_1_10",0
151,5,"BU05183284","couple_with_children","2546CW","income_8_10",0
152,5,"BU05183284","couple_with_children","2546CK","income_2_10",0
153,4,"BU05183284","single-parent","2545CZ","income_4_10",0
154,4,"BU05183284","single-parent","2546XJ","income_3_10",0
155,5,"BU05183284","couple_with_children","2546VR","income_9_10",0
156,4,"BU05183284","single-parent","2545ED","income_10_10",0
157,5,"BU05183284","couple_with_children","2546SW","income_1_10",0
158,5,"BU05183284","couple_with_children","2546BJ","income_5_10",0
159,5,"BU05183284","couple_with_children","2545CG","income_1_10",0
160,4,"BU05183284","single-parent","2546RK","income_2_10",1
161,5,"BU05183284","couple_with_children","2546TM","income_3_10",0
162,5,"BU05183284","couple_with_children","2546BN","income_7_10",0
163,5,"BU05183284","couple_with_children","2546SX","income_1_10",0
164,5,"BU05183284","couple_with_children","2546RH","income_7_10",0
165,5,"BU05183284","couple_with_children","2545ER","income_10_10",0
166,5,"BU05183284","couple_with_children","2546AE","income_1_10",0
167,4,"BU05183284","single-parent","2546TT","income_4_10",0
168,4,"BU05183284","single-parent","2546VE","income_2_10",0
169,5,"BU05183284","couple_with_children","2546VA","income_6_10",0
170,5,"BU05183284","couple_with_children","2545CT","income_7_10",0
171,5,"BU05183284","couple_with_children","2545EW","income_9_10",0
172,4,"BU05183284","single-parent","2546AN","income_4_10",1
173,4,"BU05183284","single-parent","2546VS","income_4_10",1
174,5,"BU05183284","couple_with_children","2546CT","income_4_10",0
175,5,"BU05183284","couple_with_children","2546AV","income_10_10",0
176,4,"BU05183284","single-parent","2545CS","income_2_10",1
177,4,"BU05183284","single-parent","2546SZ","income_4_10",1
178,5,"BU05183284","couple_with_children","2546VD","income_8_10",0
179,4,"BU05183284","single-parent","2545EV","income_1_10",0
180,5,"BU05183284","couple_with_children","2545EV","income_5_10",0
181,5,"BU05183284","couple_with_children","2546BC","income_6_10",0
182,5,"BU05183284","couple_with_children","2546RM","income_1_10",0
183,5,"BU05183284","couple_with_children","2546BD","income_8_10",0
184,5,"BU05183284","couple_with_children","2546SN","income_10_10",0
185,5,"BU05183284","couple_with_children","2546CT","income_8_10",0
186,4,"BU05183284","single-parent","2546XG","income_5_10",1
187,5,"BU05183284","couple_with_children","2546AA","income_8_10",0
188,4,"BU05183284","single-parent","2546AG","income_7_10",0
189,4,"BU05183284","single-parent","2545CZ","income_4_10",1
190,4,"BU05183284","single-parent","2546XN","income_1_10",0
191,5,"BU05183284","couple_with_children","2546CS","income_8_10",0
192,4,"BU05183284","single-parent","2546TT","income_2_10",0
193,5,"BU05183284","couple_with_children","2546RW","income_1_10",0
194,5,"BU05183284","couple_with_children","2546CR","income_1_10",0
195,4,"BU05183284","single-parent","2546AC","income_5_10",0
196,5,"BU05183284","couple_with_children","2546ST","income_7_10",0
197,5,"BU05183284","couple_with_children","2545CZ","income_9_10",0
198,5,"BU05183284","couple_with_children","2545AV","income_8_10",0
199,5,"BU05183284","couple_with_children","2546CR","income_8_10",0
200,5,"BU05183284","couple_with_children","2546EP","income_4_10",0
201,5,"BU05183284","couple_with_children","2546AG","income_8_10",0
202,5,"BU05183284","couple_with_children","2546TV","income_1_10",0
203,4,"BU05183284","single-parent","2546TK","income_3_10",1
204,5,"BU05183284","couple_with_children","2546VE","income_2_10",0
205,5,"BU05183284","couple_with_children","2546TZ","income_8_10",0
206,5,"BU05183284","couple_with_children","2546XC","income_10_10",0
207,4,"BU05183284","single-parent","2546VR","income_2_10",0
208,5,"BU05183284","couple_with_children","2545CP","income_7_10",0
209,5,"BU05183284","couple_with_children","2546XS","income_6_10",0
210,4,"BU05183284","single-parent","2546VE","income_9_10",1
211,4,"BU05183284","single-parent","2546BN","income_7_10",0
212,5,"BU05183284","couple_with_children","2546XJ","income_4_10",0
213,5,"BU05183284","couple_with_children","2546EE","income_9_10",0
214,4,"BU05183284","single-parent","2546TX","income_4_10",0
215,5,"BU05183284","couple_with_children","2546VD","income_4_10",0
216,5,"BU05183284","couple_with_children","2546TE","income_1_10",0
217,5,"BU05183284","couple_with_children","2545AV","income_2_10",0
218,5,"BU05183284","couple_with_children","2546EC","income_7_10",0
219,5,"BU05183284","couple_with_children","2546SM","income_1_10",0
220,5,"BU05183284","couple_with_children","2546AJ","income_10_10",0
221,4,"BU05183284","single-parent","2546BR","income_7_10",0
222,5,"BU05183284","couple_with_children","2545AV","income_1_10",0
223,4,"BU05183284","single-parent","2546BP","income_1_10",1
224,5,"BU05183284","couple_with_children","2546VM","income_4_10",0
225,5,"BU05183284","couple_with_children","2546TR","income_10_10",0
226,5,"BU05183284","couple_with_children","2546AH","income_6_10",0
227,4,"BU05183284","single-parent","2546CK","income_2_10",0
228,5,"BU05183284","couple_with_children","2546TR","income_8_10",0
229,5,"BU05183284","couple_with_children","2546BS","income_1_10",0
230,5,"BU05183284","couple_with_children","2546VM","income_10_10",0
231,4,"BU05183284","single-parent","2546CL","income_7_10",1
232,4,"BU05183284","single-parent","2545ES","income_5_10",1
233,5,"BU05183284","couple_with_children","2546AV","income_7_10",0
234,4,"BU05183284","single-parent","2545CZ","income_6_10",1
235,5,"BU05183284","couple_with_children","2545EG","income_10_10",0
236,5,"BU05183284","couple_with_children","2546CZ","income_5_10",0
237,4,"BU05183284","single-parent","2546VB","income_1_10",0
238,4,"BU05183284","single-parent","2546AJ","income_5_10",0
239,5,"BU05183284","couple_with_children","2546TW","income_3_10",0
240,5,"BU05183284","couple_with_children","2546CK","income_9_10",0
241,5,"BU05183284","couple_with_children","2545EE","income_10_10",0
242,5,"BU05183284","couple_with_children","2546TM","income_10_10",0
243,4,"BU05183284","single-parent","2546VL","income_4_10",0
244,4,"BU05183284","single-parent","2546TM","income_2_10",0
245,5,"BU05183284","couple_with_children","2546EC","income_4_10",0
246,4,"BU05183284","single-parent","2546XW","income_4_10",0
247,5,"BU05183284","couple_with_children","2545EV","income_8_10",0
248,5,"BU05183284","couple_with_children","2546EN","income_1_10",0
249,5,"BU05183284","couple_with_children","2546SZ","income_10_10",0
250,5,"BU05183284","couple_with_children","2545ES","income_10_10",0
251,4,"BU05183284","single-parent","2546RN","income_1_10",1
252,4,"BU05183284","single-parent","2546RK","income_5_10",1
253,4,"BU05183284","single-parent","2546VX","income_10_10",1
254,5,"BU05183284","couple_with_children","2546VW","income_10_10",0
255,5,"BU05183284","couple_with_children","2545CR","income_10_10",0
256,5,"BU05183284","couple_with_children","2546TN","income_2_10",0
257,5,"BU05183284","couple_with_children","2546BJ","income_9_10",0
258,5,"BU05183284","couple_with_children","2545EC","income_5_10",0
259,4,"BU05183284","single-parent","2546VS","income_3_10",1
260,4,"BU05183284","single-parent","2546TN","income_1_10",0
261,5,"BU05183284","couple_with_children","2546BB","income_1_10",0
262,5,"BU05183284","couple_with_children","2546RR","income_6_10",0
263,4,"BU05183284","single-parent","2546TR","income_2_10",0
264,5,"BU05183284","couple_with_children","2546BS","income_1_10",0
265,5,"BU05183284","couple_with_children","2546SX","income_8_10",0
266,4,"BU05183284","single-parent","2546XE","income_2_10",1
267,5,"BU05183284","couple_with_children","2546BH","income_4_10",0
268,5,"BU05183284","couple_with_children","2546XW","income_4_10",0
269,4,"BU05183284","single-parent","2546SZ","income_2_10",0
270,5,"BU05183284","couple_with_children","2545CG","income_1_10",0
271,4,"BU05183284","single-parent","2546SZ","income_3_10",1
272,5,"BU05183284","couple_with_children","2545CZ","income_2_10",0
273,5,"BU05183284","couple_with_children","2545EV","income_7_10",0
274,5,"BU05183284","couple_with_children","2545CG","income_1_10",0
275,5,"BU05183284","couple_with_children","2546XW","income_7_10",0
276,5,"BU05183284","couple_with_children","2546AB","income_9_10",0
277,4,"BU05183284","single-parent","2546BA","income_3_10",1
278,4,"BU05183284","single-parent","2546EM","income_7_10",1
279,5,"BU05183284","couple_with_children","2546SN","income_1_10",0
280,5,"BU05183284","couple_with_children","2545EJ","income_9_10",0
281,5,"BU05183284","couple_with_children","2546TZ","income_5_10",0
282,4,"BU05183284","single-parent","2546SW","income_6_10",1
283,4,"BU05183284","single-parent","2546CT","income_1_10",1
284,5,"BU05183284","couple_with_children","2546RK","income_7_10",0
285,5,"BU05183284","couple_with_children","2546AW","income_10_10",0
286,5,"BU05183284","couple_with_children","2546XG","income_2_10",0
287,5,"BU05183284","couple_with_children","2546TR","income_8_10",0
288,4,"BU05183284","single-parent","2545EG","income_8_10",0
289,4,"BU05183284","single-parent","2546RK","income_4_10",1
290,5,"BU05183284","couple_with_children","2546VS","income_6_10",0
291,5,"BU05183284","couple_with_children","2546AG","income_5_10",0
292,5,"BU05183284","couple_with_children","2546TX","income_9_10",0
293,5,"BU05183284","couple_with_children","2546SX","income_2_10",0
294,5,"BU05183284","couple_with_children","2541XG","income_5_10",0
295,4,"BU05183284","single-parent","2546VW","income_6_10",0
296,5,"BU05183284","couple_with_children","2546SN","income_4_10",0
297,5,"BU05183284","couple_with_children","2546SR","income_1_10",0
298,5,"BU05183284","couple_with_children","2545CT","income_5_10",0
299,4,"BU05183284","single-parent","2545ER","income_2_10",1
300,4,"BU05183284","single-parent","2545EW","income_1_10",1
301,4,"BU05183284","single-parent","2545CZ","income_2_10",0
302,4,"BU05183284","single-parent","2546SL","income_6_10",1
303,5,"BU05183284","couple_with_children","2546BA","income_2_10",0
304,5,"BU05183284","couple_with_children","2545EP","income_10_10",0
305,5,"BU05183284","couple_with_children","2546BC","income_6_10",0
306,5,"BU05183284","couple_with_children","2546AS","income_9_10",0
307,5,"BU05183284","couple_with_children","2546EE","income_5_10",0
308,5,"BU05183284","couple_with_children","2546XG","income_4_10",0
309,4,"BU05183284","single-parent","2546XR","income_7_10",1
310,5,"BU05183284","couple_with_children","2545ER","income_6_10",0
311,4,"BU05183284","single-parent","2546AV","income_1_10",1
312,5,"BU05183284","couple_with_children","2545CV","income_4_10",0
313,5,"BU05183284","couple_with_children","2546XN","income_6_10",0
314,4,"BU05183284","single-parent","2546RP","income_1_10",1
315,4,"BU05183284","single-parent","2545AA","income_5_10",0
316,5,"BU05183284","couple_with_children","2545CZ","income_9_10",0
317,5,"BU05183284","couple_with_children","2545CP","income_3_10",0
318,5,"BU05183284","couple_with_children","2546AT","income_10_10",0
319,4,"BU05183284","single-parent","2546VV","income_1_10",1
320,4,"BU05183284","single-parent","2546RG","income_2_10",1
321,4,"BU05183284","single-parent","2546VX","income_8_10",1
322,5,"BU05183284","couple_with_children","2546BG","income_3_10",0
323,5,"BU05183284","couple_with_children","2546SG","income_6_10",0
324,5,"BU05183284","couple_with_children","2546AT","income_10_10",0
325,5,"BU05183284","couple_with_children","2546BD","income_5_10",0
326,4,"BU05183284","single-parent","2546XJ","income_4_10",1
327,5,"BU05183284","couple_with_children","2546CV","income_8_10",0
328,4,"BU05183284","single-parent","2546SE","income_6_10",0
329,4,"BU05183284","single-parent","2546CV","income_4_10",1
330,4,"BU05183284","single-parent","2546TX","income_1_10",1
331,4,"BU05183284","single-parent","2545CX","income_5_10",1
332,5,"BU05183284","couple_with_children","2546AC","income_7_10",0
333,4,"BU05183284","single-parent","2546RH","income_2_10",1
334,4,"BU05183284","single-parent","2546EA","income_1_10",0
335,5,"BU05183284","couple_with_children","2546BM","income_5_10",0
336,5,"BU05183284","couple_with_children","2546SM","income_1_10",0
337,5,"BU05183284","couple_with_children","2546RK","income_6_10",0
338,5,"BU05183284","couple_with_children","2545CZ","income_8_10",0
339,5,"BU05183284","couple_with_children","2545CZ","income_9_10",0
340,4,"BU05183284","single-parent","2546RV","income_3_10",1
341,5,"BU05183284","couple_with_children","2545EH","income_9_10",0
342,4,"BU05183284","single-parent","2545EK","income_2_10",1
343,5,"BU05183284","couple_with_children","2546AN","income_4_10",0
344,5,"BU05183284","couple_with_children","2546CK","income_10_10",0
345,5,"BU05183284","couple_with_children","2545CG","income_9_10",0
346,4,"BU05183284","single-parent","2546BP","income_2_10",0
347,4,"BU05183284","single-parent","2546CN","income_7_10",1
348,5,"BU05183284","couple_with_children","2545ER","income_1_10",0
349,5,"BU05183284","couple_with_children","2546TE","income_1_10",0
350,5,"BU05183284","couple_with_children","2545CZ","income_7_10",0
351,3,"BU05183284","single-parent","2546SM","income_2_10",0
352,4,"BU05183284","couple_with_children","2545CZ","income_1_10",0
353,4,"BU05183284","couple_with_children","2545ED","income_1_10",0
354,4,"BU05183284","couple_with_children","2546VB","income_10_10",0
355,4,"BU05183284","couple_with_children","2546EK","income_9_10",0
356,4,"BU05183284","couple_with_children","2546TZ","income_6_10",0
357,4,"BU05183284","couple_with_children","2545EN","income_10_10",0
358,4,"BU05183284","couple_with_children","2546SW","income_2_10",0
359,3,"BU05183284","single-parent","2546RT","income_10_10",0
360,3,"BU05183284","single-parent","2546AG","income_2_10",0
361,4,"BU05183284","couple_with_children","2546EL","income_7_10",0
362,3,"BU05183284","single-parent","2546TG","income_1_10",1
363,4,"BU05183284","couple_with_children","2546VS","income_4_10",0
364,3,"BU05183284","single-parent","2546CW","income_6_10",0
365,4,"BU05183284","couple_with_children","2545EG","income_7_10",0
366,3,"BU05183284","single-parent","2546VV","income_5_10",1
367,3,"BU05183284","single-parent","2546VJ","income_5_10",1
368,4,"BU05183284","couple_with_children","2546BR","income_10_10",0
369,3,"BU05183284","single-parent","2546XX","income_2_10",1
370,4,"BU05183284","couple_with_children","2545ET","income_8_10",0
371,4,"BU05183284","couple_with_children","2546XC","income_8_10",0
372,4,"BU05183284","couple_with_children","2546RT","income_6_10",0
373,4,"BU05183284","couple_with_children","2546SM","income_10_10",0
374,3,"BU05183284","single-parent","2546CK","income_2_10",1
375,4,"BU05183284","couple_with_children","2546AD","income_1_10",0
376,3,"BU05183284","single-parent","2546BC","income_7_10",1
377,4,"BU05183284","couple_with_children","2546SN","income_8_10",0
378,3,"BU05183284","single-parent","2546SM","income_1_10",1
379,3,"BU05183284","single-parent","2546RV","income_4_10",0
380,4,"BU05183284","couple_with_children","2545CX","income_4_10",0
381,3,"BU05183284","single-parent","2546VV","income_3_10",0
382,4,"BU05183284","couple_with_children","2546CX","income_3_10",0
383,4,"BU05183284","couple_with_children","2546CK","income_9_10",0
384,3,"BU05183284","single-parent","2546XP","income_3_10",1
385,4,"BU05183284","couple_with_children","2546SW","income_9_10",0
386,3,"BU05183284","single-parent","2546VX","income_5_10",1
387,4,"BU05183284","couple_with_children","2546RP","income_5_10",0
388,3,"BU05183284","single-parent","2546BA","income_7_10",1
389,4,"BU05183284","couple_with_children","2546TR","income_1_10",0
390,3,"BU05183284","single-parent","2545CM","income_6_10",0
391,4,"BU05183284","couple_with_children","2546XM","income_10_10",0
392,3,"BU05183284","single-parent","2546RR","income_10_10",1
393,4,"BU05183284","couple_with_children","2545CP","income_9_10",0
394,3,"BU05183284","single-parent","2546EK","income_1_10",0
395,4,"BU05183284","couple_with_children","2546RX","income_8_10",0
396,4,"BU05183284","couple_with_children","2546TM","income_10_10",0
397,3,"BU05183284","single-parent","2546BP","income_5_10",1
398,4,"BU05183284","couple_with_children","2545AV","income_2_10",0
399,4,"BU05183284","couple_with_children","2546XR","income_7_10",0
400,4,"BU05183284","couple_with_children","2546BP","income_1_10",0
401,3,"BU05183284","single-parent","2546TW","income_2_10",0
402,4,"BU05183284","couple_with_children","2546EM","income_3_10",0
403,4,"BU05183284","couple_with_children","2546TH","income_9_10",0
404,4,"BU05183284","couple_with_children","2546XM","income_5_10",0
405,4,"BU05183284","couple_with_children","2546XJ","income_6_10",0
406,4,"BU05183284","couple_with_children","2546CW","income_10_10",0
407,3,"BU05183284","single-parent","2546CK","income_5_10",1
408,3,"BU05183284","single-parent","2546RM","income_1_10",0
409,3,"BU05183284","single-parent","2546AC","income_1_10",1
410,4,"BU05183284","couple_with_children","2546AL","income_3_10",0
411,4,"BU05183284","couple_with_children","2546RK","income_1_10",0
412,3,"BU05183284","single-parent","2546ED","income_9_10",0
413,4,"BU05183284","couple_with_children","2546AP","income_5_10",0
414,4,"BU05183284","couple_with_children","2545CZ","income_9_10",0
415,3,"BU05183284","single-parent","2546TR","income_1_10",1
416,4,"BU05183284","couple_with_children","2546AP","income_9_10",0
417,4,"BU05183284","couple_with_children","2545CT","income_10_10",0
418,3,"BU05183284","single-parent","2546BP","income_1_10",1
419,4,"BU05183284","couple_with_children","2545EP","income_1_10",0
420,3,"BU05183284","single-parent","2545CZ","income_2_10",0
421,4,"BU05183284","couple_with_children","2545CZ","income_10_10",0
422,4,"BU05183284","couple_with_children","2546AS","income_7_10",0
423,3,"BU05183284","single-parent","2546VP","income_3_10",1
424,3,"BU05183284","single-parent","2546AC","income_2_10",1
425,4,"BU05183284","couple_with_children","2546RV","income_7_10",0
426,4,"BU05183284","couple_with_children","2546CX","income_9_10",0
427,4,"BU05183284","couple_with_children","2546EB","income_3_10",0
428,4,"BU05183284","couple_with_children","2546EB","income_6_10",0
429,4,"BU05183284","couple_with_children","2546XT","income_9_10",0
430,4,"BU05183284","couple_with_children","2546TH","income_10_10",0
431,4,"BU05183284","couple_with_children","2546ES","income_9_10",0
432,4,"BU05183284","couple_with_children","2546TR","income_7_10",0
433,4,"BU05183284","couple_with_children","2546AA","income_7_10",0
434,3,"BU05183284","single-parent","2545EE","income_8_10",1
435,4,"BU05183284","couple_with_children","2546CK","income_5_10",0
436,4,"BU05183284","couple_with_children","2546VH","income_7_10",0
437,3,"BU05183284","single-parent","2545CZ","income_2_10",0
438,4,"BU05183284","couple_with_children","2545EK","income_5_10",0
439,3,"BU05183284","single-parent","2546VC","income_3_10",0
440,4,"BU05183284","couple_with_children","2546VC","income_10_10",0
441,4,"BU05183284","couple_with_children","2546CS","income_1_10",0
442,3,"BU05183284","single-parent","2546BL","income_5_10",1
443,4,"BU05183284","couple_with_children","2546VK","income_8_10",0
444,4,"BU05183284","couple_with_children","2546XJ","income_4_10",0
445,4,"BU05183284","couple_with_children","2546XX","income_4_10",0
446,3,"BU05183284","single-parent","2545EB","income_4_10",1
447,3,"BU05183284","single-parent","2545EJ","income_7_10",1
448,4,"BU05183284","couple_with_children","2546SR","income_8_10",0
449,4,"BU05183284","couple_with_children","2546VZ","income_3_10",0
450,4,"BU05183284","couple_with_children","2546BD","income_1_10",0
451,4,"BU05183284","couple_with_children","2541XG","income_5_10",0
452,4,"BU05183284","couple_with_children","2545CX","income_2_10",0
453,4,"BU05183284","couple_with_children","2546ST","income_10_10",0
454,4,"BU05183284","couple_with_children","2545ER","income_8_10",0
455,4,"BU05183284","couple_with_children","2546XC","income_4_10",0
456,4,"BU05183284","couple_with_children","2546TS","income_9_10",0
