"gender","n_people","age_group_education","migration_background","education_level"
"female",173,"27","Dutch","high"
"male",0,"14","Western","high"
"male",76,"20","Non_Western","high"
"female",135,"19","Western","high"
"male",89,"24","Non_Western","high"
"male",0,"15","Western","high"
"male",885,"23","Dutch","high"
"male",0,"13","Non_Western","high"
"female",258,"18","Dutch","high"
"female",97,"28","Dutch","high"
"female",104,"25","Non_Western","high"
"male",58,"19","Western","high"
"male",87,"26","Western","high"
"female",52,"29","Dutch","high"
"male",158,"22","Western","high"
"female",1271,"21","Dutch","high"
"male",819,"22","Dutch","high"
"female",0,"12","Dutch","high"
"male",0,"15","Non_Western","high"
"male",0,"15","Dutch","high"
"female",1,"16","Western","high"
"female",0,"14","Dutch","high"
"male",352,"19","Dutch","high"
"female",0,"12","Western","high"
"male",5,"age_40_45","Non_Western","high"
"male",79,"21","Non_Western","high"
"male",55,"19","Non_Western","high"
"female",0,"15","Non_Western","high"
"female",161,"21","Western","high"
"female",1048,"20","Dutch","high"
"female",91,"19","Non_Western","high"
"male",695,"21","Dutch","high"
"female",137,"25","Western","high"
"male",157,"23","Western","high"
"male",138,"28","Dutch","high"
"female",0,"13","Dutch","high"
"female",21,"age_35_40","Dutch","high"
"female",60,"27","Western","high"
"female",55,"18","Western","high"
"male",83,"22","Non_Western","high"
"male",4,"age_over_50","Western","high"
"male",0,"12","Dutch","high"
"male",4,"age_over_50","Non_Western","high"
"female",0,"14","Western","high"
"male",827,"24","Dutch","high"
"female",1376,"23","Dutch","high"
"male",32,"29","Western","high"
"female",136,"22","Non_Western","high"
"female",52,"18","Non_Western","high"
"male",99,"23","Non_Western","high"
"male",101,"20","Western","high"
"male",0,"14","Non_Western","high"
"male",558,"20","Dutch","high"
"female",0,"16","Non_Western","high"
"female",696,"25","Dutch","high"
"female",192,"22","Western","high"
"male",96,"21","Western","high"
"male",0,"17","Non_Western","high"
"male",0,"13","Western","high"
"female",7,"age_40_45","Non_Western","high"
"male",0,"14","Dutch","high"
"male",74,"29","Dutch","high"
"female",0,"13","Western","high"
"female",0,"12","Non_Western","high"
"female",5,"age_over_50","Non_Western","high"
"female",125,"20","Non_Western","high"
"female",0,"15","Western","high"
"female",0,"15","Dutch","high"
"female",0,"16","Dutch","high"
"female",623,"19","Dutch","high"
"female",48,"age_30_35","Non_Western","high"
"male",0,"16","Non_Western","high"
"male",116,"25","Western","high"
"female",236,"23","Western","high"
"male",143,"18","Dutch","high"
"female",153,"21","Non_Western","high"
"male",1,"age_30_35","Non_Western","high"
"female",33,"29","Non_Western","high"
"female",320,"26","Dutch","high"
"female",3,"age_30_35","Western","high"
"male",5,"age_40_45","Western","high"
"female",35,"28","Western","high"
"female",2,"17","Non_Western","high"
"male",2,"17","Western","high"
"female",1391,"22","Dutch","high"
"male",1,"16","Dutch","high"
"male",0,"13","Dutch","high"
"male",83,"26","Non_Western","high"
"female",4,"age_40_45","Western","high"
"female",56,"27","Non_Western","high"
"female",15,"age_35_40","Non_Western","high"
"female",6,"age_over_50","Western","high"
"male",3,"age_30_35","Western","high"
"female",92,"26","Western","high"
"male",30,"age_over_50","Dutch","high"
"male",63,"27","Western","high"
"male",0,"12","Western","high"
"female",1184,"24","Dutch","high"
"female",21,"29","Western","high"
"male",0,"16","Western","high"
"male",126,"age_30_35","Dutch","high"
"female",0,"13","Non_Western","high"
"male",9,"age_35_40","Non_Western","high"
"female",104,"23","Non_Western","high"
"female",11,"age_35_40","Western","high"
"female",2,"17","Western","high"
"male",27,"18","Western","high"
"female",12,"age_40_45","Dutch","high"
"female",184,"20","Western","high"
"male",405,"26","Dutch","high"
"male",6,"17","Dutch","high"
"male",23,"29","Non_Western","high"
"male",21,"28","Non_Western","high"
"female",46,"age_30_35","Western","high"
"male",41,"age_30_35","Western","high"
"male",42,"28","Western","high"
"male",0,"12","Non_Western","high"
"female",4,"17","Dutch","high"
"male",11,"age_30_35","Dutch","high"
"male",29,"18","Non_Western","high"
"female",12,"age_30_35","Dutch","high"
"male",36,"27","Non_Western","high"
"female",21,"age_over_50","Dutch","high"
"male",608,"25","Dutch","high"
"female",65,"26","Non_Western","high"
"male",56,"age_30_35","Non_Western","high"
"female",36,"28","Non_Western","high"
"male",203,"27","Dutch","high"
"female",0,"14","Non_Western","high"
"female",80,"age_30_35","Dutch","high"
"male",9,"age_40_45","Dutch","high"
"female",211,"24","Western","high"
"male",36,"age_35_40","Dutch","high"
"male",18,"age_35_40","Western","high"
"female",4,"age_30_35","Non_Western","high"
"male",0,"27","Western","middle"
"female",0,"24","Western","middle"
"female",1,"24","Dutch","middle"
"female",0,"age_30_35","Western","middle"
"female",0,"25","Western","middle"
"female",0,"age_40_45","Dutch","middle"
"female",18,"19","Dutch","middle"
"male",0,"age_40_45","Non_Western","middle"
"female",2,"16","Dutch","middle"
"female",0,"age_40_45","Western","middle"
"female",0,"age_35_40","Dutch","middle"
"male",1,"25","Non_Western","middle"
"female",0,"age_30_35","Dutch","middle"
"male",2,"22","Dutch","middle"
"female",0,"14","Dutch","middle"
"female",0,"25","Dutch","middle"
"male",0,"12","Non_Western","middle"
"male",18,"18","Non_Western","middle"
"female",3,"21","Dutch","middle"
"male",0,"age_40_45","Dutch","middle"
"male",1,"27","Dutch","middle"
"male",0,"age_40_45","Western","middle"
"female",0,"28","Western","middle"
"female",11,"19","Non_Western","middle"
"female",0,"14","Non_Western","middle"
"male",0,"24","Non_Western","middle"
"male",0,"12","Western","middle"
"male",0,"24","Western","middle"
"male",0,"13","Dutch","middle"
"male",5,"18","Western","middle"
"male",0,"13","Western","middle"
"male",0,"23","Western","middle"
"female",0,"age_30_35","Western","middle"
"female",1,"24","Non_Western","middle"
"male",0,"28","Non_Western","middle"
"female",0,"23","Western","middle"
"male",0,"28","Western","middle"
"female",0,"age_30_35","Dutch","middle"
"male",0,"15","Western","middle"
"female",0,"12","Western","middle"
"male",0,"27","Non_Western","middle"
"male",0,"age_30_35","Dutch","middle"
"female",1,"19","Western","middle"
"male",0,"age_over_50","Dutch","middle"
"female",1,"age_35_40","Western","middle"
"male",1,"21","Non_Western","middle"
"male",1,"16","Dutch","middle"
"female",0,"15","Dutch","middle"
"male",9,"18","Dutch","middle"
"male",0,"age_30_35","Non_Western","middle"
"male",0,"25","Western","middle"
"female",1,"28","Non_Western","middle"
"female",0,"28","Dutch","middle"
"female",0,"age_35_40","Non_Western","middle"
"female",1,"age_30_35","Non_Western","middle"
"female",16,"17","Non_Western","middle"
"female",0,"23","Non_Western","middle"
"male",0,"13","Non_Western","middle"
"female",7,"20","Non_Western","middle"
"female",0,"14","Western","middle"
"female",2,"20","Western","middle"
"female",2,"23","Dutch","middle"
"female",0,"12","Dutch","middle"
"male",0,"age_30_35","Dutch","middle"
"female",1,"22","Non_Western","middle"
"female",0,"age_30_35","Non_Western","middle"
"female",0,"age_40_45","Non_Western","middle"
"female",1,"27","Non_Western","middle"
"female",2,"21","Non_Western","middle"
"female",29,"18","Non_Western","middle"
"male",0,"15","Non_Western","middle"
"female",0,"21","Western","middle"
"male",6,"20","Non_Western","middle"
"male",0,"age_35_40","Western","middle"
"female",11,"20","Dutch","middle"
"male",0,"15","Dutch","middle"
"male",0,"23","Non_Western","middle"
"female",0,"22","Western","middle"
"male",0,"age_30_35","Western","middle"
"female",0,"age_over_50","Non_Western","middle"
"male",0,"age_over_50","Western","middle"
"male",0,"age_over_50","Non_Western","middle"
"male",0,"22","Non_Western","middle"
"male",0,"age_35_40","Non_Western","middle"
"male",1,"24","Dutch","middle"
"male",0,"12","Dutch","middle"
"female",0,"13","Dutch","middle"
"male",0,"age_30_35","Western","middle"
"female",0,"15","Non_Western","middle"
"female",0,"26","Non_Western","middle"
"male",0,"25","Dutch","middle"
"male",0,"age_30_35","Non_Western","middle"
"male",0,"23","Dutch","middle"
"female",1,"26","Dutch","middle"
"female",0,"29","Non_Western","middle"
"female",1,"17","Western","middle"
"female",0,"12","Non_Western","middle"
"male",1,"16","Western","middle"
"female",7,"17","Dutch","middle"
"male",0,"19","Western","middle"
"female",3,"18","Western","middle"
"female",3,"16","Non_Western","middle"
"female",0,"27","Western","middle"
"male",3,"16","Non_Western","middle"
"male",0,"26","Dutch","middle"
"female",0,"29","Western","middle"
"male",24,"19","Non_Western","middle"
"male",0,"28","Dutch","middle"
"male",6,"17","Non_Western","middle"
"male",5,"17","Dutch","middle"
"female",31,"18","Dutch","middle"
"female",0,"13","Non_Western","middle"
"male",0,"22","Western","middle"
"female",0,"16","Western","middle"
"female",1,"25","Non_Western","middle"
"male",1,"17","Western","middle"
"female",1,"22","Dutch","middle"
"male",2,"20","Western","middle"
"male",1,"29","Dutch","middle"
"male",1,"21","Western","middle"
"female",0,"26","Western","middle"
"male",0,"26","Non_Western","middle"
"male",7,"20","Dutch","middle"
"male",0,"14","Non_Western","middle"
"male",18,"19","Dutch","middle"
"female",0,"29","Dutch","middle"
"female",0,"13","Western","middle"
"male",0,"14","Western","middle"
"female",1,"age_over_50","Western","middle"
"female",0,"15","Western","middle"
"male",0,"age_35_40","Dutch","middle"
"male",0,"29","Non_Western","middle"
"female",0,"27","Dutch","middle"
"male",0,"26","Western","middle"
"male",0,"14","Dutch","middle"
"male",0,"21","Dutch","middle"
"female",0,"age_over_50","Dutch","middle"
"male",1,"29","Western","middle"
"female",0,"26","Western","low"
"female",0,"age_over_50","Non_Western","low"
"female",0,"26","Dutch","low"
"female",1,"age_30_35","Non_Western","low"
"male",15,"20","Non_Western","low"
"male",0,"29","Dutch","low"
"female",0,"age_over_50","Dutch","low"
"female",0,"age_over_50","Western","low"
"female",2,"26","Non_Western","low"
"female",0,"age_30_35","Dutch","low"
"female",0,"20","Dutch","low"
"male",5,"29","Non_Western","low"
"female",2,"17","Dutch","low"
"male",11,"age_30_35","Non_Western","low"
"female",9,"17","Non_Western","low"
"male",0,"20","Western","low"
"female",0,"28","Dutch","low"
"male",0,"27","Dutch","low"
"male",13,"21","Non_Western","low"
"male",0,"26","Western","low"
"female",3,"20","Non_Western","low"
"female",0,"21","Western","low"
"female",3,"24","Non_Western","low"
"female",0,"age_30_35","Western","low"
"male",0,"age_35_40","Dutch","low"
"male",0,"29","Western","low"
"female",0,"20","Western","low"
"male",0,"age_30_35","Western","low"
"female",0,"24","Western","low"
"female",0,"15","Non_Western","low"
"male",5,"25","Non_Western","low"
"male",0,"25","Western","low"
"male",0,"27","Western","low"
"male",0,"16","Western","low"
"female",1,"24","Dutch","low"
"female",0,"28","Western","low"
"female",0,"17","Western","low"
"female",0,"age_40_45","Dutch","low"
"male",1,"26","Non_Western","low"
"male",32,"17","Non_Western","low"
"male",0,"age_35_40","Non_Western","low"
"male",0,"26","Dutch","low"
"male",2,"20","Dutch","low"
"male",0,"age_over_50","Dutch","low"
"male",0,"12","Western","low"
"male",5,"16","Non_Western","low"
"male",1,"25","Dutch","low"
"male",4,"16","Dutch","low"
"female",5,"28","Non_Western","low"
"female",3,"25","Non_Western","low"
"female",1,"27","Non_Western","low"
"female",0,"age_35_40","Non_Western","low"
"female",1,"29","Non_Western","low"
"male",1,"age_30_35","Dutch","low"
"female",0,"23","Dutch","low"
"male",0,"21","Western","low"
"female",0,"13","Western","low"
"male",0,"13","Non_Western","low"
"male",0,"13","Western","low"
"male",0,"age_40_45","Dutch","low"
"male",0,"13","Dutch","low"
"female",0,"age_35_40","Dutch","low"
"male",2,"age_30_35","Non_Western","low"
"female",0,"age_40_45","Western","low"
"female",4,"age_30_35","Non_Western","low"
"female",0,"15","Western","low"
"female",0,"22","Western","low"
"male",0,"age_30_35","Dutch","low"
"male",0,"23","Dutch","low"
"male",0,"15","Dutch","low"
"male",0,"14","Dutch","low"
"female",0,"13","Dutch","low"
"male",0,"12","Dutch","low"
"male",5,"23","Non_Western","low"
"female",0,"age_35_40","Western","low"
"female",6,"19","Non_Western","low"
"female",0,"25","Western","low"
"male",0,"age_35_40","Western","low"
"male",9,"17","Dutch","low"
"male",4,"17","Western","low"
"female",0,"29","Western","low"
"male",0,"28","Dutch","low"
"male",2,"19","Dutch","low"
"male",2,"21","Dutch","low"
"female",0,"15","Dutch","low"
"female",5,"16","Non_Western","low"
"female",11,"18","Non_Western","low"
"female",0,"age_30_35","Western","low"
"female",0,"21","Dutch","low"
"male",0,"23","Western","low"
"male",0,"age_over_50","Western","low"
"female",1,"22","Dutch","low"
"male",4,"22","Non_Western","low"
"male",0,"18","Dutch","low"
"male",1,"22","Dutch","low"
"female",0,"19","Western","low"
"female",0,"age_30_35","Dutch","low"
"male",0,"age_30_35","Western","low"
"female",1,"age_40_45","Non_Western","low"
"male",0,"24","Western","low"
"male",1,"age_over_50","Non_Western","low"
"female",3,"16","Dutch","low"
"male",7,"27","Non_Western","low"
"male",5,"28","Non_Western","low"
"male",0,"14","Western","low"
"female",2,"18","Western","low"
"female",0,"27","Dutch","low"
"male",0,"15","Western","low"
"female",0,"12","Non_Western","low"
"male",0,"12","Non_Western","low"
"male",0,"22","Western","low"
"female",1,"21","Non_Western","low"
"female",0,"27","Western","low"
"male",0,"14","Non_Western","low"
"male",0,"24","Dutch","low"
"male",0,"age_40_45","Western","low"
"female",0,"25","Dutch","low"
"female",0,"23","Non_Western","low"
"female",0,"16","Western","low"
"female",1,"22","Non_Western","low"
"male",1,"19","Western","low"
"male",3,"18","Western","low"
"male",4,"age_40_45","Non_Western","low"
"female",0,"12","Western","low"
"female",0,"14","Non_Western","low"
"female",0,"14","Dutch","low"
"male",5,"24","Non_Western","low"
"male",0,"28","Western","low"
"female",0,"29","Dutch","low"
"female",4,"18","Dutch","low"
"male",20,"19","Non_Western","low"
"female",0,"12","Dutch","low"
"female",0,"13","Non_Western","low"
"female",0,"23","Western","low"
"male",19,"18","Non_Western","low"
"female",2,"19","Dutch","low"
"male",0,"15","Non_Western","low"
"female",0,"14","Western","low"
"male",44,"16","Non_Western","middle"
"female",2,"age_30_35","Dutch","middle"
"female",2,"age_over_50","Western","middle"
"male",2,"20","Western","middle"
"female",47,"17","Dutch","middle"
"female",4,"age_over_50","Non_Western","middle"
"female",3,"26","Dutch","middle"
"male",4,"27","Dutch","middle"
"male",7,"25","Non_Western","middle"
"female",2,"age_30_35","Non_Western","middle"
"female",2,"26","Western","middle"
"female",1,"age_over_50","Dutch","middle"
"female",0,"15","Non_Western","middle"
