"","agent_ID","age_group","neighb_code","age"
"40644","Agent_40644","age_45_65","BU05183398",61
"64725","Agent_64725","age_25_45","BU05183620",36
"49115","Agent_49115","age_45_65","BU05183480",51
"24597","Agent_24597","age_0_15","BU05183396",2
"137","Agent_137","age_0_15","BU05183284",2
"26464","Agent_26464","age_25_45","BU05183396",38
"2681","Agent_2681","age_15_25","BU05183284",20
"34875","Agent_34875","age_15_25","BU05183398",23
"64005","Agent_64005","age_0_15","BU05183620",9
"25083","Agent_25083","age_0_15","BU05183396",5
"31112","Agent_31112","age_over65","BU05183396",71
"71713","Agent_71713","age_45_65","BU05183638",64
"10957","Agent_10957","age_45_65","BU05183284",59
"46122","Agent_46122","age_25_45","BU05183480",33
"40376","Agent_40376","age_45_65","BU05183398",45
"35124","Agent_35124","age_15_25","BU05183398",22
"61972","Agent_61972","age_45_65","BU05183489",55
"56999","Agent_56999","age_over65","BU05183488",79
"13541","Agent_13541","age_over65","BU05183284",66
"47152","Agent_47152","age_25_45","BU05183480",26
"73537","Agent_73537","age_over65","BU05183638",69
"51684","Agent_51684","age_0_15","BU05183488",0
"1905","Agent_1905","age_0_15","BU05183284",13
"36842","Agent_36842","age_25_45","BU05183398",36
"47043","Agent_47043","age_25_45","BU05183480",25
"4273","Agent_4273","age_25_45","BU05183284",38
"32481","Agent_32481","age_0_15","BU05183398",2
"31775","Agent_31775","age_0_15","BU05183398",1
"25970","Agent_25970","age_15_25","BU05183396",20
"10383","Agent_10383","age_45_65","BU05183284",52
"21607","Agent_21607","age_45_65","BU05183387",46
"21061","Agent_21061","age_45_65","BU05183387",62
"30951","Agent_30951","age_over65","BU05183396",83
"2141","Agent_2141","age_0_15","BU05183284",2
"31366","Agent_31366","age_over65","BU05183396",68
"78627","Agent_78627","age_over65","BU05183639",73
"312","Agent_312","age_0_15","BU05183284",10
"22852","Agent_22852","age_over65","BU05183387",77
"8027","Agent_8027","age_25_45","BU05183284",29
"78528","Agent_78528","age_over65","BU05183639",66
"61668","Agent_61668","age_45_65","BU05183489",59
"59826","Agent_59826","age_25_45","BU05183489",35
"36469","Agent_36469","age_25_45","BU05183398",30
"69672","Agent_69672","age_25_45","BU05183638",41
"69278","Agent_69278","age_25_45","BU05183638",29
"46691","Agent_46691","age_25_45","BU05183480",33
"22092","Agent_22092","age_45_65","BU05183387",53
"75117","Agent_75117","age_15_25","BU05183639",18
"69641","Agent_69641","age_25_45","BU05183638",30
"50086","Agent_50086","age_over65","BU05183480",70
"69699","Agent_69699","age_25_45","BU05183638",43
"42942","Agent_42942","age_25_45","BU05183399",25
"2808","Agent_2808","age_15_25","BU05183284",17
"23168","Agent_23168","age_over65","BU05183387",68
"17146","Agent_17146","age_15_25","BU05183387",17
"60418","Agent_60418","age_25_45","BU05183489",38
"60731","Agent_60731","age_25_45","BU05183489",33
"47467","Agent_47467","age_25_45","BU05183480",30
"918","Agent_918","age_0_15","BU05183284",11
"24265","Agent_24265","age_0_15","BU05183396",3
"9341","Agent_9341","age_45_65","BU05183284",51
"38715","Agent_38715","age_45_65","BU05183398",64
"71843","Agent_71843","age_45_65","BU05183638",48
"56833","Agent_56833","age_over65","BU05183488",76
"36602","Agent_36602","age_25_45","BU05183398",27
"55772","Agent_55772","age_45_65","BU05183488",54
"68699","Agent_68699","age_15_25","BU05183638",18
"13191","Agent_13191","age_over65","BU05183284",67
"58470","Agent_58470","age_0_15","BU05183489",14
"4435","Agent_4435","age_25_45","BU05183284",26
"7854","Agent_7854","age_25_45","BU05183284",31
"15569","Agent_15569","age_0_15","BU05183387",0
"67685","Agent_67685","age_0_15","BU05183638",0
"61643","Agent_61643","age_45_65","BU05183489",47
"74297","Agent_74297","age_0_15","BU05183639",3
"41905","Agent_41905","age_over65","BU05183398",73
"2431","Agent_2431","age_15_25","BU05183284",23
"27674","Agent_27674","age_25_45","BU05183396",36
"71967","Agent_71967","age_45_65","BU05183638",53
"40620","Agent_40620","age_45_65","BU05183398",58
"78341","Agent_78341","age_over65","BU05183639",72
"77476","Agent_77476","age_45_65","BU05183639",55
"51891","Agent_51891","age_15_25","BU05183488",17
"15466","Agent_15466","age_0_15","BU05183387",8
"60963","Agent_60963","age_25_45","BU05183489",25
"9925","Agent_9925","age_45_65","BU05183284",64
"67626","Agent_67626","age_0_15","BU05183638",7
"5762","Agent_5762","age_25_45","BU05183284",30
"38610","Agent_38610","age_45_65","BU05183398",51
"70090","Agent_70090","age_25_45","BU05183638",36
"55883","Agent_55883","age_45_65","BU05183488",62
"4674","Agent_4674","age_25_45","BU05183284",41
"6016","Agent_6016","age_25_45","BU05183284",36
"22826","Agent_22826","age_over65","BU05183387",69
"48183","Agent_48183","age_45_65","BU05183480",47
"51249","Agent_51249","age_0_15","BU05183488",14
"46913","Agent_46913","age_25_45","BU05183480",29
"6390","Agent_6390","age_25_45","BU05183284",40
"35122","Agent_35122","age_15_25","BU05183398",23
"17596","Agent_17596","age_15_25","BU05183387",23
"51395","Agent_51395","age_0_15","BU05183488",8
"34713","Agent_34713","age_15_25","BU05183398",19
"51805","Agent_51805","age_0_15","BU05183488",2
"41182","Agent_41182","age_over65","BU05183398",66
"17474","Agent_17474","age_15_25","BU05183387",23
"40391","Agent_40391","age_45_65","BU05183398",62
"38160","Agent_38160","age_25_45","BU05183398",35
"45626","Agent_45626","age_15_25","BU05183480",24
"15880","Agent_15880","age_0_15","BU05183387",9
"57625","Agent_57625","age_over65","BU05183488",65
"29448","Agent_29448","age_45_65","BU05183396",62
"33236","Agent_33236","age_0_15","BU05183398",2
"18032","Agent_18032","age_25_45","BU05183387",35
"56786","Agent_56786","age_over65","BU05183488",79
"10481","Agent_10481","age_45_65","BU05183284",51
"57350","Agent_57350","age_over65","BU05183488",88
"38266","Agent_38266","age_25_45","BU05183398",26
"33202","Agent_33202","age_0_15","BU05183398",10
"46768","Agent_46768","age_25_45","BU05183480",31
"26460","Agent_26460","age_25_45","BU05183396",35
"48819","Agent_48819","age_45_65","BU05183480",60
"45378","Agent_45378","age_15_25","BU05183480",20
"43694","Agent_43694","age_over65","BU05183399",90
"55856","Agent_55856","age_45_65","BU05183488",57
"73161","Agent_73161","age_45_65","BU05183638",54
"4957","Agent_4957","age_25_45","BU05183284",40
"27992","Agent_27992","age_25_45","BU05183396",40
"70634","Agent_70634","age_25_45","BU05183638",43
"68764","Agent_68764","age_15_25","BU05183638",20
"52417","Agent_52417","age_15_25","BU05183488",23
"66310","Agent_66310","age_45_65","BU05183620",62
"52456","Agent_52456","age_15_25","BU05183488",23
"74767","Agent_74767","age_0_15","BU05183639",3
"59049","Agent_59049","age_15_25","BU05183489",18
"75837","Agent_75837","age_25_45","BU05183639",31
"51405","Agent_51405","age_0_15","BU05183488",5
"28367","Agent_28367","age_25_45","BU05183396",37
"44026","Agent_44026","age_over65","BU05183399",69
"69681","Agent_69681","age_25_45","BU05183638",39
"52789","Agent_52789","age_25_45","BU05183488",32
"59855","Agent_59855","age_25_45","BU05183489",31
"19379","Agent_19379","age_25_45","BU05183387",28
"21617","Agent_21617","age_45_65","BU05183387",63
"61572","Agent_61572","age_45_65","BU05183489",59
"62876","Agent_62876","age_over65","BU05183489",82
"50604","Agent_50604","age_0_15","BU05183488",7
"47784","Agent_47784","age_25_45","BU05183480",41
"76688","Agent_76688","age_25_45","BU05183639",35
"3679","Agent_3679","age_15_25","BU05183284",16
"8090","Agent_8090","age_25_45","BU05183284",25
"8515","Agent_8515","age_45_65","BU05183284",60
"49059","Agent_49059","age_45_65","BU05183480",58
"63387","Agent_63387","age_over65","BU05183489",81
"12933","Agent_12933","age_over65","BU05183284",71
"36176","Agent_36176","age_25_45","BU05183398",34
"36647","Agent_36647","age_25_45","BU05183398",30
"13854","Agent_13854","age_over65","BU05183284",73
"2827","Agent_2827","age_15_25","BU05183284",15
"61651","Agent_61651","age_45_65","BU05183489",47
"3699","Agent_3699","age_15_25","BU05183284",15
"25486","Agent_25486","age_15_25","BU05183396",21
"1613","Agent_1613","age_0_15","BU05183284",3
"39157","Agent_39157","age_45_65","BU05183398",64
"24099","Agent_24099","age_0_15","BU05183396",0
"6791","Agent_6791","age_25_45","BU05183284",28
"25280","Agent_25280","age_0_15","BU05183396",12
"29767","Agent_29767","age_45_65","BU05183396",50
"20888","Agent_20888","age_45_65","BU05183387",47
"45177","Agent_45177","age_0_15","BU05183480",6
"69000","Agent_69000","age_15_25","BU05183638",22
"64319","Agent_64319","age_15_25","BU05183620",16
"9461","Agent_9461","age_45_65","BU05183284",55
"24711","Agent_24711","age_0_15","BU05183396",0
"78097","Agent_78097","age_45_65","BU05183639",46
"30400","Agent_30400","age_45_65","BU05183396",45
"41308","Agent_41308","age_over65","BU05183398",79
"10344","Agent_10344","age_45_65","BU05183284",46
"53058","Agent_53058","age_25_45","BU05183488",39
"75324","Agent_75324","age_15_25","BU05183639",23
"42373","Agent_42373","age_over65","BU05183398",86
"33419","Agent_33419","age_0_15","BU05183398",1
"60583","Agent_60583","age_25_45","BU05183489",38
"74427","Agent_74427","age_0_15","BU05183639",2
"11328","Agent_11328","age_45_65","BU05183284",49
"19376","Agent_19376","age_25_45","BU05183387",29
"25869","Agent_25869","age_15_25","BU05183396",21
"47457","Agent_47457","age_25_45","BU05183480",41
"51307","Agent_51307","age_0_15","BU05183488",7
"10748","Agent_10748","age_45_65","BU05183284",59
"32657","Agent_32657","age_0_15","BU05183398",9
"57616","Agent_57616","age_over65","BU05183488",70
"18079","Agent_18079","age_25_45","BU05183387",38
"43798","Agent_43798","age_over65","BU05183399",78
"58906","Agent_58906","age_15_25","BU05183489",15
"50082","Agent_50082","age_over65","BU05183480",71
"69321","Agent_69321","age_25_45","BU05183638",35
"38656","Agent_38656","age_45_65","BU05183398",46
"74252","Agent_74252","age_0_15","BU05183639",3
"5218","Agent_5218","age_25_45","BU05183284",32
"5395","Agent_5395","age_25_45","BU05183284",27
"8769","Agent_8769","age_45_65","BU05183284",52
"47227","Agent_47227","age_25_45","BU05183480",29
"17262","Agent_17262","age_15_25","BU05183387",22
"8974","Agent_8974","age_45_65","BU05183284",59
"42571","Agent_42571","age_over65","BU05183398",75
"5510","Agent_5510","age_25_45","BU05183284",31
"38758","Agent_38758","age_45_65","BU05183398",62
"26963","Agent_26963","age_25_45","BU05183396",34
"52551","Agent_52551","age_15_25","BU05183488",19
"55436","Agent_55436","age_45_65","BU05183488",57
"27142","Agent_27142","age_25_45","BU05183396",29
"32694","Agent_32694","age_0_15","BU05183398",7
"30312","Agent_30312","age_45_65","BU05183396",49
"2311","Agent_2311","age_15_25","BU05183284",24
"72090","Agent_72090","age_45_65","BU05183638",51
"29269","Agent_29269","age_45_65","BU05183396",49
"3268","Agent_3268","age_15_25","BU05183284",18
"33600","Agent_33600","age_0_15","BU05183398",9
"78087","Agent_78087","age_45_65","BU05183639",58
"8082","Agent_8082","age_25_45","BU05183284",38
"58775","Agent_58775","age_0_15","BU05183489",9
"66092","Agent_66092","age_45_65","BU05183620",47
"78219","Agent_78219","age_45_65","BU05183639",64
"45044","Agent_45044","age_0_15","BU05183480",9
"15138","Agent_15138","age_0_15","BU05183387",4
"3916","Agent_3916","age_25_45","BU05183284",30
"24037","Agent_24037","age_0_15","BU05183396",2
"33177","Agent_33177","age_0_15","BU05183398",8
"23082","Agent_23082","age_over65","BU05183387",71
"76766","Agent_76766","age_25_45","BU05183639",42
"7519","Agent_7519","age_25_45","BU05183284",26
"27996","Agent_27996","age_25_45","BU05183396",37
"35551","Agent_35551","age_25_45","BU05183398",44
"35011","Agent_35011","age_15_25","BU05183398",19
"8039","Agent_8039","age_25_45","BU05183284",28
"28984","Agent_28984","age_45_65","BU05183396",51
"19442","Agent_19442","age_25_45","BU05183387",31
"66700","Agent_66700","age_over65","BU05183620",86
"648","Agent_648","age_0_15","BU05183284",0
"65106","Agent_65106","age_25_45","BU05183620",34
"32447","Agent_32447","age_0_15","BU05183398",9
"8086","Agent_8086","age_25_45","BU05183284",29
"33982","Agent_33982","age_0_15","BU05183398",0
"27075","Agent_27075","age_25_45","BU05183396",40
"48357","Agent_48357","age_45_65","BU05183480",53
"77952","Agent_77952","age_45_65","BU05183639",57
"37445","Agent_37445","age_25_45","BU05183398",44
"47212","Agent_47212","age_25_45","BU05183480",32
"13936","Agent_13936","age_over65","BU05183284",92
"4685","Agent_4685","age_25_45","BU05183284",44
"50484","Agent_50484","age_0_15","BU05183488",11
"1799","Agent_1799","age_0_15","BU05183284",6
"39173","Agent_39173","age_45_65","BU05183398",46
"67124","Agent_67124","age_0_15","BU05183638",4
"8743","Agent_8743","age_45_65","BU05183284",53
"75598","Agent_75598","age_25_45","BU05183639",31
"37126","Agent_37126","age_25_45","BU05183398",43
"10541","Agent_10541","age_45_65","BU05183284",46
"58047","Agent_58047","age_0_15","BU05183489",4
"22717","Agent_22717","age_over65","BU05183387",79
"51392","Agent_51392","age_0_15","BU05183488",4
"60171","Agent_60171","age_25_45","BU05183489",29
"32887","Agent_32887","age_0_15","BU05183398",6
"67927","Agent_67927","age_0_15","BU05183638",10
"53601","Agent_53601","age_25_45","BU05183488",35
"9253","Agent_9253","age_45_65","BU05183284",60
"37345","Agent_37345","age_25_45","BU05183398",33
"13","Agent_13","age_25_45","BU05181785",29
"14520","Agent_14520","age_over65","BU05183284",79
"73501","Agent_73501","age_over65","BU05183638",79
"67632","Agent_67632","age_0_15","BU05183638",14
"64592","Agent_64592","age_15_25","BU05183620",23
"42921","Agent_42921","age_25_45","BU05183399",31
"53161","Agent_53161","age_25_45","BU05183488",41
"9666","Agent_9666","age_45_65","BU05183284",45
"19451","Agent_19451","age_25_45","BU05183387",27
"39028","Agent_39028","age_45_65","BU05183398",56
"59066","Agent_59066","age_15_25","BU05183489",20
"75880","Agent_75880","age_25_45","BU05183639",26
"50829","Agent_50829","age_0_15","BU05183488",11
"53584","Agent_53584","age_25_45","BU05183488",26
"42977","Agent_42977","age_25_45","BU05183399",35
"50885","Agent_50885","age_0_15","BU05183488",12
"9947","Agent_9947","age_45_65","BU05183284",60
"1654","Agent_1654","age_0_15","BU05183284",11
"34905","Agent_34905","age_15_25","BU05183398",17
"35971","Agent_35971","age_25_45","BU05183398",34
"18345","Agent_18345","age_25_45","BU05183387",25
"37138","Agent_37138","age_25_45","BU05183398",43
"37923","Agent_37923","age_25_45","BU05183398",27
"1239","Agent_1239","age_0_15","BU05183284",9
"30395","Agent_30395","age_45_65","BU05183396",63
"49738","Agent_49738","age_over65","BU05183480",70
"11413","Agent_11413","age_45_65","BU05183284",52
"17091","Agent_17091","age_15_25","BU05183387",24
"3634","Agent_3634","age_15_25","BU05183284",20
"54573","Agent_54573","age_25_45","BU05183488",43
"55426","Agent_55426","age_45_65","BU05183488",48
"48834","Agent_48834","age_45_65","BU05183480",55
"24897","Agent_24897","age_0_15","BU05183396",13
"43652","Agent_43652","age_over65","BU05183399",86
"62055","Agent_62055","age_45_65","BU05183489",58
"14266","Agent_14266","age_over65","BU05183284",88
"15841","Agent_15841","age_0_15","BU05183387",7
"17100","Agent_17100","age_15_25","BU05183387",19
"63504","Agent_63504","age_45_65","BU05183536",61
"29916","Agent_29916","age_45_65","BU05183396",48
"6754","Agent_6754","age_25_45","BU05183284",28
"43321","Agent_43321","age_45_65","BU05183399",63
"21821","Agent_21821","age_45_65","BU05183387",45
"11001","Agent_11001","age_45_65","BU05183284",52
"23626","Agent_23626","age_over65","BU05183387",72
"31735","Agent_31735","age_over65","BU05183396",81
"24794","Agent_24794","age_0_15","BU05183396",8
"75628","Agent_75628","age_25_45","BU05183639",36
"38623","Agent_38623","age_45_65","BU05183398",50
"54529","Agent_54529","age_25_45","BU05183488",32
"10422","Agent_10422","age_45_65","BU05183284",52
"26462","Agent_26462","age_25_45","BU05183396",34
"28771","Agent_28771","age_25_45","BU05183396",37
"36501","Agent_36501","age_25_45","BU05183398",42
"20302","Agent_20302","age_25_45","BU05183387",38
"45890","Agent_45890","age_15_25","BU05183480",23
"33940","Agent_33940","age_0_15","BU05183398",14
"62853","Agent_62853","age_over65","BU05183489",80
"10624","Agent_10624","age_45_65","BU05183284",49
"50183","Agent_50183","age_over65","BU05183480",68
"20496","Agent_20496","age_25_45","BU05183387",35
"32718","Agent_32718","age_0_15","BU05183398",5
"29279","Agent_29279","age_45_65","BU05183396",55
"17626","Agent_17626","age_15_25","BU05183387",20
"73805","Agent_73805","age_over65","BU05183638",74
"16325","Agent_16325","age_0_15","BU05183387",4
"40255","Agent_40255","age_45_65","BU05183398",55
"62007","Agent_62007","age_45_65","BU05183489",46
"35669","Agent_35669","age_25_45","BU05183398",30
"30601","Agent_30601","age_45_65","BU05183396",47
"28653","Agent_28653","age_25_45","BU05183396",27
"14093","Agent_14093","age_over65","BU05183284",69
"25725","Agent_25725","age_15_25","BU05183396",17
"12441","Agent_12441","age_over65","BU05183284",68
"70818","Agent_70818","age_25_45","BU05183638",38
"26861","Agent_26861","age_25_45","BU05183396",44
"49332","Agent_49332","age_45_65","BU05183480",52
"40756","Agent_40756","age_45_65","BU05183398",49
"36966","Agent_36966","age_25_45","BU05183398",44
"44218","Agent_44218","age_0_15","BU05183480",5
"50858","Agent_50858","age_0_15","BU05183488",6
"21683","Agent_21683","age_45_65","BU05183387",48
"14713","Agent_14713","age_over65","BU05183284",72
"4740","Agent_4740","age_25_45","BU05183284",41
"12222","Agent_12222","age_45_65","BU05183284",49
"39838","Agent_39838","age_45_65","BU05183398",54
"57472","Agent_57472","age_over65","BU05183488",69
"25776","Agent_25776","age_15_25","BU05183396",21
"32475","Agent_32475","age_0_15","BU05183398",12
"990","Agent_990","age_0_15","BU05183284",4
"40194","Agent_40194","age_45_65","BU05183398",56
"5823","Agent_5823","age_25_45","BU05183284",40
"30599","Agent_30599","age_45_65","BU05183396",58
"32206","Agent_32206","age_0_15","BU05183398",6
"22131","Agent_22131","age_45_65","BU05183387",59
"58302","Agent_58302","age_0_15","BU05183489",8
"11312","Agent_11312","age_45_65","BU05183284",51
"36759","Agent_36759","age_25_45","BU05183398",30
"73086","Agent_73086","age_45_65","BU05183638",48
"15920","Agent_15920","age_0_15","BU05183387",13
"65563","Agent_65563","age_25_45","BU05183620",28
"44029","Agent_44029","age_over65","BU05183399",80
"416","Agent_416","age_0_15","BU05183284",8
"59379","Agent_59379","age_25_45","BU05183489",33
"49072","Agent_49072","age_45_65","BU05183480",46
"65250","Agent_65250","age_25_45","BU05183620",28
"15923","Agent_15923","age_0_15","BU05183387",2
"5125","Agent_5125","age_25_45","BU05183284",40
"62520","Agent_62520","age_45_65","BU05183489",56
"12693","Agent_12693","age_over65","BU05183284",66
"49867","Agent_49867","age_over65","BU05183480",71
"75590","Agent_75590","age_25_45","BU05183639",39
"62911","Agent_62911","age_over65","BU05183489",67
"18320","Agent_18320","age_25_45","BU05183387",36
"49803","Agent_49803","age_over65","BU05183480",68
"37389","Agent_37389","age_25_45","BU05183398",35
"7287","Agent_7287","age_25_45","BU05183284",28
"55954","Agent_55954","age_45_65","BU05183488",51
"70822","Agent_70822","age_25_45","BU05183638",32
"38493","Agent_38493","age_45_65","BU05183398",46
"3177","Agent_3177","age_15_25","BU05183284",23
"18782","Agent_18782","age_25_45","BU05183387",27
"19017","Agent_19017","age_25_45","BU05183387",41
"33951","Agent_33951","age_0_15","BU05183398",4
"37032","Agent_37032","age_25_45","BU05183398",40
"26775","Agent_26775","age_25_45","BU05183396",25
"9130","Agent_9130","age_45_65","BU05183284",62
"39699","Agent_39699","age_45_65","BU05183398",62
"47887","Agent_47887","age_25_45","BU05183480",26
"68008","Agent_68008","age_0_15","BU05183638",14
"60285","Agent_60285","age_25_45","BU05183489",41
"3401","Agent_3401","age_15_25","BU05183284",20
"12797","Agent_12797","age_over65","BU05183284",65
"13472","Agent_13472","age_over65","BU05183284",69
"13564","Agent_13564","age_over65","BU05183284",70
"10650","Agent_10650","age_45_65","BU05183284",55
"20200","Agent_20200","age_25_45","BU05183387",37
"75992","Agent_75992","age_25_45","BU05183639",34
"21296","Agent_21296","age_45_65","BU05183387",45
"37691","Agent_37691","age_25_45","BU05183398",39
"40478","Agent_40478","age_45_65","BU05183398",50
"3995","Agent_3995","age_25_45","BU05183284",40
"58161","Agent_58161","age_0_15","BU05183489",2
"39382","Agent_39382","age_45_65","BU05183398",48
"60962","Agent_60962","age_25_45","BU05183489",38
"472","Agent_472","age_0_15","BU05183284",0
"45743","Agent_45743","age_15_25","BU05183480",16
"38107","Agent_38107","age_25_45","BU05183398",37
"59554","Agent_59554","age_25_45","BU05183489",32
"76488","Agent_76488","age_25_45","BU05183639",41
"26114","Agent_26114","age_15_25","BU05183396",19
"37257","Agent_37257","age_25_45","BU05183398",30
"24119","Agent_24119","age_0_15","BU05183396",7
"28520","Agent_28520","age_25_45","BU05183396",25
"38237","Agent_38237","age_25_45","BU05183398",39
"59314","Agent_59314","age_15_25","BU05183489",20
"77836","Agent_77836","age_45_65","BU05183639",51
"65107","Agent_65107","age_25_45","BU05183620",38
"72193","Agent_72193","age_45_65","BU05183638",49
"42036","Agent_42036","age_over65","BU05183398",71
"12162","Agent_12162","age_45_65","BU05183284",56
"4286","Agent_4286","age_25_45","BU05183284",31
"4596","Agent_4596","age_25_45","BU05183284",34
"72175","Agent_72175","age_45_65","BU05183638",46
"50986","Agent_50986","age_0_15","BU05183488",0
"53007","Agent_53007","age_25_45","BU05183488",34
"47948","Agent_47948","age_25_45","BU05183480",27
"78539","Agent_78539","age_over65","BU05183639",75
"55079","Agent_55079","age_45_65","BU05183488",63
"35102","Agent_35102","age_15_25","BU05183398",21
"20936","Agent_20936","age_45_65","BU05183387",56
"59690","Agent_59690","age_25_45","BU05183489",37
"36464","Agent_36464","age_25_45","BU05183398",31
"25158","Agent_25158","age_0_15","BU05183396",10
"77632","Agent_77632","age_45_65","BU05183639",59
"20248","Agent_20248","age_25_45","BU05183387",44
"61776","Agent_61776","age_45_65","BU05183489",57
"77594","Agent_77594","age_45_65","BU05183639",57
"5108","Agent_5108","age_25_45","BU05183284",42
"19683","Agent_19683","age_25_45","BU05183387",38
"2295","Agent_2295","age_15_25","BU05183284",21
"63835","Agent_63835","age_0_15","BU05183620",1
"33191","Agent_33191","age_0_15","BU05183398",5
"48107","Agent_48107","age_25_45","BU05183480",44
"8510","Agent_8510","age_45_65","BU05183284",54
"33214","Agent_33214","age_0_15","BU05183398",7
"7849","Agent_7849","age_25_45","BU05183284",38
"39753","Agent_39753","age_45_65","BU05183398",50
"11197","Agent_11197","age_45_65","BU05183284",47
"64031","Agent_64031","age_0_15","BU05183620",14
"5299","Agent_5299","age_25_45","BU05183284",34
"77497","Agent_77497","age_45_65","BU05183639",46
"8648","Agent_8648","age_45_65","BU05183284",61
"38371","Agent_38371","age_25_45","BU05183398",37
"14056","Agent_14056","age_over65","BU05183284",69
"12908","Agent_12908","age_over65","BU05183284",71
"14861","Agent_14861","age_over65","BU05183284",69
"74503","Agent_74503","age_0_15","BU05183639",5
"59522","Agent_59522","age_25_45","BU05183489",32
"45024","Agent_45024","age_0_15","BU05183480",12
"25506","Agent_25506","age_15_25","BU05183396",22
"14477","Agent_14477","age_over65","BU05183284",87
"60655","Agent_60655","age_25_45","BU05183489",43
"47309","Agent_47309","age_25_45","BU05183480",32
"59732","Agent_59732","age_25_45","BU05183489",30
"19306","Agent_19306","age_25_45","BU05183387",42
"30069","Agent_30069","age_45_65","BU05183396",53
"58569","Agent_58569","age_0_15","BU05183489",0
"13891","Agent_13891","age_over65","BU05183284",70
"71040","Agent_71040","age_25_45","BU05183638",34
"74513","Agent_74513","age_0_15","BU05183639",2
"71139","Agent_71139","age_25_45","BU05183638",34
"49005","Agent_49005","age_45_65","BU05183480",45
"61829","Agent_61829","age_45_65","BU05183489",63
"14745","Agent_14745","age_over65","BU05183284",65
"38895","Agent_38895","age_45_65","BU05183398",49
"14165","Agent_14165","age_over65","BU05183284",77
"55105","Agent_55105","age_45_65","BU05183488",45
"42275","Agent_42275","age_over65","BU05183398",70
"20291","Agent_20291","age_25_45","BU05183387",43
