"ID";"WijkenEnBuurten";"SoortRegio_2";"Codering_3";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"WestersTotaal_17";"NietWestersTotaal_18";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"5683";"BU05180704";"Buurt     ";"BU05180704";"    3885";"    1835";"    2050";"     590";"     395";"    1025";"    1020";"     860";"     855";"     505";"     720";"    1100";"    1070"
"5684";"BU05180772";"Buurt     ";"BU05180772";"    1605";"     760";"     845";"     220";"     180";"     390";"     415";"     395";"     315";"     185";"     270";"     440";"     480"
"5685";"WK051808  ";"Wijk      ";"WK051808  ";"    5875";"    2925";"    2945";"    1090";"     550";"    1595";"    1760";"     880";"     645";"     395";"    1920";"    1730";"     840"
"5686";"BU05180800";"Buurt     ";"BU05180800";"    5875";"    2925";"    2945";"    1090";"     550";"    1595";"    1760";"     880";"     645";"     395";"    1920";"    1730";"     840"
"5687";"WK051809  ";"Wijk      ";"WK051809  ";"   13925";"    6685";"    7235";"    2430";"    1555";"    3355";"    4035";"    2550";"    4160";"    1565";"    1930";"    3070";"    5500"
"5688";"BU05180907";"Buurt     ";"BU05180907";"    9705";"    4680";"    5025";"    1735";"    1155";"    2270";"    2840";"    1705";"    3420";"    1090";"     970";"    2030";"    4330"
"5689";"BU05180908";"Buurt     ";"BU05180908";"    4215";"    2005";"    2210";"     690";"     400";"    1085";"    1195";"     845";"     740";"     475";"    1020";"    1050";"    1080"
"5690";"WK051810  ";"Wijk      ";"WK051810  ";"     530";"     265";"     265";"      70";"      40";"     110";"     125";"     190";"     175";"      60";"      20";"     220";"     190"
"5691";"BU05181041";"Buurt     ";"BU05181041";"     530";"     265";"     265";"      70";"      40";"     110";"     125";"     190";"     175";"      60";"      20";"     220";"     190"
"5692";"WK051811  ";"Wijk      ";"WK051811  ";"    7865";"    3855";"    4010";"    1300";"     770";"    2655";"    2050";"    1095";"    2440";"     935";"     530";"    1920";"    4000"
"5693";"BU05181142";"Buurt     ";"BU05181142";"    2025";"     960";"    1065";"     315";"     165";"     660";"     470";"     420";"     735";"     255";"     170";"     590";"     970"
"5694";"BU05181143";"Buurt     ";"BU05181143";"    5840";"    2895";"    2945";"     985";"     605";"    1995";"    1580";"     675";"    1700";"     685";"     370";"    1340";"    3010"
"5695";"WK051812  ";"Wijk      ";"WK051812  ";"   14745";"    6800";"    7945";"    2365";"    1280";"    3895";"    4160";"    3045";"    3165";"    1510";"    2000";"    3660";"    5360"
"5696";"BU05181250";"Buurt     ";"BU05181250";"    2305";"    1070";"    1235";"     360";"     210";"     385";"     760";"     595";"     395";"     135";"     250";"     520";"     890"
"5697";"BU05181251";"Buurt     ";"BU05181251";"    6495";"    2965";"    3530";"    1060";"     575";"    1780";"    1810";"    1280";"    1370";"     690";"     850";"    1730";"    2280"
"5698";"BU05181252";"Buurt     ";"BU05181252";"    5940";"    2765";"    3175";"     950";"     495";"    1730";"    1590";"    1175";"    1400";"     680";"     910";"    1420";"    2180"
"5699";"WK051813  ";"Wijk      ";"WK051813  ";"    5335";"    2590";"    2745";"    1150";"     640";"     725";"    1740";"    1085";"    1180";"     285";"     460";"     790";"    2570"
"5700";"BU05181309";"Buurt     ";"BU05181309";"    5335";"    2590";"    2745";"    1150";"     640";"     725";"    1740";"    1085";"    1180";"     285";"     460";"     790";"    2570"
"5701";"WK051814  ";"Wijk      ";"WK051814  ";"    4795";"    2110";"    2680";"     435";"     315";"     810";"    1405";"    1835";"     930";"     345";"     470";"    1280";"    1740"
"5702";"BU05181481";"Buurt     ";"BU05181481";"     370";"     175";"     190";"      40";"      50";"      50";"     155";"      80";"      60";"      35";"      30";"     120";"     150"
"5703";"BU05181492";"Buurt     ";"BU05181492";"    4425";"    1930";"    2490";"     395";"     265";"     760";"    1250";"    1755";"     865";"     315";"     430";"    1160";"    1590"
"5704";"WK051815  ";"Wijk      ";"WK051815  ";"    2350";"    1165";"    1180";"     245";"     275";"     320";"     735";"     775";"     420";"     230";"     390";"     530";"     880"
"5705";"BU05181590";"Buurt     ";"BU05181590";"     780";"     415";"     365";"      90";"     140";"     140";"     280";"     130";"     140";"     130";"     230";"     160";"     300"
"5706";"BU05181591";"Buurt     ";"BU05181591";"    1565";"     750";"     815";"     150";"     135";"     180";"     460";"     640";"     280";"     100";"     180";"     360";"     570"
"5707";"WK051816  ";"Wijk      ";"WK051816  ";"    6255";"    3200";"    3050";"    1100";"     550";"    1635";"    1875";"    1095";"     960";"     905";"    1130";"    1990";"    1950"
"5708";"BU05181697";"Buurt     ";"BU05181697";"    6255";"    3200";"    3050";"    1100";"     550";"    1635";"    1875";"    1095";"     960";"     905";"    1130";"    1990";"    1950"
"5709";"WK051817  ";"Wijk      ";"WK051817  ";"   17975";"    8700";"    9270";"    2695";"    1820";"    4100";"    5145";"    4220";"    2230";"    3675";"    4810";"    5430";"    3230"
"5710";"BU05181785";"Buurt     ";"BU05181785";"      55";"      50";"       5";"       0";"       0";"      30";"      25";"       0";"       5";"      20";"       .";"       .";"       ."
"5711";"BU05181786";"Buurt     ";"BU05181786";"   12890";"    6340";"    6550";"    2100";"    1425";"    2935";"    3780";"    2650";"    1600";"    2985";"    3250";"    4080";"    2460"
"5712";"BU05181795";"Buurt     ";"BU05181795";"    5025";"    2310";"    2715";"     595";"     395";"    1130";"    1340";"    1565";"     625";"     665";"    1530";"    1310";"     750"
"5713";"WK051818  ";"Wijk      ";"WK051818  ";"   17270";"    7930";"    9335";"    2190";"    1310";"    3590";"    4540";"    5640";"    2615";"    3120";"    3530";"    4890";"    3970"
"5714";"BU05181806";"Buurt     ";"BU05181806";"    2080";"     920";"    1160";"     270";"     160";"     390";"     575";"     690";"     295";"     460";"     450";"     590";"     390"
"5715";"BU05181840";"Buurt     ";"BU05181840";"    7285";"    3475";"    3810";"    1250";"     715";"    1805";"    2000";"    1520";"     985";"    1795";"    1760";"    2020";"    1590"
"5716";"BU05181882";"Buurt     ";"BU05181882";"    2915";"    1385";"    1530";"     290";"     175";"     610";"     755";"    1090";"     440";"     420";"     690";"     880";"     760"
"5717";"BU05181893";"Buurt     ";"BU05181893";"    1825";"     825";"    1000";"     210";"     130";"     325";"     530";"     630";"     375";"     135";"     150";"     540";"     640"
"5718";"BU05181894";"Buurt     ";"BU05181894";"    3150";"    1315";"    1830";"     170";"     125";"     460";"     685";"    1710";"     515";"     310";"     430";"     890";"     630"
"5719";"WK051819  ";"Wijk      ";"WK051819  ";"    9835";"    4665";"    5170";"    1760";"     955";"    2675";"    2810";"    1635";"    1645";"     855";"    1180";"    2510";"    3750"
"5720";"BU05181953";"Buurt     ";"BU05181953";"    7215";"    3425";"    3790";"    1365";"     715";"    1935";"    2010";"    1190";"    1190";"     640";"     870";"    1720";"    2820"
"5721";"BU05181983";"Buurt     ";"BU05181983";"    2615";"    1235";"    1380";"     395";"     240";"     740";"     800";"     445";"     455";"     215";"     320";"     790";"     930"
"5722";"WK051820  ";"Wijk      ";"WK051820  ";"   18245";"    8930";"    9315";"    2735";"    2105";"    7075";"    4470";"    1870";"    4140";"    5040";"    3560";"    5350";"    6110"
"5723";"BU05182054";"Buurt     ";"BU05182054";"    6820";"    3250";"    3570";"    1100";"     695";"    2635";"    1665";"     720";"    1460";"    1570";"    1430";"    2050";"    2040"
"5724";"BU05182055";"Buurt     ";"BU05182055";"   11425";"    5675";"    5745";"    1630";"    1410";"    4435";"    2800";"    1145";"    2680";"    3465";"    2130";"    3300";"    4070"
"5725";"WK051821  ";"Wijk      ";"WK051821  ";"   13775";"    6880";"    6895";"    1910";"    1545";"    5710";"    3195";"    1415";"    3115";"    4025";"    2160";"    3090";"    6170"
"5726";"BU05182110";"Buurt     ";"BU05182110";"    6250";"    3160";"    3090";"     825";"     730";"    2615";"    1425";"     660";"    1330";"    2420";"    1420";"    1700";"    2080"
"5727";"BU05182144";"Buurt     ";"BU05182144";"    7520";"    3720";"    3800";"    1085";"     815";"    3095";"    1770";"     755";"    1790";"    1605";"     820";"    1440";"    3970"
"5728";"WK051822  ";"Wijk      ";"WK051822  ";"   12085";"    6055";"    6030";"    1505";"    1495";"    4750";"    3010";"    1325";"    2855";"    3070";"    1900";"    2700";"    5730"
"5729";"BU05182245";"Buurt     ";"BU05182245";"   12085";"    6055";"    6030";"    1505";"    1495";"    4750";"    3010";"    1325";"    2855";"    3070";"    1900";"    2700";"    5730"
"5730";"WK051823  ";"Wijk      ";"WK051823  ";"    1590";"     810";"     775";"     180";"     125";"     580";"     410";"     290";"     600";"     220";"     120";"     270";"     920"
"5731";"BU05182347";"Buurt     ";"BU05182347";"    1590";"     810";"     775";"     180";"     125";"     580";"     410";"     290";"     600";"     220";"     120";"     270";"     920"
"5732";"WK051824  ";"Wijk      ";"WK051824  ";"     445";"     215";"     225";"      20";"      20";"     135";"      85";"     180";"     140";"      65";"      30";"      90";"     220"
"5733";"BU05182449";"Buurt     ";"BU05182449";"     445";"     215";"     225";"      20";"      20";"     135";"      85";"     180";"     140";"      65";"      30";"      90";"     220"
"5734";"WK051825  ";"Wijk      ";"WK051825  ";"   14770";"    7040";"    7725";"    2230";"    1170";"    4520";"    3535";"    3315";"    2915";"    4890";"    3080";"    3990";"    4000"
"5735";"BU05182561";"Buurt     ";"BU05182561";"    5205";"    2485";"    2720";"     845";"     450";"    1680";"    1190";"    1040";"     920";"    1990";"    1400";"    1400";"    1050"
"5736";"BU05182567";"Buurt     ";"BU05182567";"    2450";"    1215";"    1235";"     360";"     175";"     845";"     575";"     500";"     515";"     840";"     490";"     760";"     660"
"5737";"BU05182568";"Buurt     ";"BU05182568";"     795";"     400";"     395";"     155";"     100";"     120";"     235";"     180";"     210";"     100";"      40";"      80";"     450"
"5738";"BU05182569";"Buurt     ";"BU05182569";"    6315";"    2940";"    3370";"     870";"     445";"    1870";"    1535";"    1595";"    1265";"    1955";"    1170";"    1750";"    1800"
"5739";"WK051826  ";"Wijk      ";"WK051826  ";"   17160";"    8315";"    8840";"    2430";"    2075";"    6730";"    3860";"    2070";"    4405";"    4100";"    2430";"    3780";"    7900"
"5740";"BU05182664";"Buurt     ";"BU05182664";"    3610";"    1685";"    1925";"     530";"     855";"    1115";"     795";"     315";"     860";"    1695";"     750";"    1230";"    1050"
"5741";"BU05182665";"Buurt     ";"BU05182665";"    4500";"    2270";"    2225";"     760";"     505";"    1680";"    1010";"     545";"    1300";"     970";"     690";"     780";"    2170"
"5742";"BU05182666";"Buurt     ";"BU05182666";"    9045";"    4355";"    4690";"    1135";"     715";"    3935";"    2050";"    1205";"    2240";"    1430";"     980";"    1790";"    4680"
"5743";"WK051827  ";"Wijk      ";"WK051827  ";"   12380";"    6335";"    6045";"    1525";"    3040";"    4545";"    2290";"     985";"    2515";"    6340";"    2640";"    3680";"    4250"
"5744";"BU05182718";"Buurt     ";"BU05182718";"    7870";"    3935";"    3935";"     930";"    2350";"    2715";"    1310";"     575";"    1490";"    4450";"    1570";"    2500";"    2750"
"5745";"BU05182762";"Buurt     ";"BU05182762";"     850";"     455";"     395";"      55";"     190";"     400";"     155";"      50";"     230";"     370";"     290";"     220";"     250"
"5746";"BU05182763";"Buurt     ";"BU05182763";"    3650";"    1940";"    1710";"     540";"     500";"    1430";"     825";"     355";"     790";"    1520";"     790";"     950";"    1260"
"5747";"WK051828  ";"Wijk      ";"WK051828  ";"   19855";"   10160";"    9695";"    1990";"    2515";"    8010";"    4885";"    2460";"    4540";"    6795";"    3780";"    6030";"    7490"
"5748";"BU05182811";"Buurt     ";"BU05182811";"    7300";"    3685";"    3610";"     800";"     995";"    2680";"    1900";"     930";"    1590";"    2390";"    1420";"    2610";"    2290"
"5749";"BU05182812";"Buurt     ";"BU05182812";"    2430";"    1280";"    1145";"     150";"     300";"    1070";"     550";"     365";"     815";"     445";"     270";"     600";"    1330"
"5750";"BU05182813";"Buurt     ";"BU05182813";"    3215";"    1655";"    1560";"     405";"     280";"    1340";"     795";"     395";"     660";"    1385";"     520";"     890";"    1300"
"5751";"BU05182814";"Buurt     ";"BU05182814";"    6910";"    3530";"    3375";"     635";"     945";"    2920";"    1640";"     770";"    1470";"    2575";"    1540";"    1870";"    2650"
"5752";"WK051829  ";"Wijk      ";"WK051829  ";"   31385";"   15665";"   15720";"    6295";"    5045";"    8635";"    8170";"    3240";"    2590";"   26095";"   13290";"    7980";"    2990"
"5753";"BU05182915";"Buurt     ";"BU05182915";"   14220";"    7185";"    7030";"    2800";"    2300";"    4140";"    3635";"    1340";"    1505";"   11630";"    5910";"    3870";"    1310"
"5754";"BU05182916";"Buurt     ";"BU05182916";"    9980";"    4920";"    5060";"    2030";"    1535";"    2615";"    2660";"    1145";"     610";"    8225";"    4090";"    2360";"    1200"
"5755";"BU05182917";"Buurt     ";"BU05182917";"    7185";"    3555";"    3630";"    1465";"    1210";"    1880";"    1875";"     760";"     470";"    6240";"    3300";"    1760";"     470"
"5756";"WK051830  ";"Wijk      ";"WK051830  ";"   16180";"    8215";"    7965";"    3330";"    2415";"    5035";"    3870";"    1530";"    2995";"   12000";"    5690";"    3660";"    3100"
"5757";"BU05183032";"Buurt     ";"BU05183032";"    3940";"    1925";"    2010";"     715";"     600";"    1235";"     980";"     410";"     500";"    3090";"    1850";"     920";"     360"
"5758";"BU05183033";"Buurt     ";"BU05183033";"    5015";"    2530";"    2480";"    1125";"     645";"    1575";"    1080";"     595";"     785";"    3865";"    1390";"     940";"    1340"
"5759";"BU05183034";"Buurt     ";"BU05183034";"    7220";"    3750";"    3470";"    1495";"    1170";"    2225";"    1810";"     525";"    1705";"    5045";"    2540";"    1810";"    1310"
"5760";"WK051831  ";"Wijk      ";"WK051831  ";"   18695";"    9670";"    9025";"    3355";"    2375";"    7215";"    4250";"    1505";"    5410";"    7050";"    5230";"    5870";"    3880"
"5761";"BU05183130";"Buurt     ";"BU05183130";"    6095";"    3185";"    2905";"    1030";"     665";"    2300";"    1450";"     650";"    1540";"    1720";"    1690";"    2100";"    1050"
"5762";"BU05183131";"Buurt     ";"BU05183131";"    4525";"    2350";"    2175";"     780";"     570";"    1830";"    1015";"     330";"    1225";"    1910";"    1260";"    1660";"     760"
"5763";"BU05183135";"Buurt     ";"BU05183135";"    8075";"    4135";"    3940";"    1545";"    1140";"    3090";"    1785";"     520";"    2640";"    3415";"    2270";"    2160";"    2020"
"5764";"WK051832  ";"Wijk      ";"WK051832  ";"   15010";"    7325";"    7685";"    2170";"    1620";"    4575";"    3940";"    2710";"    2630";"    3030";"    3190";"    5370";"    3140"
"5765";"BU05183284";"Buurt     ";"BU05183284";"   15010";"    7325";"    7685";"    2170";"    1620";"    4575";"    3940";"    2710";"    2630";"    3030";"    3190";"    5370";"    3140"
"5766";"WK051833  ";"Wijk      ";"WK051833  ";"   29040";"   14305";"   14730";"    5985";"    3340";"    8500";"    6685";"    4530";"    3755";"   17020";"   10000";"    7790";"    3320"
"5767";"BU05183387";"Buurt     ";"BU05183387";"    8730";"    4350";"    4380";"    1850";"    1085";"    2600";"    2070";"    1130";"    1105";"    5495";"    3250";"    2250";"     870"
"5768";"BU05183396";"Buurt     ";"BU05183396";"    7955";"    3975";"    3980";"    1655";"     870";"    2475";"    1930";"    1025";"    1055";"    4825";"    2850";"    2170";"     960"
"5769";"BU05183398";"Buurt     ";"BU05183398";"   10820";"    5250";"    5565";"    2265";"    1260";"    3185";"    2325";"    1790";"    1385";"    6530";"    3520";"    3030";"    1150"
"5770";"BU05183399";"Buurt     ";"BU05183399";"    1525";"     725";"     800";"     210";"     120";"     240";"     365";"     590";"     205";"     165";"     370";"     330";"     340"
"5771";"WK051834  ";"Wijk      ";"WK051834  ";"   19345";"    9760";"    9580";"    3680";"    2015";"    6400";"    4730";"    2515";"    2675";"   10720";"    6180";"    6040";"    2880"
"5772";"BU05183480";"Buurt     ";"BU05183480";"    6205";"    3155";"    3050";"    1210";"     645";"    2175";"    1530";"     645";"    1160";"    3500";"    2390";"    1560";"    1000"
"5773";"BU05183488";"Buurt     ";"BU05183488";"    7505";"    3705";"    3800";"    1495";"     810";"    2295";"    1815";"    1090";"     800";"    4245";"    1890";"    2600";"    1190"
"5774";"BU05183489";"Buurt     ";"BU05183489";"    5630";"    2900";"    2730";"     975";"     560";"    1930";"    1385";"     780";"     715";"    2970";"    1900";"    1890";"     680"
"5775";"WK051835  ";"Wijk      ";"WK051835  ";"     155";"      65";"      85";"       5";"       5";"      10";"      45";"      90";"      10";"      20";"      70";"      30";"      10"
"5776";"BU05183536";"Buurt     ";"BU05183536";"     155";"      65";"      85";"       5";"       5";"      10";"      45";"      90";"      10";"      20";"      70";"      30";"      10"
"5777";"WK051836  ";"Wijk      ";"WK051836  ";"   21300";"   11070";"   10225";"    4485";"    2520";"    7060";"    4940";"    2295";"    2985";"   13085";"    7710";"    6050";"    2140"
"5778";"BU05183620";"Buurt     ";"BU05183620";"    3245";"    1745";"    1495";"     655";"     355";"    1095";"     775";"     370";"     445";"    2025";"    1160";"     860";"     330"
"5779";"BU05183637";"Buurt     ";"BU05183637";"    6245";"    3175";"    3070";"    1370";"     635";"    1885";"    1560";"     795";"     680";"    4055";"    2250";"    1940";"     400"
"5780";"BU05183638";"Buurt     ";"BU05183638";"    7035";"    3630";"    3400";"    1375";"     925";"    2305";"    1720";"     710";"    1430";"    3865";"    2660";"    2010";"     770"
"5781";"BU05183639";"Buurt     ";"BU05183639";"    4765";"    2510";"    2255";"    1085";"     605";"    1775";"     885";"     415";"     425";"    3140";"    1640";"    1230";"     660"
"5782";"WK051837  ";"Wijk      ";"WK051837  ";"    5290";"    2730";"    2555";"    1105";"     875";"    1660";"    1280";"     370";"     790";"    3895";"    2050";"    1550";"     520"
"5783";"BU05183721";"Buurt     ";"BU05183721";"    5290";"    2730";"    2555";"    1105";"     875";"    1660";"    1280";"     370";"     790";"    3895";"    2050";"    1550";"     520"
"5784";"WK051838  ";"Wijk      ";"WK051838  ";"   42265";"   21720";"   20540";"    7305";"    6880";"   15020";"    9615";"    3450";"    9970";"   22525";"   13740";"   14040";"    6610"
"5785";"BU05183819";"Buurt     ";"BU05183819";"    4085";"    1960";"    2125";"     600";"     970";"    1305";"     860";"     355";"     660";"    2680";"    1210";"    1680";"     920"
"5786";"BU05183822";"Buurt     ";"BU05183822";"    5960";"    3010";"    2950";"    1000";"    1040";"    2125";"    1320";"     480";"     685";"    4155";"    1890";"    2030";"     990"
"5787";"BU05183823";"Buurt     ";"BU05183823";"    4350";"    2140";"    2210";"     925";"     625";"    1305";"    1160";"     335";"     515";"    2900";"    1610";"    1230";"     500"
"5788";"BU05183824";"Buurt     ";"BU05183824";"    8135";"    4320";"    3815";"    1410";"    1145";"    3045";"    1920";"     625";"    2455";"    3365";"    2590";"    2610";"    1200"
"5789";"BU05183825";"Buurt     ";"BU05183825";"   11330";"    5930";"    5400";"    1900";"    1650";"    4395";"    2435";"     955";"    3815";"    4185";"    3350";"    3830";"    2000"
"5790";"BU05183826";"Buurt     ";"BU05183826";"    8390";"    4355";"    4030";"    1470";"    1450";"    2850";"    1920";"     705";"    1830";"    5235";"    3100";"    2660";"    1010"
"5791";"WK051839  ";"Wijk      ";"WK051839  ";"    2275";"    1700";"     570";"      90";"     345";"    1250";"     545";"      45";"     240";"    1375";"    1180";"     700";"     660"
"5792";"BU05183960";"Buurt     ";"BU05183960";"    2275";"    1700";"     570";"      90";"     345";"    1250";"     545";"      45";"     240";"    1375";"    1180";"     700";"     660"
"5793";"WK051840  ";"Wijk      ";"WK051840  ";"   22195";"   10985";"   11210";"    4770";"    2950";"    5380";"    6690";"    2405";"    2295";"    7945";"    5020";"    6370";"    5260"
"5794";"BU05184001";"Buurt     ";"BU05184001";"    2165";"    1020";"    1140";"     315";"     260";"     430";"     665";"     500";"     280";"     690";"     510";"     590";"     430"
"5795";"BU05184002";"Buurt     ";"BU05184002";"    8890";"    4360";"    4530";"    2420";"    1035";"    2700";"    2000";"     735";"     845";"    3465";"    1840";"    2380";"    2100"
"5796";"BU05184003";"Buurt     ";"BU05184003";"    3455";"    1795";"    1660";"     595";"     545";"     560";"    1365";"     390";"     475";"     765";"     510";"    1000";"    1210"
"5797";"BU05184004";"Buurt     ";"BU05184004";"    4270";"    2080";"    2190";"     755";"     565";"     855";"    1515";"     580";"     395";"    1665";"    1290";"    1240";"     850"
"5798";"BU05184005";"Buurt     ";"BU05184005";"    3405";"    1720";"    1680";"     685";"     550";"     835";"    1145";"     195";"     295";"    1355";"     870";"    1160";"     680"
"5799";"WK051841  ";"Wijk      ";"WK051841  ";"     260";"     185";"      75";"      30";"      60";"      75";"      60";"      40";"      10";"     105";"     100";"      50";"     110"
"5800";"BU05184106";"Buurt     ";"BU05184106";"     165";"      90";"      75";"      30";"      10";"      25";"      60";"      40";"      10";"      10";"      20";"      30";"      80"
"5801";"BU05184107";"Buurt     ";"BU05184107";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       ."
"5802";"BU05184110";"Buurt     ";"BU05184110";"      95";"      95";"       0";"       0";"      50";"      45";"       0";"       0";"       0";"      95";"       .";"       .";"       ."
"5803";"WK051842  ";"Wijk      ";"WK051842  ";"   27220";"   13550";"   13670";"    6130";"    3850";"    6650";"    8570";"    2025";"    3510";"    7965";"    5640";"    8040";"    7080"
"5804";"BU05184208";"Buurt     ";"BU05184208";"    2025";"    1025";"    1000";"     420";"     360";"     280";"     775";"     190";"     420";"     275";"     370";"     500";"     700"
"5805";"BU05184209";"Buurt     ";"BU05184209";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       ."
"5806";"BU05184211";"Buurt     ";"BU05184211";"    1790";"     930";"     860";"     455";"     170";"     715";"     365";"      90";"     205";"     765";"     340";"     510";"     480"
"5807";"BU05184212";"Buurt     ";"BU05184212";"    7140";"    3555";"    3585";"    1585";"     965";"    1920";"    2115";"     560";"     900";"    2445";"    1520";"    2240";"    1710"
"5808";"BU05184213";"Buurt     ";"BU05184213";"    5595";"    2770";"    2820";"    1085";"     840";"    1200";"    1935";"     535";"     700";"    1765";"    1130";"    1890";"    1340"
"5809";"BU05184214";"Buurt     ";"BU05184214";"    4810";"    2385";"    2420";"    1045";"     655";"    1340";"    1410";"     360";"     590";"    1645";"    1100";"    1490";"    1130"
"5810";"BU05184215";"Buurt     ";"BU05184215";"    5850";"    2870";"    2980";"    1540";"     865";"    1200";"    1965";"     285";"     690";"    1065";"    1190";"    1420";"    1700"
"5811";"WK051843  ";"Wijk      ";"WK051843  ";"     135";"      70";"      65";"      10";"      25";"      20";"      50";"      35";"      10";"       5";"      20";"      60";"      30"
"5812";"BU05184316";"Buurt     ";"BU05184316";"      95";"      50";"      45";"       5";"      15";"      10";"      35";"      35";"      10";"       5";"      20";"      40";"      20"
"5813";"BU05184317";"Buurt     ";"BU05184317";"      40";"      20";"      20";"       5";"      10";"      10";"      15";"       0";"       0";"       5";"       0";"      20";"      10"
"5814";"WK051844  ";"Wijk      ";"WK051844  ";"   21060";"   10570";"   10490";"    4840";"    2750";"    5190";"    6350";"    1930";"    2150";"    6550";"    4220";"    5640";"    5710"
"5815";"BU05184418";"Buurt     ";"BU05184418";"    5440";"    2745";"    2695";"    1500";"     665";"    1620";"    1400";"     260";"     545";"    1900";"    1080";"    1520";"    1370"
