"hh_ID","hh_size","neighb_code","hh_type","PC6","income_group"
37,4,"BU05183284","single-parent","2546TJ","income_3_10"
38,4,"BU05183284","single-parent","2546AC","income_10_10"
39,5,"BU05183284","couple_with_children","2541XR","income_3_10"
40,5,"BU05183284","couple_with_children","2545EW","income_1_10"
41,5,"BU05183284","couple_with_children","2546VG","income_5_10"
42,5,"BU05183284","couple_with_children","2546TR","income_5_10"
43,5,"BU05183284","couple_with_children","2546AG","income_9_10"
44,4,"BU05183284","single-parent","2545CZ","income_10_10"
45,5,"BU05183284","couple_with_children","2546BR","income_5_10"
46,5,"BU05183284","couple_with_children","2546BN","income_4_10"
47,5,"BU05183284","couple_with_children","2545CW","income_10_10"
48,5,"BU05183284","couple_with_children","2546SE","income_1_10"
49,4,"BU05183284","single-parent","2545EP","income_1_10"
50,5,"BU05183284","couple_with_children","2546VR","income_2_10"
51,5,"BU05183284","couple_with_children","2545CT","income_2_10"
52,5,"BU05183284","couple_with_children","2546BG","income_9_10"
53,4,"BU05183284","single-parent","2546RM","income_1_10"
54,4,"BU05183284","single-parent","2546BD","income_2_10"
55,5,"BU05183284","couple_with_children","2545CM","income_4_10"
56,5,"BU05183284","couple_with_children","2546CK","income_8_10"
57,5,"BU05183284","couple_with_children","2545CG","income_2_10"
58,4,"BU05183284","single-parent","2545CN","income_2_10"
59,5,"BU05183284","couple_with_children","2545CW","income_9_10"
60,4,"BU05183284","single-parent","2546SL","income_1_10"
61,5,"BU05183284","couple_with_children","2546TK","income_1_10"
62,5,"BU05183284","couple_with_children","2546XC","income_8_10"
63,4,"BU05183284","single-parent","2545CZ","income_5_10"
64,5,"BU05183284","couple_with_children","2546RJ","income_7_10"
65,4,"BU05183284","single-parent","2546AH","income_4_10"
66,5,"BU05183284","couple_with_children","2546XK","income_10_10"
67,5,"BU05183284","couple_with_children","2545CM","income_7_10"
68,5,"BU05183284","couple_with_children","2546VA","income_10_10"
69,5,"BU05183284","couple_with_children","2546AJ","income_8_10"
70,5,"BU05183284","couple_with_children","2546BG","income_2_10"
71,5,"BU05183284","couple_with_children","2545CP","income_5_10"
72,4,"BU05183284","single-parent","2545ER","income_7_10"
73,5,"BU05183284","couple_with_children","2546XK","income_5_10"
74,5,"BU05183284","couple_with_children","2545EG","income_3_10"
75,5,"BU05183284","couple_with_children","2546VV","income_8_10"
76,5,"BU05183284","couple_with_children","2546EC","income_8_10"
77,5,"BU05183284","couple_with_children","2546TZ","income_1_10"
78,5,"BU05183284","couple_with_children","2545EP","income_5_10"
79,4,"BU05183284","single-parent","2546BJ","income_5_10"
80,4,"BU05183284","single-parent","2546BB","income_4_10"
81,4,"BU05183284","single-parent","2546CX","income_1_10"
82,5,"BU05183284","couple_with_children","2546XX","income_8_10"
83,5,"BU05183284","couple_with_children","2545EC","income_8_10"
84,5,"BU05183284","couple_with_children","2546RT","income_10_10"
85,5,"BU05183284","couple_with_children","2545CZ","income_7_10"
86,5,"BU05183284","couple_with_children","2546RR","income_5_10"
87,5,"BU05183284","couple_with_children","2546SP","income_9_10"
88,5,"BU05183284","couple_with_children","2545CM","income_5_10"
89,4,"BU05183284","single-parent","2546RV","income_6_10"
90,5,"BU05183284","couple_with_children","2546CZ","income_6_10"
91,5,"BU05183284","couple_with_children","2546TZ","income_4_10"
92,4,"BU05183284","single-parent","2545EJ","income_3_10"
93,5,"BU05183284","couple_with_children","2546EG","income_1_10"
94,5,"BU05183284","couple_with_children","2546TX","income_2_10"
95,5,"BU05183284","couple_with_children","2545AV","income_1_10"
96,4,"BU05183284","single-parent","2545EN","income_1_10"
97,5,"BU05183284","couple_with_children","2546BP","income_3_10"
98,5,"BU05183284","couple_with_children","2546RS","income_6_10"
99,5,"BU05183284","couple_with_children","2546BL","income_8_10"
100,4,"BU05183284","single-parent","2545CM","income_10_10"
101,5,"BU05183284","couple_with_children","2546SN","income_8_10"
102,5,"BU05183284","couple_with_children","2546SV","income_9_10"
103,5,"BU05183284","couple_with_children","2546EH","income_1_10"
104,5,"BU05183284","couple_with_children","2546EH","income_7_10"
105,4,"BU05183284","single-parent","2546SL","income_2_10"
106,4,"BU05183284","single-parent","2546VB","income_7_10"
107,5,"BU05183284","couple_with_children","2546SZ","income_6_10"
108,5,"BU05183284","couple_with_children","2546VK","income_9_10"
109,5,"BU05183284","couple_with_children","2546AA","income_6_10"
110,5,"BU05183284","couple_with_children","2546BR","income_10_10"
111,4,"BU05183284","single-parent","2546BE","income_1_10"
112,5,"BU05183284","couple_with_children","2546AS","income_8_10"
113,5,"BU05183284","couple_with_children","2546RM","income_9_10"
114,5,"BU05183284","couple_with_children","2546XE","income_10_10"
115,5,"BU05183284","couple_with_children","2546VH","income_6_10"
116,5,"BU05183284","couple_with_children","2546SJ","income_4_10"
117,5,"BU05183284","couple_with_children","2546BD","income_2_10"
118,5,"BU05183284","couple_with_children","2545CN","income_9_10"
119,5,"BU05183284","couple_with_children","2546VM","income_5_10"
120,5,"BU05183284","couple_with_children","2546SZ","income_10_10"
121,5,"BU05183284","couple_with_children","2546EL","income_9_10"
122,5,"BU05183284","couple_with_children","2546BS","income_1_10"
123,5,"BU05183284","couple_with_children","2546RK","income_5_10"
124,4,"BU05183284","single-parent","2546CL","income_7_10"
125,5,"BU05183284","couple_with_children","2546RH","income_6_10"
126,5,"BU05183284","couple_with_children","2546CK","income_3_10"
127,5,"BU05183284","couple_with_children","2546XW","income_4_10"
128,4,"BU05183284","single-parent","2546TV","income_2_10"
129,4,"BU05183284","single-parent","2546TJ","income_2_10"
130,5,"BU05183284","couple_with_children","2546CZ","income_7_10"
131,5,"BU05183284","couple_with_children","2546AD","income_6_10"
132,5,"BU05183284","couple_with_children","2545AB","income_5_10"
133,5,"BU05183284","couple_with_children","2546VK","income_6_10"
134,4,"BU05183284","single-parent","2546XC","income_2_10"
135,5,"BU05183284","couple_with_children","2545CZ","income_2_10"
136,5,"BU05183284","couple_with_children","2545CZ","income_1_10"
137,4,"BU05183284","single-parent","2545EV","income_1_10"
138,5,"BU05183284","couple_with_children","2546SV","income_10_10"
139,5,"BU05183284","couple_with_children","2546VX","income_8_10"
140,4,"BU05183284","single-parent","2546CT","income_1_10"
141,5,"BU05183284","couple_with_children","2546RJ","income_5_10"
142,5,"BU05183284","couple_with_children","2546SZ","income_3_10"
143,4,"BU05183284","single-parent","2546EA","income_9_10"
144,5,"BU05183284","couple_with_children","2546AN","income_8_10"
145,5,"BU05183284","couple_with_children","2546VD","income_6_10"
146,5,"BU05183284","couple_with_children","2545CD","income_4_10"
147,4,"BU05183284","single-parent","2546EG","income_2_10"
148,5,"BU05183284","couple_with_children","2546VB","income_7_10"
149,5,"BU05183284","couple_with_children","2546ES","income_8_10"
150,5,"BU05183284","couple_with_children","2546AW","income_1_10"
151,5,"BU05183284","couple_with_children","2546CW","income_8_10"
152,5,"BU05183284","couple_with_children","2546CK","income_2_10"
153,4,"BU05183284","single-parent","2545CZ","income_4_10"
154,4,"BU05183284","single-parent","2546XJ","income_3_10"
155,5,"BU05183284","couple_with_children","2546VR","income_9_10"
156,4,"BU05183284","single-parent","2545ED","income_10_10"
157,5,"BU05183284","couple_with_children","2546SW","income_1_10"
158,5,"BU05183284","couple_with_children","2546BJ","income_5_10"
159,5,"BU05183284","couple_with_children","2545CG","income_1_10"
160,4,"BU05183284","single-parent","2546RK","income_2_10"
161,5,"BU05183284","couple_with_children","2546TM","income_3_10"
162,5,"BU05183284","couple_with_children","2546BN","income_7_10"
163,5,"BU05183284","couple_with_children","2546SX","income_1_10"
164,5,"BU05183284","couple_with_children","2546RH","income_7_10"
165,5,"BU05183284","couple_with_children","2545ER","income_10_10"
166,5,"BU05183284","couple_with_children","2546AE","income_1_10"
167,4,"BU05183284","single-parent","2546TT","income_4_10"
168,4,"BU05183284","single-parent","2546VE","income_2_10"
169,5,"BU05183284","couple_with_children","2546VA","income_6_10"
170,5,"BU05183284","couple_with_children","2545CT","income_7_10"
171,5,"BU05183284","couple_with_children","2545EW","income_9_10"
172,4,"BU05183284","single-parent","2546AN","income_4_10"
173,4,"BU05183284","single-parent","2546VS","income_4_10"
174,5,"BU05183284","couple_with_children","2546CT","income_4_10"
175,5,"BU05183284","couple_with_children","2546AV","income_10_10"
176,4,"BU05183284","single-parent","2545CS","income_2_10"
177,4,"BU05183284","single-parent","2546SZ","income_4_10"
178,5,"BU05183284","couple_with_children","2546VD","income_8_10"
179,4,"BU05183284","single-parent","2545EV","income_1_10"
180,5,"BU05183284","couple_with_children","2545EV","income_5_10"
181,5,"BU05183284","couple_with_children","2546BC","income_6_10"
182,5,"BU05183284","couple_with_children","2546RM","income_1_10"
183,5,"BU05183284","couple_with_children","2546BD","income_8_10"
184,5,"BU05183284","couple_with_children","2546SN","income_10_10"
185,5,"BU05183284","couple_with_children","2546CT","income_8_10"
186,4,"BU05183284","single-parent","2546XG","income_5_10"
187,5,"BU05183284","couple_with_children","2546AA","income_8_10"
188,4,"BU05183284","single-parent","2546AG","income_7_10"
189,4,"BU05183284","single-parent","2545CZ","income_4_10"
190,4,"BU05183284","single-parent","2546XN","income_1_10"
191,5,"BU05183284","couple_with_children","2546CS","income_8_10"
192,4,"BU05183284","single-parent","2546TT","income_2_10"
193,5,"BU05183284","couple_with_children","2546RW","income_1_10"
194,5,"BU05183284","couple_with_children","2546CR","income_1_10"
195,4,"BU05183284","single-parent","2546AC","income_5_10"
196,5,"BU05183284","couple_with_children","2546ST","income_7_10"
197,5,"BU05183284","couple_with_children","2545CZ","income_9_10"
198,5,"BU05183284","couple_with_children","2545AV","income_8_10"
199,5,"BU05183284","couple_with_children","2546CR","income_8_10"
200,5,"BU05183284","couple_with_children","2546EP","income_4_10"
201,5,"BU05183284","couple_with_children","2546AG","income_8_10"
202,5,"BU05183284","couple_with_children","2546TV","income_1_10"
203,4,"BU05183284","single-parent","2546TK","income_3_10"
204,5,"BU05183284","couple_with_children","2546VE","income_2_10"
205,5,"BU05183284","couple_with_children","2546TZ","income_8_10"
206,5,"BU05183284","couple_with_children","2546XC","income_10_10"
207,4,"BU05183284","single-parent","2546VR","income_2_10"
208,5,"BU05183284","couple_with_children","2545CP","income_7_10"
209,5,"BU05183284","couple_with_children","2546XS","income_6_10"
210,4,"BU05183284","single-parent","2546VE","income_9_10"
211,4,"BU05183284","single-parent","2546BN","income_7_10"
212,5,"BU05183284","couple_with_children","2546XJ","income_4_10"
213,5,"BU05183284","couple_with_children","2546EE","income_9_10"
214,4,"BU05183284","single-parent","2546TX","income_4_10"
215,5,"BU05183284","couple_with_children","2546VD","income_4_10"
216,5,"BU05183284","couple_with_children","2546TE","income_1_10"
217,5,"BU05183284","couple_with_children","2545AV","income_2_10"
218,5,"BU05183284","couple_with_children","2546EC","income_7_10"
219,5,"BU05183284","couple_with_children","2546SM","income_1_10"
220,5,"BU05183284","couple_with_children","2546AJ","income_10_10"
221,4,"BU05183284","single-parent","2546BR","income_7_10"
222,5,"BU05183284","couple_with_children","2545AV","income_1_10"
223,4,"BU05183284","single-parent","2546BP","income_1_10"
224,5,"BU05183284","couple_with_children","2546VM","income_4_10"
225,5,"BU05183284","couple_with_children","2546TR","income_10_10"
226,5,"BU05183284","couple_with_children","2546AH","income_6_10"
227,4,"BU05183284","single-parent","2546CK","income_2_10"
228,5,"BU05183284","couple_with_children","2546TR","income_8_10"
229,5,"BU05183284","couple_with_children","2546BS","income_1_10"
230,5,"BU05183284","couple_with_children","2546VM","income_10_10"
231,4,"BU05183284","single-parent","2546CL","income_7_10"
232,4,"BU05183284","single-parent","2545ES","income_5_10"
233,5,"BU05183284","couple_with_children","2546AV","income_7_10"
234,4,"BU05183284","single-parent","2545CZ","income_6_10"
235,5,"BU05183284","couple_with_children","2545EG","income_10_10"
236,5,"BU05183284","couple_with_children","2546CZ","income_5_10"
237,4,"BU05183284","single-parent","2546VB","income_1_10"
238,4,"BU05183284","single-parent","2546AJ","income_5_10"
239,5,"BU05183284","couple_with_children","2546TW","income_3_10"
240,5,"BU05183284","couple_with_children","2546CK","income_9_10"
241,5,"BU05183284","couple_with_children","2545EE","income_10_10"
242,5,"BU05183284","couple_with_children","2546TM","income_10_10"
243,4,"BU05183284","single-parent","2546VL","income_4_10"
244,4,"BU05183284","single-parent","2546TM","income_2_10"
245,5,"BU05183284","couple_with_children","2546EC","income_4_10"
246,4,"BU05183284","single-parent","2546XW","income_4_10"
247,5,"BU05183284","couple_with_children","2545EV","income_8_10"
248,5,"BU05183284","couple_with_children","2546EN","income_1_10"
249,5,"BU05183284","couple_with_children","2546SZ","income_10_10"
250,5,"BU05183284","couple_with_children","2545ES","income_10_10"
251,4,"BU05183284","single-parent","2546RN","income_1_10"
252,4,"BU05183284","single-parent","2546RK","income_5_10"
253,4,"BU05183284","single-parent","2546VX","income_10_10"
254,5,"BU05183284","couple_with_children","2546VW","income_10_10"
255,5,"BU05183284","couple_with_children","2545CR","income_10_10"
256,5,"BU05183284","couple_with_children","2546TN","income_2_10"
257,5,"BU05183284","couple_with_children","2546BJ","income_9_10"
258,5,"BU05183284","couple_with_children","2545EC","income_5_10"
259,4,"BU05183284","single-parent","2546VS","income_3_10"
260,4,"BU05183284","single-parent","2546TN","income_1_10"
261,5,"BU05183284","couple_with_children","2546BB","income_1_10"
262,5,"BU05183284","couple_with_children","2546RR","income_6_10"
263,4,"BU05183284","single-parent","2546TR","income_2_10"
264,5,"BU05183284","couple_with_children","2546BS","income_1_10"
265,5,"BU05183284","couple_with_children","2546SX","income_8_10"
266,4,"BU05183284","single-parent","2546XE","income_2_10"
267,5,"BU05183284","couple_with_children","2546BH","income_4_10"
268,5,"BU05183284","couple_with_children","2546XW","income_4_10"
269,4,"BU05183284","single-parent","2546SZ","income_2_10"
270,5,"BU05183284","couple_with_children","2545CG","income_1_10"
271,4,"BU05183284","single-parent","2546SZ","income_3_10"
272,5,"BU05183284","couple_with_children","2545CZ","income_2_10"
273,5,"BU05183284","couple_with_children","2545EV","income_7_10"
274,5,"BU05183284","couple_with_children","2545CG","income_1_10"
275,5,"BU05183284","couple_with_children","2546XW","income_7_10"
276,5,"BU05183284","couple_with_children","2546AB","income_9_10"
277,4,"BU05183284","single-parent","2546BA","income_3_10"
278,4,"BU05183284","single-parent","2546EM","income_7_10"
279,5,"BU05183284","couple_with_children","2546SN","income_1_10"
280,5,"BU05183284","couple_with_children","2545EJ","income_9_10"
281,5,"BU05183284","couple_with_children","2546TZ","income_5_10"
282,4,"BU05183284","single-parent","2546SW","income_6_10"
283,4,"BU05183284","single-parent","2546CT","income_1_10"
284,5,"BU05183284","couple_with_children","2546RK","income_7_10"
285,5,"BU05183284","couple_with_children","2546AW","income_10_10"
286,5,"BU05183284","couple_with_children","2546XG","income_2_10"
287,5,"BU05183284","couple_with_children","2546TR","income_8_10"
288,4,"BU05183284","single-parent","2545EG","income_8_10"
289,4,"BU05183284","single-parent","2546RK","income_4_10"
290,5,"BU05183284","couple_with_children","2546VS","income_6_10"
291,5,"BU05183284","couple_with_children","2546AG","income_5_10"
292,5,"BU05183284","couple_with_children","2546TX","income_9_10"
293,5,"BU05183284","couple_with_children","2546SX","income_2_10"
294,5,"BU05183284","couple_with_children","2541XG","income_5_10"
295,4,"BU05183284","single-parent","2546VW","income_6_10"
296,5,"BU05183284","couple_with_children","2546SN","income_4_10"
297,5,"BU05183284","couple_with_children","2546SR","income_1_10"
298,5,"BU05183284","couple_with_children","2545CT","income_5_10"
299,4,"BU05183284","single-parent","2545ER","income_2_10"
300,4,"BU05183284","single-parent","2545EW","income_1_10"
301,4,"BU05183284","single-parent","2545CZ","income_2_10"
302,4,"BU05183284","single-parent","2546SL","income_6_10"
303,5,"BU05183284","couple_with_children","2546BA","income_2_10"
304,5,"BU05183284","couple_with_children","2545EP","income_10_10"
305,5,"BU05183284","couple_with_children","2546BC","income_6_10"
306,5,"BU05183284","couple_with_children","2546AS","income_9_10"
307,5,"BU05183284","couple_with_children","2546EE","income_5_10"
308,5,"BU05183284","couple_with_children","2546XG","income_4_10"
309,4,"BU05183284","single-parent","2546XR","income_7_10"
310,5,"BU05183284","couple_with_children","2545ER","income_6_10"
311,4,"BU05183284","single-parent","2546AV","income_1_10"
312,5,"BU05183284","couple_with_children","2545CV","income_4_10"
313,5,"BU05183284","couple_with_children","2546XN","income_6_10"
314,4,"BU05183284","single-parent","2546RP","income_1_10"
315,4,"BU05183284","single-parent","2545AA","income_5_10"
316,5,"BU05183284","couple_with_children","2545CZ","income_9_10"
317,5,"BU05183284","couple_with_children","2545CP","income_3_10"
318,5,"BU05183284","couple_with_children","2546AT","income_10_10"
319,4,"BU05183284","single-parent","2546VV","income_1_10"
320,4,"BU05183284","single-parent","2546RG","income_2_10"
321,4,"BU05183284","single-parent","2546VX","income_8_10"
322,5,"BU05183284","couple_with_children","2546BG","income_3_10"
323,5,"BU05183284","couple_with_children","2546SG","income_6_10"
324,5,"BU05183284","couple_with_children","2546AT","income_10_10"
325,5,"BU05183284","couple_with_children","2546BD","income_5_10"
326,4,"BU05183284","single-parent","2546XJ","income_4_10"
327,5,"BU05183284","couple_with_children","2546CV","income_8_10"
328,4,"BU05183284","single-parent","2546SE","income_6_10"
329,4,"BU05183284","single-parent","2546CV","income_4_10"
330,4,"BU05183284","single-parent","2546TX","income_1_10"
331,4,"BU05183284","single-parent","2545CX","income_5_10"
332,5,"BU05183284","couple_with_children","2546AC","income_7_10"
333,4,"BU05183284","single-parent","2546RH","income_2_10"
334,4,"BU05183284","single-parent","2546EA","income_1_10"
335,5,"BU05183284","couple_with_children","2546BM","income_5_10"
336,5,"BU05183284","couple_with_children","2546SM","income_1_10"
337,5,"BU05183284","couple_with_children","2546RK","income_6_10"
338,5,"BU05183284","couple_with_children","2545CZ","income_8_10"
339,5,"BU05183284","couple_with_children","2545CZ","income_9_10"
340,4,"BU05183284","single-parent","2546RV","income_3_10"
341,5,"BU05183284","couple_with_children","2545EH","income_9_10"
342,4,"BU05183284","single-parent","2545EK","income_2_10"
343,5,"BU05183284","couple_with_children","2546AN","income_4_10"
344,5,"BU05183284","couple_with_children","2546CK","income_10_10"
345,5,"BU05183284","couple_with_children","2545CG","income_9_10"
346,4,"BU05183284","single-parent","2546BP","income_2_10"
347,4,"BU05183284","single-parent","2546CN","income_7_10"
348,5,"BU05183284","couple_with_children","2545ER","income_1_10"
349,5,"BU05183284","couple_with_children","2546TE","income_1_10"
350,5,"BU05183284","couple_with_children","2545CZ","income_7_10"
351,3,"BU05183284","single-parent","2546SM","income_2_10"
352,4,"BU05183284","couple_with_children","2545CZ","income_1_10"
353,4,"BU05183284","couple_with_children","2545ED","income_1_10"
354,4,"BU05183284","couple_with_children","2546VB","income_10_10"
355,4,"BU05183284","couple_with_children","2546EK","income_9_10"
356,4,"BU05183284","couple_with_children","2546TZ","income_6_10"
357,4,"BU05183284","couple_with_children","2545EN","income_10_10"
358,4,"BU05183284","couple_with_children","2546SW","income_2_10"
359,3,"BU05183284","single-parent","2546RT","income_10_10"
360,3,"BU05183284","single-parent","2546AG","income_2_10"
361,4,"BU05183284","couple_with_children","2546EL","income_7_10"
362,3,"BU05183284","single-parent","2546TG","income_1_10"
363,4,"BU05183284","couple_with_children","2546VS","income_4_10"
364,3,"BU05183284","single-parent","2546CW","income_6_10"
365,4,"BU05183284","couple_with_children","2545EG","income_7_10"
366,3,"BU05183284","single-parent","2546VV","income_5_10"
367,3,"BU05183284","single-parent","2546VJ","income_5_10"
368,4,"BU05183284","couple_with_children","2546BR","income_10_10"
369,3,"BU05183284","single-parent","2546XX","income_2_10"
370,4,"BU05183284","couple_with_children","2545ET","income_8_10"
371,4,"BU05183284","couple_with_children","2546XC","income_8_10"
372,4,"BU05183284","couple_with_children","2546RT","income_6_10"
373,4,"BU05183284","couple_with_children","2546SM","income_10_10"
374,3,"BU05183284","single-parent","2546CK","income_2_10"
375,4,"BU05183284","couple_with_children","2546AD","income_1_10"
376,3,"BU05183284","single-parent","2546BC","income_7_10"
377,4,"BU05183284","couple_with_children","2546SN","income_8_10"
378,3,"BU05183284","single-parent","2546SM","income_1_10"
379,3,"BU05183284","single-parent","2546RV","income_4_10"
380,4,"BU05183284","couple_with_children","2545CX","income_4_10"
381,3,"BU05183284","single-parent","2546VV","income_3_10"
382,4,"BU05183284","couple_with_children","2546CX","income_3_10"
383,4,"BU05183284","couple_with_children","2546CK","income_9_10"
384,3,"BU05183284","single-parent","2546XP","income_3_10"
385,4,"BU05183284","couple_with_children","2546SW","income_9_10"
386,3,"BU05183284","single-parent","2546VX","income_5_10"
387,4,"BU05183284","couple_with_children","2546RP","income_5_10"
388,3,"BU05183284","single-parent","2546BA","income_7_10"
389,4,"BU05183284","couple_with_children","2546TR","income_1_10"
390,3,"BU05183284","single-parent","2545CM","income_6_10"
391,4,"BU05183284","couple_with_children","2546XM","income_10_10"
392,3,"BU05183284","single-parent","2546RR","income_10_10"
393,4,"BU05183284","couple_with_children","2545CP","income_9_10"
394,3,"BU05183284","single-parent","2546EK","income_1_10"
395,4,"BU05183284","couple_with_children","2546RX","income_8_10"
396,4,"BU05183284","couple_with_children","2546TM","income_10_10"
397,3,"BU05183284","single-parent","2546BP","income_5_10"
398,4,"BU05183284","couple_with_children","2545AV","income_2_10"
399,4,"BU05183284","couple_with_children","2546XR","income_7_10"
400,4,"BU05183284","couple_with_children","2546BP","income_1_10"
401,3,"BU05183284","single-parent","2546TW","income_2_10"
402,4,"BU05183284","couple_with_children","2546EM","income_3_10"
403,4,"BU05183284","couple_with_children","2546TH","income_9_10"
404,4,"BU05183284","couple_with_children","2546XM","income_5_10"
405,4,"BU05183284","couple_with_children","2546XJ","income_6_10"
406,4,"BU05183284","couple_with_children","2546CW","income_10_10"
407,3,"BU05183284","single-parent","2546CK","income_5_10"
408,3,"BU05183284","single-parent","2546RM","income_1_10"
409,3,"BU05183284","single-parent","2546AC","income_1_10"
410,4,"BU05183284","couple_with_children","2546AL","income_3_10"
411,4,"BU05183284","couple_with_children","2546RK","income_1_10"
412,3,"BU05183284","single-parent","2546ED","income_9_10"
413,4,"BU05183284","couple_with_children","2546AP","income_5_10"
414,4,"BU05183284","couple_with_children","2545CZ","income_9_10"
415,3,"BU05183284","single-parent","2546TR","income_1_10"
416,4,"BU05183284","couple_with_children","2546AP","income_9_10"
417,4,"BU05183284","couple_with_children","2545CT","income_10_10"
418,3,"BU05183284","single-parent","2546BP","income_1_10"
419,4,"BU05183284","couple_with_children","2545EP","income_1_10"
420,3,"BU05183284","single-parent","2545CZ","income_2_10"
421,4,"BU05183284","couple_with_children","2545CZ","income_10_10"
422,4,"BU05183284","couple_with_children","2546AS","income_7_10"
423,3,"BU05183284","single-parent","2546VP","income_3_10"
424,3,"BU05183284","single-parent","2546AC","income_2_10"
425,4,"BU05183284","couple_with_children","2546RV","income_7_10"
426,4,"BU05183284","couple_with_children","2546CX","income_9_10"
427,4,"BU05183284","couple_with_children","2546EB","income_3_10"
428,4,"BU05183284","couple_with_children","2546EB","income_6_10"
429,4,"BU05183284","couple_with_children","2546XT","income_9_10"
430,4,"BU05183284","couple_with_children","2546TH","income_10_10"
431,4,"BU05183284","couple_with_children","2546ES","income_9_10"
432,4,"BU05183284","couple_with_children","2546TR","income_7_10"
433,4,"BU05183284","couple_with_children","2546AA","income_7_10"
434,3,"BU05183284","single-parent","2545EE","income_8_10"
435,4,"BU05183284","couple_with_children","2546CK","income_5_10"
436,4,"BU05183284","couple_with_children","2546VH","income_7_10"
437,3,"BU05183284","single-parent","2545CZ","income_2_10"
438,4,"BU05183284","couple_with_children","2545EK","income_5_10"
439,3,"BU05183284","single-parent","2546VC","income_3_10"
440,4,"BU05183284","couple_with_children","2546VC","income_10_10"
441,4,"BU05183284","couple_with_children","2546CS","income_1_10"
442,3,"BU05183284","single-parent","2546BL","income_5_10"
443,4,"BU05183284","couple_with_children","2546VK","income_8_10"
444,4,"BU05183284","couple_with_children","2546XJ","income_4_10"
445,4,"BU05183284","couple_with_children","2546XX","income_4_10"
446,3,"BU05183284","single-parent","2545EB","income_4_10"
447,3,"BU05183284","single-parent","2545EJ","income_7_10"
448,4,"BU05183284","couple_with_children","2546SR","income_8_10"
449,4,"BU05183284","couple_with_children","2546VZ","income_3_10"
450,4,"BU05183284","couple_with_children","2546BD","income_1_10"
451,4,"BU05183284","couple_with_children","2541XG","income_5_10"
452,4,"BU05183284","couple_with_children","2545CX","income_2_10"
453,4,"BU05183284","couple_with_children","2546ST","income_10_10"
454,4,"BU05183284","couple_with_children","2545ER","income_8_10"
455,4,"BU05183284","couple_with_children","2546XC","income_4_10"
456,4,"BU05183284","couple_with_children","2546TS","income_9_10"
457,4,"BU05183284","couple_with_children","2546ST","income_7_10"
458,4,"BU05183284","couple_with_children","2546AG","income_9_10"
459,4,"BU05183284","couple_with_children","2545CZ","income_6_10"
460,3,"BU05183284","single-parent","2546CR","income_2_10"
461,4,"BU05183284","couple_with_children","2545EB","income_6_10"
462,4,"BU05183284","couple_with_children","2546TR","income_2_10"
463,4,"BU05183284","couple_with_children","2546AW","income_8_10"
464,3,"BU05183284","single-parent","2546RK","income_4_10"
465,4,"BU05183284","couple_with_children","2546BB","income_3_10"
466,4,"BU05183284","couple_with_children","2546RL","income_3_10"
467,4,"BU05183284","couple_with_children","2546CS","income_9_10"
468,4,"BU05183284","couple_with_children","2546EM","income_7_10"
469,4,"BU05183284","couple_with_children","2546RM","income_10_10"
470,4,"BU05183284","couple_with_children","2545CZ","income_8_10"
471,4,"BU05183284","couple_with_children","2546AT","income_2_10"
472,4,"BU05183284","couple_with_children","2545EV","income_1_10"
