"ID";"WijkenEnBuurten";"SoortRegio_2";"Codering_3";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"WestersTotaal_17";"NietWestersTotaal_18";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"957";"WK036303  ";"Wijk      ";"WK036303  ";"    5380";"    2920";"    2460";"     420";"     730";"    2080";"    1365";"     800";"    1865";"     690";"    3355";"    2015";"     890";"     445";"     1.6";"       .";"       .";"       ."
"958";"BU03630300";"Buurt     ";"BU03630300";"     800";"     445";"     350";"      75";"      95";"     325";"     210";"     105";"     305";"     140";"     480";"     265";"     135";"      75";"     1.7";"       .";"       .";"       ."
"959";"BU03630301";"Buurt     ";"BU03630301";"     145";"      85";"      60";"      15";"      25";"      60";"      30";"      30";"      55";"      15";"      90";"      50";"      30";"       5";"     1.6";"       .";"       .";"       ."
"960";"BU03630302";"Buurt     ";"BU03630302";"    1405";"     720";"     685";"     105";"     205";"     460";"     390";"     260";"     425";"     130";"     865";"     520";"     215";"     125";"     1.6";"       .";"       .";"       ."
"961";"BU03630303";"Buurt     ";"BU03630303";"    1530";"     805";"     720";"     150";"     190";"     500";"     450";"     250";"     450";"     190";"     925";"     560";"     220";"     145";"     1.7";"       .";"       .";"       ."
"962";"BU03630304";"Buurt     ";"BU03630304";"     455";"     265";"     185";"      25";"      50";"     270";"      85";"      45";"     165";"     100";"     315";"     205";"      90";"      20";"     1.4";"       .";"       .";"       ."
"963";"BU03630305";"Buurt     ";"BU03630305";"     395";"     220";"     170";"      25";"      95";"     230";"      50";"      10";"     205";"      75";"     275";"     175";"      75";"      20";"     1.4";"       .";"       .";"       ."
"964";"BU03630306";"Buurt     ";"BU03630306";"     640";"     365";"     275";"      45";"      80";"     250";"     165";"     110";"     265";"      50";"     395";"     230";"     110";"      45";"     1.6";"       .";"       .";"       ."
"965";"WK036304  ";"Wijk      ";"WK036304  ";"    9625";"    5000";"    4620";"     745";"    1130";"    3225";"    2680";"    1855";"    2750";"    1525";"    6280";"    3970";"    1455";"     845";"     1.5";"       .";"       .";"       ."
"966";"BU03630400";"Buurt     ";"BU03630400";"     460";"     265";"     195";"      60";"      30";"     195";"     130";"      50";"     120";"     125";"     255";"     120";"      80";"      50";"     1.8";"       .";"       .";"       ."
"967";"BU03630401";"Buurt     ";"BU03630401";"     720";"     355";"     360";"      55";"     120";"     275";"     170";"     110";"     220";"      60";"     440";"     250";"     130";"      60";"     1.6";"       .";"       .";"       ."
"968";"BU03630402";"Buurt     ";"BU03630402";"     985";"     485";"     500";"     100";"     225";"     350";"     225";"     100";"     350";"     160";"     625";"     380";"     155";"      90";"     1.6";"       .";"       .";"       ."
"969";"BU03630403";"Buurt     ";"BU03630403";"    1075";"     555";"     520";"      95";"     110";"     420";"     295";"     165";"     300";"     135";"     685";"     400";"     185";"      95";"     1.6";"       .";"       .";"       ."
"970";"BU03630404";"Buurt     ";"BU03630404";"    1595";"     770";"     820";"     120";"     140";"     400";"     500";"     450";"     380";"     245";"    1025";"     680";"     195";"     150";"     1.5";"       .";"       .";"       ."
"971";"BU03630405";"Buurt     ";"BU03630405";"    1230";"     660";"     570";"      85";"     125";"     460";"     365";"     210";"     365";"     260";"     805";"     490";"     200";"     110";"     1.5";"       .";"       .";"       ."
"972";"BU03630406";"Buurt     ";"BU03630406";"    1190";"     605";"     580";"     100";"     140";"     375";"     310";"     280";"     355";"     205";"     800";"     535";"     160";"      95";"     1.5";"       .";"       .";"       ."
"973";"BU03630407";"Buurt     ";"BU03630407";"    1495";"     840";"     650";"      85";"     150";"     470";"     470";"     335";"     410";"     195";"    1035";"     700";"     215";"     115";"     1.4";"       .";"       .";"       ."
"974";"BU03630408";"Buurt     ";"BU03630408";"     860";"     450";"     410";"      65";"     110";"     295";"     230";"     175";"     260";"     150";"     590";"     400";"     125";"      65";"     1.5";"       .";"       .";"       ."
"975";"WK036305  ";"Wijk      ";"WK036305  ";"    9170";"    4615";"    4555";"     890";"     810";"    3060";"    2720";"    1700";"    2380";"    1690";"    5645";"    3375";"    1330";"     940";"     1.6";"       .";"       .";"       ."
"976";"BU03630500";"Buurt     ";"BU03630500";"    1840";"     940";"     900";"     240";"     135";"     540";"     540";"     395";"     420";"     475";"     990";"     450";"     320";"     220";"     1.9";"       .";"       .";"       ."
"977";"BU03630501";"Buurt     ";"BU03630501";"    1475";"     750";"     725";"     100";"     160";"     555";"     415";"     255";"     405";"     220";"     970";"     615";"     230";"     120";"     1.5";"       .";"       .";"       ."
"978";"BU03630502";"Buurt     ";"BU03630502";"    2425";"    1240";"    1185";"     215";"     235";"     820";"     725";"     440";"     640";"     460";"    1490";"     915";"     325";"     245";"     1.6";"       .";"       .";"       ."
"979";"BU03630503";"Buurt     ";"BU03630503";"    2900";"    1410";"    1490";"     305";"     245";"     910";"     900";"     555";"     775";"     430";"    1805";"    1110";"     385";"     305";"     1.6";"       .";"       .";"       ."
"980";"BU03630505";"Buurt     ";"BU03630505";"     350";"     180";"     170";"      30";"      30";"     175";"      95";"      35";"     110";"      70";"     255";"     180";"      40";"      30";"     1.4";"       .";"       .";"       ."
"981";"BU03630506";"Buurt     ";"BU03630506";"     170";"      85";"      80";"      15";"      10";"      70";"      55";"      30";"      35";"      40";"     125";"      95";"      20";"      10";"     1.3";"       .";"       .";"       ."
"982";"WK036306  ";"Wijk      ";"WK036306  ";"   19405";"    9835";"    9565";"    1490";"    1980";"    7260";"    5370";"    3320";"    5480";"    2975";"   12930";"    8475";"    2815";"    1635";"     1.5";"       .";"       .";"       ."
"983";"BU03630600";"Buurt     ";"BU03630600";"    2720";"    1345";"    1370";"     205";"     255";"    1095";"     750";"     425";"     755";"     390";"    1860";"    1230";"     405";"     220";"     1.5";"       .";"       .";"       ."
"984";"BU03630602";"Buurt     ";"BU03630602";"    2965";"    1460";"    1505";"     270";"     325";"    1105";"     785";"     490";"     945";"     395";"    1885";"    1170";"     440";"     275";"     1.6";"       .";"       .";"       ."
"985";"BU03630603";"Buurt     ";"BU03630603";"    1485";"     740";"     745";"     130";"     145";"     545";"     410";"     260";"     365";"     335";"     960";"     590";"     225";"     140";"     1.5";"       .";"       .";"       ."
"986";"BU03630604";"Buurt     ";"BU03630604";"     930";"     530";"     400";"      55";"     125";"     475";"     210";"      80";"     265";"     245";"     725";"     575";"     105";"      45";"     1.3";"       .";"       .";"       ."
"987";"BU03630605";"Buurt     ";"BU03630605";"     200";"     110";"      90";"      15";"      20";"     125";"      35";"      15";"      60";"      45";"     125";"      70";"      40";"      15";"     1.6";"       .";"       .";"       ."
"988";"BU03630606";"Buurt     ";"BU03630606";"    4285";"    2195";"    2090";"     330";"     430";"    1610";"    1170";"     765";"    1270";"     660";"    2815";"    1825";"     630";"     360";"     1.5";"       .";"       .";"       ."
"989";"BU03630607";"Buurt     ";"BU03630607";"     870";"     455";"     410";"      55";"      85";"     325";"     245";"     175";"     250";"     125";"     615";"     430";"     130";"      50";"     1.4";"       .";"       .";"       ."
"990";"BU03630608";"Buurt     ";"BU03630608";"     250";"     120";"     130";"       5";"      55";"     150";"      35";"      15";"      85";"      55";"     165";"      95";"      65";"       5";"     1.5";"       .";"       .";"       ."
"991";"BU03630609";"Buurt     ";"BU03630609";"     670";"     350";"     315";"      35";"      40";"     270";"     145";"     195";"     190";"     115";"     490";"     370";"      90";"      25";"     1.3";"       .";"       .";"       ."
"992";"BU03630610";"Buurt     ";"BU03630610";"    2080";"    1055";"    1020";"     175";"     240";"     655";"     645";"     370";"     535";"     225";"    1315";"     810";"     295";"     210";"     1.6";"       .";"       .";"       ."
"993";"BU03630611";"Buurt     ";"BU03630611";"    2935";"    1460";"    1470";"     225";"     285";"     920";"     960";"     555";"     775";"     395";"    1950";"    1295";"     380";"     275";"     1.5";"       .";"       .";"       ."
"994";"WK036307  ";"Wijk      ";"WK036307  ";"    7325";"    3770";"    3555";"     645";"     895";"    3090";"    1730";"     980";"    2375";"    1030";"    4600";"    2775";"    1195";"     625";"     1.6";"       .";"       .";"       ."
"995";"BU03630700";"Buurt     ";"BU03630700";"     265";"     150";"     110";"      15";"      45";"     145";"      55";"      20";"     100";"      55";"     195";"     135";"      45";"      10";"     1.4";"       .";"       .";"       ."
"996";"BU03630701";"Buurt     ";"BU03630701";"     125";"      65";"      55";"       5";"      30";"      55";"      30";"      15";"      50";"      30";"      90";"      70";"      15";"       5";"     1.4";"       .";"       .";"       ."
"997";"BU03630702";"Buurt     ";"BU03630702";"    1030";"     535";"     495";"      50";"     230";"     535";"     165";"      65";"     390";"     210";"     705";"     440";"     210";"      50";"     1.5";"       .";"       .";"       ."
"998";"BU03630703";"Buurt     ";"BU03630703";"     285";"     150";"     130";"      35";"      35";"     100";"      80";"      45";"      85";"      60";"     185";"     125";"      30";"      25";"     1.5";"       .";"       .";"       ."
"999";"BU03630704";"Buurt     ";"BU03630704";"    2400";"    1175";"    1220";"     265";"     220";"    1090";"     545";"     290";"     790";"     295";"    1465";"     850";"     390";"     220";"     1.6";"       .";"       .";"       ."
"1000";"BU03630705";"Buurt     ";"BU03630705";"    1065";"     570";"     495";"     115";"     130";"     385";"     255";"     195";"     310";"     125";"     605";"     340";"     145";"     120";"     1.8";"       .";"       .";"       ."
"1001";"BU03630706";"Buurt     ";"BU03630706";"    1210";"     625";"     580";"      90";"     140";"     440";"     335";"     215";"     375";"     140";"     770";"     465";"     200";"     105";"     1.6";"       .";"       .";"       ."
"1002";"BU03630707";"Buurt     ";"BU03630707";"     930";"     480";"     445";"      85";"      80";"     350";"     275";"     150";"     280";"     125";"     570";"     335";"     150";"      85";"     1.6";"       .";"       .";"       ."
"1003";"WK036308  ";"Wijk      ";"WK036308  ";"    7540";"    3890";"    3650";"     635";"    1045";"    2780";"    1900";"    1195";"    2115";"    1225";"    4585";"    2895";"    1080";"     605";"     1.5";"       .";"       .";"       ."
"1004";"BU03630800";"Buurt     ";"BU03630800";"    3130";"    1595";"    1530";"     195";"     475";"    1150";"     710";"     610";"     920";"     480";"    2050";"    1365";"     485";"     200";"     1.5";"       .";"       .";"       ."
"1005";"BU03630801";"Buurt     ";"BU03630801";"    2155";"    1145";"    1010";"     195";"     280";"     880";"     595";"     220";"     570";"     480";"    1195";"     740";"     275";"     175";"     1.6";"       .";"       .";"       ."
"1006";"BU03630803";"Buurt     ";"BU03630803";"    1855";"     935";"     920";"     195";"     260";"     580";"     505";"     335";"     525";"     225";"    1095";"     645";"     260";"     185";"     1.6";"       .";"       .";"       ."
"1007";"BU03630804";"Buurt     ";"BU03630804";"     395";"     205";"     190";"      60";"      40";"     175";"      95";"      40";"     100";"      45";"     235";"     140";"      55";"      40";"     1.7";"       .";"       .";"       ."
"1008";"WK036309  ";"Wijk      ";"WK036309  ";"   13710";"    6965";"    6745";"    1400";"    1570";"    4570";"    3960";"    2220";"    2780";"    3685";"    8060";"    4860";"    1675";"    1525";"     1.6";"       .";"       .";"       ."
"1009";"BU03630900";"Buurt     ";"BU03630900";"      80";"      45";"      30";"      10";"       5";"      25";"      35";"      15";"      10";"      20";"      35";"      15";"       5";"      10";"     1.8";"       .";"       .";"       ."
"1010";"BU03630901";"Buurt     ";"BU03630901";"    1685";"     785";"     900";"     160";"     350";"     460";"     355";"     375";"     315";"     415";"    1035";"     645";"     195";"     190";"     1.6";"       .";"       .";"       ."
"1011";"BU03630902";"Buurt     ";"BU03630902";"    2630";"    1465";"    1165";"     230";"     185";"     950";"     900";"     380";"     460";"     995";"    1355";"     815";"     260";"     275";"     1.6";"       .";"       .";"       ."
"1012";"BU03630903";"Buurt     ";"BU03630903";"    1775";"     900";"     875";"     190";"     190";"     645";"     520";"     245";"     330";"     615";"    1040";"     620";"     205";"     215";"     1.7";"       .";"       .";"       ."
"1013";"BU03630904";"Buurt     ";"BU03630904";"    2360";"    1175";"    1180";"     245";"     270";"    1065";"     545";"     245";"     530";"     705";"    1460";"     895";"     310";"     255";"     1.6";"       .";"       .";"       ."
"1014";"BU03630905";"Buurt     ";"BU03630905";"    1295";"     650";"     645";"     265";"     170";"     315";"     430";"     130";"     280";"     280";"     620";"     270";"     135";"     205";"     2.1";"       .";"       .";"       ."
"1015";"BU03630907";"Buurt     ";"BU03630907";"     935";"     445";"     490";"      60";"     110";"     300";"     260";"     220";"     190";"     195";"     620";"     405";"     125";"      85";"     1.5";"       .";"       .";"       ."
"1016";"BU03630908";"Buurt     ";"BU03630908";"    2935";"    1490";"    1440";"     255";"     310";"     825";"     930";"     625";"     680";"     475";"    1885";"    1180";"     420";"     280";"     1.6";"       .";"       .";"       ."
"1017";"WK036310  ";"Wijk      ";"WK036310  ";"     145";"      80";"      60";"      10";"      60";"      55";"      20";"      15";"      50";"      35";"     115";"     100";"       5";"      10";"     1.3";"       .";"       .";"       ."
"1018";"BU03631000";"Buurt     ";"BU03631000";"      95";"      50";"      40";"       5";"      50";"      35";"      10";"       5";"      45";"      25";"      85";"      80";"       0";"       0";"     1.1";"       .";"       .";"       ."
"1019";"BU03631001";"Buurt     ";"BU03631001";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"1020";"BU03631002";"Buurt     ";"BU03631002";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"     1.0";"       .";"       .";"       ."
"1021";"BU03631003";"Buurt     ";"BU03631003";"      30";"      15";"      10";"       5";"       5";"      20";"       5";"      10";"       0";"       5";"      15";"      10";"       0";"       5";"     1.7";"       .";"       .";"       ."
"1022";"BU03631004";"Buurt     ";"BU03631004";"       0";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"     1.0";"       .";"       .";"       ."
"1023";"BU03631005";"Buurt     ";"BU03631005";"       0";"       0";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"     1.0";"       .";"       .";"       ."
"1024";"BU03631006";"Buurt     ";"BU03631006";"       5";"       0";"       0";"       0";"       5";"       5";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"     2.0";"       .";"       .";"       ."
"1025";"BU03631007";"Buurt     ";"BU03631007";"       5";"       0";"       0";"       5";"       0";"       5";"       5";"       5";"       5";"       5";"       0";"       0";"       0";"       0";"     1.8";"       .";"       .";"       ."
"1026";"WK036311  ";"Wijk      ";"WK036311  ";"     855";"     530";"     325";"      10";"     310";"     475";"      60";"      15";"     290";"     350";"     745";"     645";"      85";"      10";"     1.2";"       .";"       .";"       ."
"1027";"BU03631100";"Buurt     ";"BU03631100";"      10";"       5";"       0";"       0";"       5";"      10";"       5";"       0";"       5";"       5";"       5";"       5";"       0";"       0";"     1.1";"       .";"       .";"       ."
"1028";"BU03631102";"Buurt     ";"BU03631102";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"1029";"BU03631103";"Buurt     ";"BU03631103";"     120";"      95";"      25";"       5";"      55";"      40";"      25";"       5";"      30";"      55";"     105";"      95";"       5";"       0";"     1.1";"       .";"       .";"       ."
"1030";"BU03631104";"Buurt     ";"BU03631104";"      25";"      15";"      10";"       5";"       5";"      10";"      10";"      10";"       5";"       0";"      10";"       5";"       0";"       0";"     2.2";"       .";"       .";"       ."
"1031";"BU03631105";"Buurt     ";"BU03631105";"     695";"     410";"     285";"       5";"     250";"     425";"      25";"       5";"     250";"     290";"     615";"     535";"      75";"       0";"     1.1";"       .";"       .";"       ."
"1032";"BU03631107";"Buurt     ";"BU03631107";"       0";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"     1.0";"       .";"       .";"       ."
"1033";"BU03631109";"Buurt     ";"BU03631109";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"1034";"WK036312  ";"Wijk      ";"WK036312  ";"    3685";"    1910";"    1775";"     740";"     190";"    1435";"     965";"     365";"     820";"     500";"    1760";"     705";"     505";"     545";"     2.1";"       .";"       .";"       ."
"1035";"BU03631200";"Buurt     ";"BU03631200";"    3035";"    1555";"    1475";"     685";"     150";"    1275";"     700";"     230";"     650";"     425";"    1365";"     485";"     385";"     485";"     2.2";"       .";"       .";"       ."
"1036";"BU03631201";"Buurt     ";"BU03631201";"     650";"     355";"     295";"      55";"      40";"     160";"     270";"     135";"     170";"      75";"     395";"     215";"     120";"      55";"     1.6";"       .";"       .";"       ."
"1037";"WK036313  ";"Wijk      ";"WK036313  ";"   10655";"    5280";"    5370";"    1360";"     870";"    4135";"    2880";"    1420";"    2080";"    3480";"    6210";"    3680";"    1240";"    1285";"     1.7";"       .";"       .";"       ."
"1038";"BU03631300";"Buurt     ";"BU03631300";"    1995";"     975";"    1015";"     300";"     185";"     760";"     530";"     230";"     420";"     710";"    1060";"     590";"     230";"     235";"     1.7";"       .";"       .";"       ."
"1039";"BU03631301";"Buurt     ";"BU03631301";"    2700";"    1355";"    1345";"     325";"     225";"     950";"     850";"     365";"     480";"     975";"    1675";"    1040";"     290";"     340";"     1.6";"       .";"       .";"       ."
"1040";"BU03631302";"Buurt     ";"BU03631302";"    1030";"     480";"     550";"     125";"      90";"     400";"     280";"     150";"     215";"     280";"     620";"     360";"     140";"     115";"     1.7";"       .";"       .";"       ."
"1041";"BU03631303";"Buurt     ";"BU03631303";"    1705";"     855";"     850";"     205";"     110";"     665";"     365";"     375";"     365";"     415";"     960";"     590";"     195";"     170";"     1.6";"       .";"       .";"       ."
"1042";"BU03631304";"Buurt     ";"BU03631304";"    1260";"     645";"     615";"     165";"     115";"     545";"     330";"     115";"     255";"     405";"     765";"     475";"     135";"     150";"     1.6";"       .";"       .";"       ."
"1043";"BU03631305";"Buurt     ";"BU03631305";"    1950";"     960";"     985";"     250";"     150";"     830";"     535";"     195";"     355";"     695";"    1115";"     610";"     235";"     265";"     1.7";"       .";"       .";"       ."
"1044";"BU03631306";"Buurt     ";"BU03631306";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"1045";"BU03631307";"Buurt     ";"BU03631307";"       5";"       0";"       0";"       0";"       5";"       0";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"     1.3";"       .";"       .";"       ."
"1046";"WK036314  ";"Wijk      ";"WK036314  ";"   12905";"    6425";"    6480";"    1385";"    1165";"    5425";"    3565";"    1375";"    3230";"    3385";"    7885";"    4660";"    1755";"    1460";"     1.6";"       .";"       .";"       ."
"1047";"BU03631400";"Buurt     ";"BU03631400";"    1370";"     685";"     685";"     170";"     135";"     560";"     355";"     165";"     340";"     360";"     825";"     475";"     195";"     150";"     1.7";"       .";"       .";"       ."
"1048";"BU03631401";"Buurt     ";"BU03631401";"     845";"     420";"     420";"      75";"      90";"     220";"     295";"     175";"     190";"     240";"     555";"     370";"      95";"      90";"     1.5";"       .";"       .";"       ."
"1049";"BU03631402";"Buurt     ";"BU03631402";"    1215";"     590";"     620";"     100";"     100";"     380";"     340";"     310";"     245";"     420";"     760";"     455";"     165";"     135";"     1.6";"       .";"       .";"       ."
"1050";"BU03631403";"Buurt     ";"BU03631403";"    3675";"    1835";"    1840";"     400";"     305";"    1680";"    1020";"     280";"     995";"    1005";"    2310";"    1420";"     475";"     410";"     1.6";"       .";"       .";"       ."
"1051";"BU03631404";"Buurt     ";"BU03631404";"    2765";"    1370";"    1395";"     285";"     260";"    1400";"     690";"     140";"     765";"     685";"    1740";"    1075";"     370";"     285";"     1.6";"       .";"       .";"       ."
"1052";"BU03631405";"Buurt     ";"BU03631405";"    3025";"    1510";"    1515";"     370";"     280";"    1195";"     880";"     315";"     700";"     675";"    1680";"     850";"     445";"     380";"     1.8";"       .";"       .";"       ."
"1053";"WK036315  ";"Wijk      ";"WK036315  ";"    2415";"    1155";"    1255";"     285";"     285";"     745";"     790";"     320";"     490";"     640";"    1270";"     635";"     275";"     360";"     1.9";"       .";"       .";"       ."
"1054";"BU03631500";"Buurt     ";"BU03631500";"    1270";"     595";"     670";"     170";"     185";"     275";"     505";"     145";"     245";"     305";"     610";"     255";"     125";"     230";"     2.1";"       .";"       .";"       ."
"1055";"BU03631501";"Buurt     ";"BU03631501";"      15";"       5";"       5";"       5";"       0";"      10";"       5";"       5";"       5";"       0";"       5";"       0";"       0";"       0";"     2.0";"       .";"       .";"       ."
"1056";"BU03631502";"Buurt     ";"BU03631502";"      60";"      30";"      30";"      10";"      10";"      15";"      30";"       5";"      10";"       5";"      30";"      10";"       5";"      10";"     2.1";"       .";"       .";"       ."
"1057";"BU03631503";"Buurt     ";"BU03631503";"    1065";"     515";"     545";"     105";"      90";"     450";"     260";"     170";"     235";"     335";"     620";"     365";"     135";"     115";"     1.7";"       .";"       .";"       ."
"1058";"WK036316  ";"Wijk      ";"WK036316  ";"    8270";"    4180";"    4085";"     775";"     715";"    3745";"    2050";"    1000";"    2180";"    1865";"    5135";"    3110";"    1240";"     775";"     1.6";"       .";"       .";"       ."
"1059";"BU03631600";"Buurt     ";"BU03631600";"    3850";"    1845";"    2000";"     380";"     365";"    1775";"     895";"     450";"    1080";"     765";"    2360";"    1360";"     610";"     380";"     1.6";"       .";"       .";"       ."
"1060";"BU03631601";"Buurt     ";"BU03631601";"    3300";"    1765";"    1530";"     300";"     255";"    1635";"     780";"     340";"     855";"     845";"    2090";"    1365";"     455";"     265";"     1.5";"       .";"       .";"       ."
"1061";"BU03631602";"Buurt     ";"BU03631602";"    1115";"     565";"     550";"     100";"      95";"     340";"     375";"     220";"     245";"     255";"     680";"     380";"     175";"     125";"     1.6";"       .";"       .";"       ."
"1062";"WK036317  ";"Wijk      ";"WK036317  ";"    4645";"    2320";"    2325";"     440";"     405";"    2125";"    1095";"     600";"    1355";"     745";"    2890";"    1675";"     785";"     430";"     1.6";"       .";"       .";"       ."
"1063";"BU03631700";"Buurt     ";"BU03631700";"    4645";"    2320";"    2325";"     440";"     405";"    2125";"    1095";"     600";"    1355";"     745";"    2890";"    1675";"     785";"     430";"     1.6";"       .";"       .";"       ."
"1064";"WK036318  ";"Wijk      ";"WK036318  ";"    6735";"    3445";"    3290";"     725";"     625";"    3295";"    1530";"     575";"    1645";"    1675";"    3890";"    2270";"    1005";"     615";"     1.6";"       .";"       .";"       ."
