"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"RUCultuurRecreatieOverigeDiensten_98";"PersonenautoSTotaal_99";"PersonenautoSBrandstofBenzine_100";"PersonenautoSOverigeBrandstof_101";"PersonenautoSPerHuishouden_102";"PersonenautoSNaarOppervlakte_103";"Motorfietsen_104";"AfstandTotHuisartsenpraktijk_105";"AfstandTotGroteSupermarkt_106";"AfstandTotKinderdagverblijf_107";"AfstandTotSchool_108";"ScholenBinnen3Km_109";"OppervlakteTotaal_110";"OppervlakteLand_111";"OppervlakteWater_112";"MeestVoorkomendePostcode_113";"Dekkingspercentage_114";"MateVanStedelijkheid_115";"Omgevingsadressendichtheid_116"
"1057";"BU03632001";"Amsterdam                               ";"Buurt     ";"BU03632001";"1";"    2515";"    1230";"    1285";"     250";"     235";"     835";"     780";"     430";"    1690";"     530";"     245";"      60";"     610";"     415";"      60";"      30";"     100";"      40";"     190";"      25";"      12";"      15";"       7";"    1605";"    1035";"     305";"     260";"     1.6";"   15347";"    1529";"     532";"       1";"      99";"      91";"       9";"      27";"      73";"      53";"      20";"       1";"      91";"       9";"    2050";"    2020";"    4980";"       .";"       .";"       .";"    1790";"    2610";"     900";"     890";"    2520";"       .";"       .";"       .";"     810";"    1100";"       .";"     260";"     430";"    1430";"      70";"      70";"      30";"    2200";"    42.5";"    37.0";"    37.9";"    30.7";"    34.2";"    53.6";"    19.5";"    15.5";"    15.4";"    19.6";"    22.6";"    20.1";"      90";"     110";"      40";"     390";"      35";"     8.3";"     190";"      76";"     685";"       0";"      25";"      80";"      90";"      45";"     245";"     205";"     590";"     475";"     110";"     0.4";"    3587";"      65";"     0.2";"     0.3";"     0.2";"     0.7";"    48.0";"      17";"      16";"       0";"      1054";"       1";"       1";"   10400"
"1058";"BU03632002";"Amsterdam                               ";"Buurt     ";"BU03632002";"1";"    2305";"    1120";"    1180";"     280";"     210";"    1110";"     550";"     160";"    1780";"     375";"     130";"      25";"     635";"     310";"      25";"      25";"      45";"      20";"     200";"      25";"      13";"       5";"       3";"    1410";"     840";"     325";"     245";"     1.6";"   34263";"    1346";"     444";"       0";"     100";"      94";"       6";"      39";"      60";"      16";"      44";"       0";"     100";"       0";"    1830";"    1830";"       .";"       .";"       .";"       .";"    1630";"    2140";"     820";"     820";"       .";"       .";"       .";"       .";"     780";"     900";"       .";"     200";"     420";"    1340";"      80";"      77";"      23";"    1900";"    52.3";"    44.4";"    27.3";"    39.1";"    38.9";"    42.3";"    24.1";"    10.5";"    10.3";"    12.3";"    14.1";"    27.0";"      60";"      50";"      40";"     140";"      20";"     4.8";"      75";"      32";"     450";"       0";"      25";"      65";"      45";"      40";"     185";"      95";"     475";"     390";"      85";"     0.3";"    7061";"      50";"     0.3";"     0.2";"     0.2";"     0.4";"    47.5";"       7";"       7";"       0";"      1054";"       1";"       1";"   10331"
"1059";"WK036321  ";"Amsterdam                               ";"Wijk      ";"WK036321  ";"1";"    7915";"    3855";"    4055";"     850";"     760";"    3905";"    1710";"     700";"    5860";"    1430";"     510";"     120";"    2160";"    1115";"     135";"      65";"     165";"     110";"     645";"     135";"      17";"      35";"       4";"    4830";"    2845";"    1185";"     790";"     1.6";"   26562";"    4604";"     447";"       1";"      99";"      93";"       7";"      34";"      65";"      19";"      46";"       0";"     100";"       0";"    1910";"    1900";"    3370";"       .";"       .";"       .";"    1740";"    2200";"     890";"     880";"    1940";"       .";"       .";"       .";"     850";"     970";"       .";"     650";"    1470";"    4800";"      78";"      76";"      24";"    6600";"    49.2";"    42.3";"    28.9";"    37.2";"    36.9";"    44.1";"    24.0";"     9.0";"     8.7";"    11.3";"    13.7";"    23.7";"     180";"     280";"     130";"     630";"      75";"     5.7";"     370";"      47";"    1540";"       0";"      65";"     210";"     190";"      95";"     620";"     360";"    1610";"    1305";"     310";"     0.3";"    5406";"     180";"     0.5";"     0.3";"     0.1";"     0.3";"    47.9";"      31";"      30";"       1";"         .";"       .";"       1";"    9321"
"1060";"BU03632100";"Amsterdam                               ";"Buurt     ";"BU03632100";"1";"    5710";"    2810";"    2895";"     605";"     495";"    2980";"    1225";"     420";"    4300";"     985";"     365";"      70";"    1605";"     835";"     120";"      45";"     105";"      95";"     475";"      95";"      17";"      20";"       4";"    3555";"    2110";"     885";"     555";"     1.6";"   29019";"    3374";"     415";"       0";"     100";"      94";"       6";"      32";"      67";"      20";"      48";"       0";"     100";"       0";"    1840";"    1840";"       .";"       .";"       .";"       .";"    1730";"    2050";"     860";"     850";"       .";"       .";"       .";"       .";"     840";"     890";"       .";"     470";"    1070";"    3490";"      79";"      77";"      23";"    4900";"    48.0";"    41.5";"    28.6";"    37.1";"    36.3";"    44.0";"    23.1";"     9.7";"     8.9";"    11.7";"    14.2";"    20.6";"     160";"     160";"     110";"     380";"      55";"     6.1";"     195";"      34";"    1120";"       0";"      55";"     145";"     145";"      75";"     440";"     260";"    1145";"     930";"     210";"     0.3";"    5809";"     135";"     0.4";"     0.3";"     0.1";"     0.2";"    48.0";"      21";"      20";"       1";"      1054";"       1";"       1";"    9560"
"1061";"BU03632101";"Amsterdam                               ";"Buurt     ";"BU03632101";"1";"    2205";"    1040";"    1160";"     250";"     265";"     925";"     490";"     285";"    1560";"     450";"     150";"      55";"     555";"     280";"      15";"      15";"      65";"      20";"     170";"      35";"      17";"      10";"       5";"    1270";"     735";"     300";"     235";"     1.7";"   21786";"    1230";"     533";"       3";"      97";"      91";"       9";"      40";"      60";"      18";"      42";"       0";"      98";"       2";"    2110";"    2070";"    3670";"       .";"       .";"       .";"    1800";"    2570";"    1010";"     980";"    2080";"       .";"       .";"       .";"     900";"    1180";"       .";"     180";"     400";"    1310";"      76";"      74";"      26";"    1800";"    52.5";"    44.4";"    29.9";"    37.7";"    38.5";"    44.3";"    26.6";"     7.0";"     8.2";"    10.3";"    12.4";"    30.1";"      20";"     120";"      30";"     250";"      15";"     3.7";"     175";"      79";"     420";"       0";"      10";"      60";"      45";"      20";"     175";"     100";"     470";"     370";"      95";"     0.4";"    4624";"      45";"     0.7";"     0.4";"     0.1";"     0.5";"    47.6";"      10";"      10";"       0";"      1054";"       1";"       1";"    8666"
"1062";"WK036322  ";"Amsterdam                               ";"Wijk      ";"WK036322  ";"1";"    1835";"     945";"     890";"     235";"     210";"     565";"     505";"     335";"    1170";"     450";"     155";"      75";"     535";"     285";"      40";"      20";"      50";"      20";"     160";"      15";"       8";"      25";"      15";"    1020";"     600";"     215";"     205";"     1.7";"    8481";"     939";"     924";"      10";"      90";"      84";"      16";"      46";"      54";"      16";"      38";"       1";"     100";"       0";"    2720";"    2520";"    4270";"       .";"       .";"       .";"    2210";"    3220";"    1290";"    1200";"    1980";"       .";"       .";"       .";"    1060";"    1500";"       .";"     200";"     350";"     830";"      69";"      66";"      34";"    1400";"    69.2";"    55.9";"    34.7";"    35.7";"    59.3";"    43.9";"    30.4";"     9.9";"     8.9";"    12.7";"    14.6";"    49.6";"      30";"      30";"      30";"     310";"      30";"     7.8";"     130";"      71";"     535";"       0";"      20";"      95";"      40";"      80";"     205";"      95";"     490";"     380";"     115";"     0.5";"    2269";"      65";"     0.4";"     0.3";"     0.2";"     0.6";"    49.9";"      22";"      22";"       0";"         .";"       .";"       1";"    9694"
"1063";"BU03632200";"Amsterdam                               ";"Buurt     ";"BU03632200";"1";"     935";"     495";"     440";"     115";"     115";"     330";"     250";"     135";"     605";"     245";"      65";"      25";"     315";"     135";"      10";"       5";"      20";"      10";"      95";"       5";"       9";"       5";"       5";"     545";"     320";"     115";"     100";"     1.7";"    7444";"     497";"    1006";"       8";"      92";"      81";"      19";"      50";"      49";"       7";"      41";"       1";"     100";"       0";"    2940";"    2710";"    5900";"       .";"       .";"       .";"    2470";"    3280";"    1330";"    1230";"    2550";"       .";"       .";"       .";"    1110";"    1450";"       .";"      90";"     160";"     460";"      71";"      64";"      36";"     700";"    70.6";"    57.0";"    32.4";"    37.4";"    61.2";"    39.5";"    32.1";"     9.3";"     8.2";"     9.5";"    10.8";"   101.8";"      10";"      10";"      10";"     120";"      15";"     7.5";"      20";"      21";"     305";"       0";"      10";"      65";"      25";"      45";"     105";"      50";"     265";"     205";"      55";"     0.5";"    2092";"      20";"     0.3";"     0.2";"     0.2";"     0.6";"    51.7";"      13";"      13";"       0";"      1054";"       1";"       1";"    9787"
"1064";"BU03632201";"Amsterdam                               ";"Buurt     ";"BU03632201";"1";"     900";"     450";"     450";"     120";"      95";"     235";"     255";"     205";"     565";"     205";"      95";"      50";"     220";"     150";"      35";"      15";"      25";"      10";"      70";"       5";"       8";"      20";"      24";"     475";"     275";"      95";"     100";"     1.8";"    9913";"     442";"     831";"      12";"      88";"      88";"      12";"      41";"      59";"      25";"      34";"       0";"     100";"       0";"    2490";"    2310";"    3580";"       .";"       .";"       .";"    1960";"    3160";"    1250";"    1160";"    1700";"       .";"       .";"       .";"    1020";"    1550";"       .";"     120";"     190";"     370";"      68";"      67";"      33";"     700";"    67.6";"    54.6";"    37.1";"    33.9";"    57.3";"    48.8";"    28.5";"    10.5";"     9.6";"    16.1";"    18.7";"    29.2";"      20";"      20";"      10";"     190";"      15";"     8.2";"     110";"     122";"     230";"       0";"       5";"      30";"      15";"      35";"     100";"      45";"     230";"     170";"      55";"     0.5";"    2514";"      40";"     0.4";"     0.3";"     0.2";"     0.7";"    48.1";"       9";"       9";"       0";"      1054";"       1";"       1";"    9575"
"1065";"WK036323  ";"Amsterdam                               ";"Wijk      ";"WK036323  ";"1";"    3845";"    2050";"    1790";"     370";"     610";"    2275";"     475";"     125";"    2770";"     945";"     125";"      15";"    1085";"    1430";"      60";"      40";"      95";"     105";"    1135";"      45";"      12";"       0";"       1";"    2650";"    1840";"     495";"     310";"     1.4";"    1815";"    2331";"     631";"       1";"      99";"      85";"      15";"      15";"      85";"       9";"      76";"       0";"       2";"      98";"    2630";"    2620";"    5770";"       .";"       .";"       .";"    2470";"    3190";"      20";"      10";"    1060";"       .";"       .";"       .";"      10";"      80";"    85.1";"     200";"     980";"    2470";"      76";"      89";"      11";"    3000";"    68.2";"    57.0";"    28.6";"    42.0";"    43.9";"    50.7";"    25.1";"     4.1";"     2.8";"     4.0";"     4.7";"     3.1";"      10";"      20";"      30";"     110";"      30";"     4.4";"      30";"       8";"    2335";"       0";"      80";"     265";"     225";"     820";"     790";"     155";"    2945";"    1660";"    1280";"     1.1";"    1389";"      45";"     0.7";"     0.4";"     0.1";"     0.7";"    28.4";"     217";"     212";"       5";"         .";"       .";"       1";"    3486"
"1066";"BU03632300";"Amsterdam                               ";"Buurt     ";"BU03632300";"1";"     480";"     265";"     210";"      50";"      20";"     340";"      65";"      15";"     325";"     145";"      15";"       5";"     125";"     170";"       5";"       5";"       5";"      10";"     150";"      10";"      29";"       0";"       0";"     305";"     180";"      85";"      35";"     1.6";"     602";"     177";"     558";"       1";"      99";"      94";"       6";"      14";"      86";"       0";"      86";"       1";"       1";"      99";"    2110";"    2110";"       .";"       .";"       .";"       .";"    2070";"    2350";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    99.4";"      20";"      80";"     350";"      83";"      92";"       8";"     400";"    69.1";"    59.1";"    11.4";"    60.2";"    49.4";"    26.3";"    37.8";"     0.8";"     0.8";"     0.8";"     1.2";"     7.1";"       0";"       0";"      10";"      10";"       .";"       .";"       .";"       .";"    1035";"       0";"      35";"      90";"      95";"     450";"     310";"      50";"     310";"     185";"     125";"     1.0";"     389";"       5";"     0.6";"     0.7";"     0.1";"     0.3";"    27.2";"      83";"      80";"       3";"      1077";"       3";"       1";"    3666"
"1067";"BU03632301";"Amsterdam                               ";"Buurt     ";"BU03632301";"1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       5";"       5";"       0";"       .";"       .";"       0";"";"";"";"       .";"       .";"      37";"      36";"       1";"      1078";"       2";"       1";"    4974"
"1068";"BU03632302";"Amsterdam                               ";"Buurt     ";"BU03632302";"1";"     160";"      95";"      65";"      15";"      15";"     110";"      20";"      10";"     120";"      45";"       5";"       0";"      45";"      85";"       0";"       0";"       0";"       5";"      80";"       0";"       6";"       0";"       0";"     125";"     100";"      15";"       5";"     1.3";"     357";"      38";"       .";"      18";"      82";"      89";"      11";"      58";"      42";"       5";"      37";"       0";"      97";"       3";"    2920";"    2380";"       .";"       .";"       .";"       .";"    2690";"    3060";"    1030";"     720";"       .";"       .";"       .";"       .";"    1290";"     810";"       .";"      10";"      40";"      70";"       .";"       .";"       .";"     100";"    54.5";"    45.8";"    18.9";"    40.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0";"      10";"       .";"       .";"       .";"       .";"     110";"       0";"      10";"      20";"      10";"      10";"      40";"      25";"      30";"      20";"       5";"     0.2";"      62";"       0";"     0.4";"     0.7";"     0.7";"     1.3";"    22.1";"      46";"      45";"       1";"      1081";"       2";"       2";"    2436"
"1069";"BU03632303";"Amsterdam                               ";"Buurt     ";"BU03632303";"1";"    2240";"    1235";"    1000";"     270";"     145";"    1390";"     345";"      95";"    1460";"     680";"     100";"      10";"     655";"     890";"      50";"      20";"      60";"      55";"     710";"      25";"      12";"       0";"       1";"    1370";"     775";"     355";"     235";"     1.6";"   10337";"    1232";"     651";"       0";"     100";"      79";"      21";"      19";"      80";"      16";"      64";"       0";"       0";"     100";"    2730";"    2720";"       .";"       .";"       .";"       .";"    2540";"    3530";"       .";"       .";"     220";"       .";"       .";"       .";"       .";"      20";"    76.8";"     170";"     390";"    1590";"      80";"      88";"      12";"    1700";"    86.7";"    70.0";"    17.3";"    51.2";"    58.1";"    34.6";"    33.9";"     2.3";"     1.9";"     2.3";"     2.7";"     7.6";"      10";"      20";"      20";"      80";"      25";"     7.2";"      20";"       9";"     760";"       0";"      20";"     105";"      60";"     265";"     265";"      50";"    2415";"    1335";"    1080";"     1.8";"   11145";"      30";"     0.8";"     0.1";"     0.1";"     1.0";"    28.9";"      22";"      22";"       0";"      1082";"       1";"       1";"    3503"
"1070";"BU03632304";"Amsterdam                               ";"Buurt     ";"BU03632304";"1";"     960";"     445";"     510";"      40";"     440";"     440";"      45";"       5";"     870";"      85";"      15";"       5";"     260";"     290";"      10";"      15";"      35";"      35";"     200";"       0";"       2";"       0";"       0";"     845";"     775";"      35";"      30";"     1.1";"    3315";"     884";"     638";"       0";"     100";"      92";"       8";"       8";"      92";"       0";"      92";"       0";"       0";"     100";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2490";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    99.0";"      10";"     440";"     480";"      65";"      87";"      13";"     800";"    28.2";"    25.2";"    63.6";"    12.8";"    18.6";"    87.1";"     6.2";"    12.9";"     7.4";"    12.6";"    15.0";"    -7.0";"       0";"      10";"      10";"       0";"       .";"       .";"       .";"       .";"     415";"       0";"      15";"      45";"      55";"     100";"     180";"      25";"     180";"     110";"      70";"     0.2";"     628";"      10";"     0.6";"     0.7";"     0.1";"     0.1";"    29.0";"      29";"      29";"       0";"      1083";"       1";"       1";"    3361"
"1071";"WK036324  ";"Amsterdam                               ";"Wijk      ";"WK036324  ";"1";"   14755";"    7460";"    7290";"    1275";"    1730";"    7260";"    3195";"    1310";"   11160";"    2445";"     970";"     185";"    4035";"    2835";"     390";"     140";"     460";"     265";"    1585";"     155";"      11";"      35";"       3";"    9795";"    6390";"    2175";"    1230";"     1.5";"   23248";"    9326";"     423";"       1";"      99";"      91";"       9";"      25";"      74";"      27";"      48";"       0";"      98";"       2";"    1790";"    1780";"    3520";"       .";"       .";"       .";"    1640";"    2170";"     790";"     790";"    1850";"       .";"       .";"       .";"     750";"     880";"       .";"    2660";"    2600";"    7850";"      75";"      77";"      23";"   12700";"    43.5";"    38.1";"    33.4";"    30.9";"    34.0";"    52.2";"    17.7";"    12.5";"    12.1";"    15.6";"    17.8";"     9.2";"     550";"     460";"     240";"    1160";"     155";"     7.0";"     605";"      41";"    3260";"       0";"     145";"     765";"     400";"     235";"    1035";"     680";"    2700";"    2225";"     475";"     0.3";"    4257";"     385";"     0.4";"     0.2";"     0.2";"     0.4";"    45.5";"      68";"      63";"       5";"         .";"       .";"       1";"   10426"
"1072";"BU03632400";"Amsterdam                               ";"Buurt     ";"BU03632400";"1";"    2540";"    1295";"    1240";"     300";"     290";"    1155";"     595";"     210";"    1885";"     495";"     140";"      30";"     655";"     365";"      45";"      25";"      70";"      30";"     200";"      35";"      15";"       5";"       2";"    1590";"     980";"     350";"     260";"     1.6";"   21713";"    1453";"     493";"       2";"      98";"      90";"      10";"      34";"      66";"      21";"      45";"       0";"      99";"       1";"    2060";"    2030";"    4330";"       .";"       .";"       .";"    1810";"    2500";"     910";"     900";"    2160";"       .";"       .";"       .";"     840";"    1040";"       .";"     200";"     570";"    1440";"      77";"      73";"      27";"    2100";"    47.9";"    40.7";"    30.7";"    36.7";"    38.5";"    46.9";"    23.7";"    10.1";"     9.5";"    12.0";"    14.7";"    17.3";"      80";"      70";"      40";"     180";"      30";"     6.5";"      70";"      28";"     590";"       0";"      35";"     100";"      60";"      65";"     210";"     120";"     590";"     460";"     125";"     0.4";"    5026";"      90";"     0.6";"     0.2";"     0.2";"     0.3";"    42.3";"      14";"      12";"       2";"      1074";"       1";"       1";"   10722"
"1073";"BU03632401";"Amsterdam                               ";"Buurt     ";"BU03632401";"1";"    1995";"    1030";"     960";"     180";"     235";"     930";"     450";"     210";"    1470";"     345";"     160";"      30";"     560";"     465";"     100";"      20";"      60";"      40";"     245";"      25";"      13";"       5";"       3";"    1325";"     865";"     280";"     175";"     1.5";"   20156";"    1278";"     431";"       0";"     100";"      91";"       9";"      25";"      75";"      39";"      36";"       0";"      97";"       3";"    1740";"    1740";"       .";"       .";"       .";"       .";"    1650";"    1950";"     750";"     750";"       .";"       .";"       .";"       .";"     750";"     770";"       .";"     400";"     460";"     830";"      71";"      78";"      22";"    1700";"    41.7";"    36.4";"    37.1";"    28.2";"    31.6";"    55.5";"    16.2";"    15.1";"    14.6";"    19.5";"    21.4";"     7.7";"     100";"      80";"      40";"     180";"      30";"     9.6";"     115";"      58";"     385";"       0";"      10";"      85";"      55";"      20";"     135";"      80";"     320";"     260";"      55";"     0.2";"    3220";"      60";"     0.4";"     0.1";"     0.2";"     0.6";"    47.3";"      11";"      10";"       1";"      1073";"       4";"       1";"   10188"
"1074";"BU03632402";"Amsterdam                               ";"Buurt     ";"BU03632402";"1";"    2600";"    1285";"    1310";"     235";"     270";"    1310";"     570";"     230";"    1945";"     440";"     180";"      40";"     780";"     460";"      50";"      25";"      55";"      35";"     295";"      20";"       9";"      10";"       5";"    1735";"    1140";"     365";"     225";"     1.5";"   23235";"    1693";"     453";"       1";"      99";"      89";"      11";"      27";"      72";"      23";"      49";"       0";"      98";"       2";"    1830";"    1820";"    3670";"       .";"       .";"       .";"    1670";"    2200";"     810";"     800";"    2150";"       .";"       .";"       .";"     770";"     880";"       .";"     680";"     470";"    1170";"      76";"      75";"      25";"    2200";"    48.0";"    42.0";"    30.9";"    34.9";"    38.1";"    47.8";"    19.7";"    11.4";"    10.9";"    13.7";"    15.4";"    14.7";"      80";"      60";"      40";"     200";"      25";"     6.6";"      80";"      31";"     585";"       0";"      25";"     100";"      75";"      45";"     200";"     140";"     510";"     435";"      75";"     0.3";"    4540";"      65";"     0.2";"     0.3";"     0.2";"     0.6";"    47.4";"      12";"      11";"       1";"      1072";"       1";"       1";"    9708"
"1075";"BU03632403";"Amsterdam                               ";"Buurt     ";"BU03632403";"1";"    2585";"    1295";"    1290";"     190";"     315";"    1330";"     535";"     230";"    2020";"     375";"     175";"      25";"     660";"     620";"     105";"      30";"     105";"      80";"     305";"      20";"       9";"       0";"       2";"    1750";"    1165";"     390";"     190";"     1.5";"   32381";"    1652";"     367";"       0";"     100";"      94";"       6";"      17";"      82";"      37";"      45";"       1";"      97";"       3";"    1690";"    1680";"       .";"       .";"       .";"       .";"    1600";"    2060";"     710";"     710";"       .";"       .";"       .";"       .";"     710";"     710";"       .";"     390";"     380";"    1590";"      73";"      82";"      18";"    2300";"    38.6";"    34.3";"    36.7";"    26.6";"    29.1";"    57.2";"    13.3";"    15.7";"    14.8";"    19.2";"    21.7";"     4.5";"     130";"     100";"      40";"     210";"      30";"     8.1";"     125";"      48";"     475";"       0";"      25";"     115";"      75";"      35";"     130";"     100";"     440";"     365";"      75";"     0.3";"    5495";"      65";"     0.3";"     0.2";"     0.3";"     0.4";"    47.1";"       8";"       8";"       0";"      1072";"       1";"       1";"   10030"
"1076";"BU03632404";"Amsterdam                               ";"Buurt     ";"BU03632404";"1";"    5030";"    2545";"    2480";"     380";"     630";"    2545";"    1050";"     440";"    3850";"     800";"     325";"      65";"    1385";"     935";"      95";"      40";"     175";"      85";"     540";"      45";"       9";"      10";"       2";"    3385";"    2235";"     780";"     370";"     1.5";"   22179";"    3250";"     402";"       0";"     100";"      91";"       9";"      24";"      75";"      20";"      55";"       0";"      98";"       2";"    1720";"    1720";"    2800";"       .";"       .";"       .";"    1580";"    2100";"     790";"     780";"    1670";"       .";"       .";"       .";"     740";"     910";"       .";"     940";"     790";"    2780";"      76";"      78";"      22";"    4400";"    42.2";"    37.5";"    32.9";"    29.3";"    33.2";"    53.1";"    16.6";"    11.5";"    11.6";"    14.7";"    17.1";"     8.3";"     150";"     150";"      80";"     400";"      45";"     6.4";"     215";"      43";"    1225";"       0";"      55";"     365";"     135";"      65";"     360";"     245";"     850";"     710";"     140";"     0.3";"    3738";"     110";"     0.4";"     0.2";"     0.2";"     0.3";"    44.5";"      23";"      23";"       0";"      1073";"       4";"       1";"   10938"
"1077";"WK036325  ";"Amsterdam                               ";"Wijk      ";"WK036325  ";"1";"   12375";"    5955";"    6420";"    1155";"    1240";"    5780";"    2690";"    1515";"    9035";"    2105";"     935";"     310";"    3040";"    2660";"     570";"     110";"     530";"     255";"    1200";"     180";"      15";"      70";"       6";"    7885";"    4925";"    1775";"    1180";"     1.6";"   24092";"    7635";"     396";"       0";"     100";"      93";"       7";"      27";"      73";"      30";"      43";"       0";"      94";"       6";"    1730";"    1720";"    2340";"       .";"       .";"       .";"    1610";"    1980";"     810";"     810";"    1130";"       .";"       .";"       .";"     800";"     840";"       .";"    1790";"    2440";"    6420";"      74";"      79";"      21";"   10600";"    41.8";"    36.6";"    34.9";"    30.1";"    32.7";"    52.7";"    17.5";"    12.3";"    12.8";"    16.3";"    19.4";"    11.0";"     520";"     460";"     210";"    1360";"     150";"     8.1";"     860";"      69";"    2055";"       0";"     105";"     330";"     265";"     125";"     775";"     450";"    2725";"    2185";"     535";"     0.3";"    5301";"     290";"     0.3";"     0.2";"     0.1";"     0.4";"    41.8";"      54";"      51";"       3";"         .";"       .";"       1";"   10730"
"1078";"BU03632500";"Amsterdam                               ";"Buurt     ";"BU03632500";"1";"    2615";"    1225";"    1390";"     190";"     285";"    1190";"     550";"     415";"    1855";"     435";"     230";"     105";"     595";"     580";"     140";"      25";"     115";"      50";"     250";"      35";"      15";"      15";"       6";"    1800";"    1215";"     380";"     200";"     1.5";"   24450";"    1745";"     377";"       1";"      99";"      91";"       9";"      22";"      77";"      34";"      43";"       1";"      91";"       9";"    1680";"    1670";"    2720";"       .";"       .";"       .";"    1550";"    2020";"     810";"     810";"    1330";"       .";"       .";"       .";"     790";"     870";"       .";"     330";"     580";"    1300";"      73";"      78";"      22";"    2300";"    38.7";"    34.9";"    39.3";"    25.6";"    30.6";"    61.0";"    14.7";"    14.4";"    16.0";"    19.6";"    24.2";"     6.3";"     140";"     100";"      40";"     390";"      20";"     5.9";"     295";"     113";"     465";"       0";"      20";"      65";"      55";"      35";"     175";"     115";"     460";"     395";"      65";"     0.3";"    4296";"      55";"     0.4";"     0.2";"     0.2";"     0.4";"    42.1";"      12";"      11";"       2";"      1074";"       1";"       1";"   11377"
