"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"34 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47503
"Totaal mannen en vrouwen";"35 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";46398
"Totaal mannen en vrouwen";"36 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";45930
"Totaal mannen en vrouwen";"37 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47556
"Totaal mannen en vrouwen";"38 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47399
"Totaal mannen en vrouwen";"39 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";45590
"Totaal mannen en vrouwen";"40 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";45705
"Totaal mannen en vrouwen";"41 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";44654
"Totaal mannen en vrouwen";"42 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";44154
"Totaal mannen en vrouwen";"43 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";44664
"Totaal mannen en vrouwen";"44 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";46452
"Totaal mannen en vrouwen";"45 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47160
"Totaal mannen en vrouwen";"46 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";50582
"Totaal mannen en vrouwen";"47 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";53034
"Totaal mannen en vrouwen";"48 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";54441
"Totaal mannen en vrouwen";"49 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";55360
"Totaal mannen en vrouwen";"50 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";52213
"Totaal mannen en vrouwen";"51 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";51590
"Totaal mannen en vrouwen";"52 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";51670
"Totaal mannen en vrouwen";"53 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";52452
"Totaal mannen en vrouwen";"54 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";53661
"Totaal mannen en vrouwen";"55 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";52582
"Totaal mannen en vrouwen";"56 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";50960
"Totaal mannen en vrouwen";"57 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";49850
"Totaal mannen en vrouwen";"58 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";48758
"Totaal mannen en vrouwen";"59 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";48302
"Totaal mannen en vrouwen";"60 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";46516
"Totaal mannen en vrouwen";"61 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";45269
"Totaal mannen en vrouwen";"62 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";44297
"Totaal mannen en vrouwen";"63 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";42975
"Totaal mannen en vrouwen";"64 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";41990
"Totaal mannen en vrouwen";"65 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";40642
"Totaal mannen en vrouwen";"66 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";40487
"Totaal mannen en vrouwen";"67 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";38439
"Totaal mannen en vrouwen";"68 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";38447
"Totaal mannen en vrouwen";"69 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";38448
"Totaal mannen en vrouwen";"70 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";39861
"Totaal mannen en vrouwen";"71 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";41825
"Totaal mannen en vrouwen";"72 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";44473
"Totaal mannen en vrouwen";"73 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";26490
"Totaal mannen en vrouwen";"74 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";29676
"Totaal mannen en vrouwen";"75 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";27067
"Totaal mannen en vrouwen";"76 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";24263
"Totaal mannen en vrouwen";"77 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";23051
"Totaal mannen en vrouwen";"78 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";23292
"Totaal mannen en vrouwen";"79 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";21605
"Totaal mannen en vrouwen";"80 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";20210
"Totaal mannen en vrouwen";"81 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";17820
"Totaal mannen en vrouwen";"82 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";16525
"Totaal mannen en vrouwen";"83 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";15367
"Totaal mannen en vrouwen";"84 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";13863
"Totaal mannen en vrouwen";"85 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";12597
"Totaal mannen en vrouwen";"86 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";11612
"Totaal mannen en vrouwen";"87 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";10420
"Totaal mannen en vrouwen";"88 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";9375
"Totaal mannen en vrouwen";"89 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";7571
"Totaal mannen en vrouwen";"90 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";6531
"Totaal mannen en vrouwen";"91 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";5161
"Totaal mannen en vrouwen";"92 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";4265
"Totaal mannen en vrouwen";"93 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";3377
"Totaal mannen en vrouwen";"94 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";2601
"Totaal mannen en vrouwen";"95 jaar of ouder";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";5791
